Area,AreaName,Population
Unit,,人
重庆市,Chongqing,23471308
上海市,Shanghai,14756326
北京市,Beijing,13954758
天津市,Tianjin,11306769
广州市,Guangzhou,9851142
武汉市,Wuhan,9161913
西安市,Xi'an,8423911
成都市,Chendu,8304800
南京市,Nanjing,7225706
济南市,Jinan,7053295
杭州市,Hangzhou,6753023
沈阳市,Shenyang,6196034
深圳市,Shenzhen,5845791
汕头市,Shantou,5679567
哈尔滨市,Harbin,5534609
青岛市,Qingdao,5373572
佛山市,Feshan,4737736
长春市,Changchun,4467968
石家庄市,Shijiazhuang,4284324
大连市,Dalian,4102302
南宁市,Nanning,4093156
郑州市,Zhengzhou,3991785
苏州市,Suzhou,3871398
长沙市,Changsha,3737939
徐州市,Xuzhou,3442536
淮安市,Huaian,3334340
唐山市,Tangshan,3326936
常州市,Changzhou,3077789
茂名市,Maoming,3066516
宁波市,Ningbo,3063053
太原市,Taiyuan,3055740
昆明市,Kunming,3009869
合肥市,Hefeng,3008369
南昌市,Nanchang,2955262
福州市,Fuzhou,2935580
临沂市,Linyi,2906300
淄博市,Zibo,2898531
保定市,Baoding,2883660
无锡市,Wuxi,2747235
贵阳市,Guiyang,2746663
厦门市,Xiamen,2721139
东莞市,Dongguan,2638788
烟台市,Yantai,2512061
普宁市,Puning,2508921
枣庄市,Zaozhuang,2497992
莆田市,Putian,2476491
邯郸市,Handan,2444537
盐城市,Yancheng,2436724
菏泽市,Heze,2380822
阜阳市,Fuyang,2327205
赣州市,Ganzhou,2324579
遵义市,Zunyi,2302095
上饶市,Shangrao,2297295
扬州市,Yangzhou,2296139
宜宾市,Yibin,2296123
襄阳市,Xiangyang,2283395
连云港市,Lianyungang,2256758
乌鲁木齐市,Urumqi,2256508
绍兴市,Shaoxing,2241824
六安市,Lu'an,2207909
南通市,Nantong,2155431
兰州市,Lanzhou,2144382
揭阳市,Jieyang,2133881
洛阳市,Luoyang,2112779
邢台市,Xingtai,2075324
贵港市,Guigang,2062508
桂平市,Guiping,2051226
南阳市,Nanyang,2049609
潍坊市,Weifang,1977729
海口市,Haikou,1950450
宿州市,Suzhou,1937240
南充市,Nanchong,1936930
陆丰市,Lufeng,1927478
邳州市,Pizhou,1920208
济宁市,Jining,1916865
中山市,Zhongshan,1908812
商丘市,Shangqiu,1907095
聊城市,Liaocheng,1891152
雷州市,Lenzhou,1871198
柳州市,Liuzhou,1867921
廉江市,Lianjiang,1861669
邓州市,Dengzhou,1856386
高州市,Gaozhou,1855209
化州市,Huazhou,1801354
宿迁市,Suqian,1781121
惠州市,Huizhou,1778008
大同市,Datong,1773762
吉林市,Jilin,1773076
滕州市,Tengzhou,1763122
温州市,Wenzhou,1758923
达州市,Dazhou,1748190
绵阳市,Mianyang,1745060
开封市,Kaifeng,1724255
湛江市,Zhanjiang,1717659
抚州市,Fuzhou,1715265
毕节市,Bijie,1713168
亳州市,Bozhou,1712605
潮州市,Chaozhou,1697871
淮南市,Huainan,1686434
南安市,Nan'an,1667107
永城市,Yongcheng,1650094
泰安市,Taian,1645761
台州市,Taizhou,1639499
泰州市,Taizhou,1635395
长治市,Changzhi,1612493
天门市,Tianmen,1588899
信阳市,Yinyang,1584597
包头市,Baotou,1581462
北流市,Beiliu,1561208
监利市,Jianli,1555871
宣威市,Xuanwei,1549299
张家口市,Zhangjiakou,1547768
钦州市,Qinzhou,1542330
兴化市,Xinghua,1527522
仙桃市,Xiantao,1527015
泸州市,Luzhou,1525924
芜湖市,Wuhu,1521011
清远市,Qingyuan,1511993
信宜市,Xinyi,1509890
简阳市,Jianyang,1501314
浏阳市,Liuyang,1488160
丰城市,Fengcheng,1484348
秦皇岛市,Qinhuangdao,1476025
江门市,Jiangmen,1473616
自贡市,Zigong,1460696
遂宁市,Suining,1456935
呼和浩特市,Hohhot,1450951
鞍山市,Anshan,1449946
新泰市,Xintai,1447018
肇庆市,Zhaoqing,1422109
宁乡市,Ningxiang,1420353
日照市,Rizhao,1412704
耒阳市,Leiyang,1412352
如皋市,Rugao,1403942
常德市,Changde,1401116
福清市,Fuqing,1396657
珠海市,Zhuhai,1392176
宝鸡市,Baoji,1388512
平度市,Pingdong,1382014
内江市,Neijiang,1381852
大庆市,Daqing,1380091
威海市,Weihai,1378177
桂林市,Guilin,1355158
漯河市,Luohe,1355122
项城市,Xiangcheng,1349781
巴中市,Bazhong,1344250
禹州市,Yuzhou,1340204
益阳市,Yiyang,1339179
邵东市,Shaodong,1330563
盘州市,Panzhou,1330259
安顺市,Anshun,1329642
抚顺市,Fushun,1322788
株洲市,Zhuzhou,1322346
天水市,Tianshui,1322002
乐清市,Leqing,1318155
罗定市,Luoding,1300202
银川市,Yinchuan,1291309
齐齐哈尔市,Qiqihar,1290705
宜昌市,Yichang,1281329
渭南市,Weinan,1270858
赤峰市,Chifeng,1270233
广安市,Guang'an,1269877
德州市,Dezhou,1267525
江阴市,Jiangyin,1266587
瑞安市,Ruian,1259247
六盘水市,Liupanshui,1247751
阳江市,Yangjiang,1240093
安阳市,Anyang,1238731
吴川市,Wuchuan,1234814
贺州市,Hezhou,1234460
定州市,Dingzhou,1232194
阳春市,Yangchun,1224391
温岭市,Wenling,1220723
曲靖市,Qujing,1218539
邹城市,Zoucheng,1216368
晋江市,Jinjiang,1212438
泉州市,Quanzhou,1206770
榆树市,Yushu,1204843
英德市,Yingde,1203989
临海市,Linhai,1203312
眉山市,Meishan,1199094
汝州市,Ruzhou,1182329
十堰市,Shiyan,1178759
永州市,Yongzhou,1175983
玉林市,Yulin,1169452
宜春市,Yichun,1168418
蚌埠市,Bengbu,1165302
兴宁市,Xingning,1163542
咸阳市,Xianyang,1160241
乐山市,Leshan,1159093
泰兴市,Taixing,1158546
麻城市,Macheng,1149431
来宾市,Laibin,1147016
涟源市,Lianyuan,1139343
汉中市,Hanzhong,1139051
林州市,Linzhou,1138357
东营市,Dongying,1136069
湖州市,Huzhou,1126394
诸城市,Zhucheng,1118366
鄂州市,Ezhou,1117400
新沂市,Xinyi,1116277
枣阳市,Zaoyang,1115880
平顶山市,Pingdingshan,1112769
滨州市,Binzhou,1111150
寿光市,Shouguang,1110158
新乡市,Xinxiang,1108102
岳阳市,Yueyang,1106529
启东市,Qidong,1095986
诸暨市,Zhuji,1083000
龙岩市,Longyan,1078328
宜兴市,Yixing,1075847
