Province,Total,Rate
Unit,户,%
Remark,各地区家庭户规模,
全国,125490007,25.39
北京,2463325,29.93
天津,1167393,23.99
河北,5082767,19.99
山西,3057920,23.99
内蒙古,2209731,23.30
辽宁,4647274,26.61
吉林,2313775,24.54
黑龙江,3806499,29.23
上海,2736214,28.37
江苏,6975663,23.32
浙江,7713848,30.84
安徽,5183087,23.66
福建,3925247,27.31
江西,3071115,21.82
山东,7056119,20.05
河南,6985186,21.98
湖北,4706405,23.61
湖南,5796689,25.34
广东,14109849,33.22
广西,4075139,25.13
海南,663799,22.41
重庆,3526142,29.29
四川,8836045,28.73
贵州,3032510,23.88
云南,3456738,22.82
西藏,336840,33.22
陕西,3863271,27.18
甘肃,1909342,22.67
青海,498970,25.38
宁夏,537492,21.20
新疆,1745613,20.90
