Province,HousingArea,HousingNumber
Unit,平方米/人,间/人
Remark,各地区家庭户的住房间数和面积,本表数据为居住在普通住宅的家庭户
全国,41.76,1.20
北京,34.89,0.99
天津,35.45,0.98
河北,38.08,1.20
山西,36.16,1.14
内蒙古,34.96,0.93
辽宁,34.70,0.99
吉林,33.84,0.93
黑龙江,33.95,0.95
上海,32.28,0.87
江苏,46.80,1.17
浙江,46.16,1.13
安徽,46.08,1.22
福建,48.72,1.26
江西,54.96,1.40
山东,39.13,1.22
河南,46.50,1.46
湖北,47.31,1.24
湖南,47.52,1.40
广东,33.84,1.04
广西,46.88,1.38
海南,33.98,0.92
重庆,41.96,1.24
四川,43.63,1.27
贵州,43.10,1.38
云南,42.61,1.21
西藏,44.88,1.14
陕西,43.44,1.17
甘肃,34.15,1.34
青海,35.61,1.09
宁夏,36.10,0.98
新疆,32.52,1.02
