Province,Total,NoSchool,Preschool,PrimarySchool,JuniorSecondary,SeniorSecondary,College,University,Master,Doctor
Unit,人,人,人,人,人,人,人,人,人,人
Remark,各地区分性别、受教育程度的16-59岁人口,,,,,,,,
全国,877053344,9780523,588876,117064352,366582059,176592963,105169983,90690520,9337884,1246184
北京,14906862,39972,2945,509888,3306109,2746402,2492092,4355779,1232445,221230
天津,8890368,41206,2485,615433,3004195,1781396,1341780,1844616,229500,29757
河北,43753550,229261,24737,4510677,21931736,8215907,4968170,3591445,257928,23689
山西,22235642,101762,7942,1795000,9832302,4723157,3058977,2491592,204319,20591
内蒙古,15696719,177222,4400,2216690,6140116,2896478,2231620,1880186,138973,11034
辽宁,26555798,85559,7454,2225310,12399079,4728636,3339165,3421681,314692,34222
吉林,15476078,73508,4458,1962251,6622133,3094471,1620473,1912660,162608,23516
黑龙江,20875801,101719,10050,2623916,9894502,3859343,2104236,2101625,155478,24932
上海,16510108,83395,5421,922469,4666029,3166681,2638158,3976355,921094,130506
江苏,52578923,356473,34453,5052053,20682940,11346756,7707860,6587311,717682,93395
浙江,43265306,412793,29150,6702121,17256087,8271099,5228494,4828003,477397,60162
安徽,37086559,642557,27553,5689301,16145334,6819288,4173066,3250643,302887,35930
福建,26448317,299609,23034,4591247,10785680,5090177,2761737,2677521,193659,25653
江西,26950057,178441,18072,3944921,11905303,5742241,2882434,2112959,149635,16051
山东,60095459,606410,37181,6619727,26872121,12044033,7366273,5884568,595060,70086
河南,56995853,463983,45274,5879081,26760289,12667636,6437004,4381675,322346,38565
湖北,36007461,202561,20497,4031516,14842283,8371977,4418715,3647828,407858,64226
湖南,39449902,188983,33525,4048842,17367775,10026358,4466744,3049411,234435,33829
广东,85510200,441925,71431,8768523,36634520,20421140,10430154,7874286,776848,91373
广西,29220461,225567,19696,4519206,13882636,5387186,2873477,2172326,127722,12645
海南,6466945,70280,3926,641483,3137281,1288464,685254,600499,35521,4237
重庆,19583504,83022,10872,3096028,7198999,4439906,2491517,2060378,180252,22530
四川,51140564,868182,43930,9878025,20170434,9580206,5711359,4420047,414423,53958
贵州,22861954,869509,14615,5370611,9196279,3349800,2039516,1927132,85531,8961
云南,30352577,777103,27406,8997313,11053251,4249029,2714479,2377351,139829,16816
西藏,2392236,614291,10459,708348,434077,231153,183248,202481,7577,602
陕西,24727577,269333,19542,2751408,9811407,4983339,3552737,2969369,318151,52291
甘肃,15634047,672710,10053,3486068,5295601,2685601,1828074,1537548,104768,13624
青海,3897879,290324,5566,1085267,1120504,547482,437817,390208,18780,1931
宁夏,4669689,130848,2297,856077,1653743,830668,608473,549668,34833,3082
新疆,16816948,182015,10452,2965552,6579314,3006953,2376880,1613369,75653,6760
