Province,Total,InProvince,OutProvince
Unit,人,人,人
Remark,全国按现住地、户口登记地、性别分的户口登记地在外乡镇街道的人口,,
全国,492762506,367925353,124837153
北京,13409576,4991158,8418418
天津,6479695,2944879,3534816
河北,19775641,16620369,3155272
山西,12891174,11270656,1620518
内蒙古,11462961,9776541,1686420
辽宁,15670121,12822813,2847308
吉林,10350683,9349212,1001471
黑龙江,11549584,10720408,829176
上海,15134258,4654606,10479652
江苏,29979948,19671338,10308610
浙江,30107815,13921361,16186454
安徽,18099918,16549409,1550509
福建,16464611,11574735,4889876
江西,13520934,12241920,1279014
山东,28026762,23897755,4129007
河南,25639605,24365959,1273646
湖北,18476561,16226947,2249614
湖南,17575847,15998284,1577563
广东,60635086,31012976,29622110
广西,13238781,11879397,1359384
海南,3498161,2410018,1088143
重庆,13096435,10902860,2193575
四川,27823204,25233163,2590041
贵州,11694763,10548217,1146546
云南,12209314,9978920,2230394
西藏,1031132,624011,407121
陕西,13267095,11333383,1933712
甘肃,7352465,6586817,765648
青海,2070660,1653356,417304
宁夏,3362670,2687551,675119
新疆,8867046,5476334,3390712
