Province,F15T19,F20T24,F25T29,F30T34,F35T39,F40T44,F45T49,Total
Unit,%,%,%,%,%,%,%,%
Remark,各地区育龄妇女年龄别生育率,,,,,,,
全国,6.07,55.22,98.98,65.05,26.91,6.34,1.61,1300.90
北京,0.96,11.88,55.70,66.66,29.96,7.45,1.07,868.39
天津,1.40,26.58,74.41,54.86,22.26,4.15,0.60,921.28
河北,4.30,62.27,104.87,60.29,22.16,4.99,1.30,1300.90
山西,1.70,45.73,104.90,64.66,22.99,3.73,1.07,1223.87
内蒙古,2.13,34.25,98.26,68.84,28.27,5.17,0.82,1188.73
辽宁,1.98,28.66,74.44,52.06,20.39,4.70,0.98,916.03
吉林,2.19,29.69,74.38,47.03,18.61,3.14,0.80,879.21
黑龙江,1.78,25.35,64.19,41.52,14.80,3.36,0.66,758.26
上海,2.99,20.70,52.53,47.34,18.87,4.70,0.95,740.37
江苏,3.68,41.66,86.70,50.36,19.24,4.30,1.58,1037.60
浙江,6.21,41.50,80.40,51.57,22.29,5.48,1.43,1044.38
安徽,5.80,65.18,106.33,66.04,27.04,5.75,1.29,1387.16
福建,5.98,57.01,108.14,68.72,27.87,6.30,1.66,1378.39
江西,5.00,70.40,110.70,63.74,23.61,5.57,2.41,1407.21
山东,3.16,50.70,107.41,76.56,37.05,9.49,1.85,1431.15
河南,4.74,62.57,109.07,71.11,26.82,6.35,1.83,1412.46
湖北,2.35,40.01,96.98,62.64,25.01,5.33,1.59,1169.50
湖南,3.89,55.68,104.57,68.24,27.37,6.75,2.10,1343.00
广东,5.83,52.53,101.29,71.06,31.54,8.13,1.97,1361.78
广西,10.85,82.85,134.06,96.37,47.35,12.95,2.83,1936.32
海南,12.57,66.75,106.08,76.71,34.67,11.41,2.14,1551.63
重庆,3.68,50.29,95.37,59.80,23.02,4.40,1.11,1188.28
四川,5.98,57.90,94.60,59.25,22.50,4.51,1.35,1230.51
贵州,24.60,115.88,142.47,88.45,38.85,11.25,2.27,2118.88
云南,18.09,80.69,110.42,70.43,31.17,8.12,2.15,1605.30
西藏,16.29,108.50,117.98,77.96,41.45,17.12,6.03,1926.69
陕西,1.68,37.88,96.45,65.36,25.17,4.80,1.45,1163.89
甘肃,11.14,82.47,131.00,78.28,27.20,5.41,1.47,1684.86
青海,20.86,76.52,107.34,69.66,32.59,7.80,3.11,1589.38
宁夏,15.40,86.44,120.50,77.64,28.11,4.87,1.46,1672.09
新疆,3.21,50.42,81.03,51.37,19.10,4.71,1.18,1055.09
