Province,Total,Healthy,BasicHealth,UnhealthyAndSelfCare,UnhealthyAndNotSelfCare
Unit,人,人,人,人,人
Remark,各地区分性别、健康状况的60岁及以上老年人口,,,,
全国,25523101,13946479,8322635,2655869,598118,,
北京,428002,265572,122493,27755,12182
天津,276745,153242,96376,20302,6825
河北,1441053,755909,463083,179381,42680
山西,641115,294765,231573,96102,18675
内蒙古,458505,208250,163337,72460,14458,,
辽宁,1053493,572796,334574,124049,22074
吉林,508469,239949,175558,76471,16491
黑龙江,676647,314887,260751,86759,14250,,
上海,569165,351729,162465,36910,18061
江苏,1768129,1081481,518292,133259,35097
浙江,1176613,764948,311544,76120,24001
安徽,1115044,571624,384914,129741,28765
福建,635334,400957,178859,44566,10952
江西,761001,462082,229013,57342,12564
山东,2068666,1223362,577766,214761,52777,,
河南,1707479,963865,516161,185452,42001
湖北,1181529,589925,428454,139816,23334
湖南,1305917,611680,508937,156517,28783
广东,1443501,871659,444845,98741,28256
广西,794598,407856,279965,86643,20134
海南,136158,68766,48800,15256,3336,,
重庆,693072,414146,210369,54947,13610
四川,1817836,891240,674854,209097,42645
贵州,575342,364939,157235,42272,10896
云南,692031,375159,227818,73249,15805
西藏,28527,10271,11563,5391,1302,,
陕西,714762,357395,261156,81267,14944
甘肃,410723,166419,169596,65469,9239
青海,69612,29259,27560,10571,2222
宁夏,96276,42315,36400,15026,2535
新疆,277757,120032,108324,40177,9224,,,,
