Province,Total,LaborIncome,Pension,MinimumLivingAllowance,UnemploymentInsurance,PropertyIncome,SupportByFamily,Other
Unit,人,人,人,人,人,人,人,人
Remark,各地区分性别、主要生活来源的60岁及以上老年人口,,,,,,,,
全国,25523101,5607355,8848883,1095475,1420,225698,8335312,1408958
北京,428002,17760,358222,5747,3,1776,35938,8556
天津,276745,20589,195045,3978,9,769,44674,11681
河北,1441053,376418,345196,75396,48,10075,551314,82606
山西,641115,140499,188276,45211,20,3193,216720,47196
内蒙古,458505,87306,184561,62930,136,7973,85152,30447
辽宁,1053493,187902,585959,35887,60,7687,188981,47017
吉林,508469,105399,223600,24954,35,17497,121714,15270
黑龙江,676647,108078,358171,25390,33,31988,122555,30432
上海,569165,18184,535386,2037,4,360,11868,1326
江苏,1768129,373274,741918,58634,81,19153,475915,99154
浙江,1176613,238243,548826,37337,200,9770,288318,53919
安徽,1115044,285148,250160,72329,52,11234,435891,60230
福建,635334,153411,157036,15047,34,5213,288189,16404
江西,761001,191033,217554,30214,46,2453,282082,37619
山东,2068666,606981,505144,90590,71,16486,711950,137444
河南,1707479,515491,309627,73691,58,15801,655456,137355
湖北,1181529,306520,421708,50418,53,3330,348199,51301
湖南,1305917,271425,330169,49555,70,7153,552818,94727
广东,1443501,190066,492644,38341,25,11668,643303,67454
广西,794598,180812,180751,36768,26,3822,342237,50182
海南,136158,25089,54001,5351,3,1176,40723,9815
重庆,693072,132474,283503,28497,18,1930,210773,35877
四川,1817836,484580,613019,77215,139,6538,544720,91625
贵州,575342,114499,109143,39644,47,4318,271659,36032
云南,692031,181944,137014,29994,36,6802,301203,35038
西藏,28527,4543,3757,1092,1,815,12212,6107
陕西,714762,154027,200422,29523,21,7999,266247,56523
甘肃,410723,69867,105784,20877,30,2796,181190,30179
青海,69612,7372,23652,3877,7,707,28983,5014
宁夏,96276,12927,49412,8428,12,918,19567,5012
新疆,277757,45494,139223,16523,42,4298,54761,17416
