2-1全国各民族人口及比重
,,,,单位：人、%
民族,人口数,男,女,各民族人口占
,,,,总人口的比重
总计,1409778724,721416394,688362330,100
汉族,1284446389,657368603,627077786,91.11
蒙古族,6290204,3141714,3148490,0.45
回族,11377914,5753371,5624543,0.81
藏族,7060731,3518532,3542199,0.5
维吾尔族,11774538,5928453,5846085,0.84
苗族,11067929,5744282,5323647,0.79
彝族,9830327,4991137,4839190,0.7
壮族,19568546,10125270,9443276,1.39
布依族,3576752,1833800,1742952,0.25
朝鲜族,1702479,830107,872372,0.12
满族,10423303,5352343,5070960,0.74
侗族,3495993,1843875,1652118,0.25
瑶族,3309341,1722586,1586755,0.23
白族,2091543,1054892,1036651,0.15
土家族,9587732,4968899,4618833,0.68
哈尼族,1733166,892508,840658,0.12
哈萨克族,1562518,781750,780768,0.11
傣族,1329985,659012,670973,0.09
黎族,1602104,830734,771370,0.11
傈僳族,762996,382280,380716,0.05
佤族,430977,216741,214236,0.03
畲族,746385,403516,342869,0.05
高山族,3479,1835,1644,0
拉祜族,499167,251596,247571,0.04
水族,495928,260442,235486,0.04
东乡族,774947,391337,383610,0.05
纳西族,323767,160471,163296,0.02
景颇族,160471,78234,82237,0.01
柯尔克孜族,204402,103112,101290,0.01
土族,281928,144133,137795,0.02
达斡尔族,132299,64247,68052,0.01
仫佬族,277233,142063,135170,0.02
羌族,312981,157600,155381,0.02
布朗族,127345,64603,62742,0.01
撒拉族,165159,83238,81921,0.01
毛南族,124092,64842,59250,0.01
仡佬族,677521,359222,318299,0.05
锡伯族,191911,98506,93405,0.01
阿昌族,43775,21840,21935,0
普米族,45012,22372,22640,0
塔吉克族,50896,25679,25217,0
怒族,36575,18412,18163,0
乌孜别克族,12742,6744,5998,0
俄罗斯族,16136,7615,8521,0
鄂温克族,34617,16597,18020,0
德昂族,22354,11114,11240,0
保安族,24434,12329,12105,0
裕固族,14706,7343,7363,0
京族,33112,17160,15952,0
塔塔尔族,3544,1863,1681,0
独龙族,7310,3562,3748,0
鄂伦春族,9168,4326,4842,0
赫哲族,5373,2558,2815,0
门巴族,11143,5548,5595,0
珞巴族,4237,2052,2185,0
基诺族,26025,13005,13020,0
未定族称人口,836488,439083,397405,0.06
入籍,16595,7306,9289,0
