2-2全国各民族分年龄、性别的人口
,单位：人
年龄组,合计,,,汉族,,,蒙古族,,,回族,,,藏族,,,维吾尔族,,,苗族,,,彝族,,,壮族,,,布依族,,,朝鲜族,,,满族,,,侗族,,,瑶族,,,白族,,,土家族,,,哈尼族,,,哈萨克族,,,傣族,,,黎族,,,傈僳族,,,佤族,,,畲族,,,高山族,,,拉祜族,,,水族,,,东乡族,,,纳西族,,,景颇族,,,柯尔克孜族,,,土族,,,达斡尔族,,,仫佬族,,,羌族,,,布朗族,,,撒拉族,,,毛南族,,,仡佬族,,,锡伯族,,,阿昌族,,,普米族,,,塔吉克族,,,怒族,,,乌孜别克族,,,俄罗斯族,,,鄂温克族,,,德昂族,,,保安族,,,裕固族,,,京族,,,塔塔尔族,,,独龙族,,,鄂伦春族,,,赫哲族,,,门巴族,,,珞巴族,,,基诺族,,,未定族称人口,,,入籍
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,1409778724,721416394,688362330,1284446389,657368603,627077786,6290204,3141714,3148490,11377914,5753371,5624543,7060731,3518532,3542199,11774538,5928453,5846085,11067929,5744282,5323647,9830327,4991137,4839190,19568546,10125270,9443276,3576752,1833800,1742952,1702479,830107,872372,10423303,5352343,5070960,3495993,1843875,1652118,3309341,1722586,1586755,2091543,1054892,1036651,9587732,4968899,4618833,1733166,892508,840658,1562518,781750,780768,1329985,659012,670973,1602104,830734,771370,762996,382280,380716,430977,216741,214236,746385,403516,342869,3479,1835,1644,499167,251596,247571,495928,260442,235486,774947,391337,383610,323767,160471,163296,160471,78234,82237,204402,103112,101290,281928,144133,137795,132299,64247,68052,277233,142063,135170,312981,157600,155381,127345,64603,62742,165159,83238,81921,124092,64842,59250,677521,359222,318299,191911,98506,93405,43775,21840,21935,45012,22372,22640,50896,25679,25217,36575,18412,18163,12742,6744,5998,16136,7615,8521,34617,16597,18020,22354,11114,11240,24434,12329,12105,14706,7343,7363,33112,17160,15952,3544,1863,1681,7310,3562,3748,9168,4326,4842,5373,2558,2815,11143,5548,5595,4237,2052,2185,26025,13005,13020,836488,439083,397405,16595,7306,9289
0-4岁,77883888,40969331,36914557,69090715,36378608,32712107,414142,214659,199483,838309,434427,403882,584837,298847,285990,627281,320584,306697,868775,458337,410438,812427,425099,387328,1319848,699545,620303,282662,150370,132292,60930,31099,29831,598531,308046,290485,255927,136476,119451,263116,138399,124717,146521,75405,71116,615491,324107,291384,129911,67719,62192,99338,52210,47128,92291,47281,45010,107822,57457,50365,60667,30994,29673,33917,17724,16193,55163,29000,26163,288,154,134,39475,20113,19362,39308,21379,17929,97063,49699,47364,20948,10616,10332,15384,7977,7407,12773,6667,6106,21654,11068,10586,8373,4185,4188,22920,12009,10911,20277,10288,9989,10906,5569,5337,17674,9124,8550,9711,5108,4603,58051,30741,27310,11793,6088,5705,4121,2164,1957,3871,2000,1871,3441,1777,1664,4181,2104,2077,758,408,350,1095,561,534,2565,1304,1261,2158,1115,1043,2892,1526,1366,955,462,493,3810,2068,1742,204,109,95,745,379,366,806,393,413,460,222,238,974,494,480,475,238,237,1997,1032,965,81637,43049,38588,1524,748,776
5-9岁,90244056,48017458,42226598,79275848,42274083,37001765,460868,239474,221394,960294,500745,459549,648105,330372,317733,1749178,891694,857484,981791,523630,458161,934887,484170,450717,1522051,819114,702937,304420,164740,139680,69191,35190,34001,668616,348717,319899,283289,153466,129823,318052,168629,149423,139360,71722,67638,691194,365831,325363,149185,77926,71259,152390,79814,72576,96814,49194,47620,132893,70872,62021,57652,29548,28104,30325,15605,14720,65131,34169,30962,300,176,124,36874,18855,18019,46316,25550,20766,103236,52940,50296,17559,8938,8621,13795,7081,6714,22857,11652,11205,22243,11604,10639,9435,4868,4567,25570,13462,12108,20336,10410,9926,10442,5392,5050,19653,10117,9536,10439,5580,4859,57095,30092,27003,12872,6544,6328,4298,2184,2114,3645,1876,1769,5062,2606,2456,3162,1640,1522,1528,778,750,1093,527,566,2857,1454,1403,2176,1107,1069,3294,1672,1622,935,474,461,4147,2210,1937,311,163,148,628,325,303,803,386,417,454,228,226,1171,601,570,503,239,264,2083,1070,1013,84206,45333,38873,1144,619,525
10-14岁,85255994,45606790,39649204,75494948,40491799,35003149,423319,220259,203060,857953,447377,410576,593052,301058,291994,1182769,602095,580674,925984,494322,431662,882215,458831,423384,1394348,748433,645915,270007,145571,124436,61530,31521,30009,639000,333264,305736,256799,139181,117618,297260,156637,140623,131856,67866,63990,714544,377982,336562,140656,75168,65488,147655,76323,71332,90425,45910,44515,129658,68782,60876,56710,28702,28008,26565,13422,13143,56780,29829,26951,205,110,95,33553,16998,16555,41634,22828,18806,75631,39098,36533,15296,7894,7402,13129,6829,6300,18712,9520,9192,19986,10587,9399,8392,4312,4080,21276,11075,10201,18189,9230,8959,9940,5113,4827,18403,9364,9039,8931,4712,4219,54156,29079,25077,11788,6027,5761,3872,1926,1946,3222,1669,1553,4221,2157,2064,2756,1368,1388,1154,608,546,803,401,402,2400,1222,1178,1910,911,999,2482,1298,1184,794,405,389,2918,1603,1315,259,133,126,588,310,278,623,311,312,403,218,185,890,473,417,415,214,201,1887,960,927,80098,42938,37160,1045,557,488
15-19岁,72684140,39053343,33630797,64327584,34689319,29638265,364101,188138,175963,716015,371089,344926,544815,274616,270199,829915,420815,409100,817673,435565,382108,803487,419028,384459,1205459,641403,564056,250905,133712,117193,46018,23283,22735,576325,299471,276854,219148,120525,98623,235542,123424,112118,136469,69493,66976,661563,349387,312176,114978,62688,52290,114361,58708,55653,77263,39383,37880,101430,53714,47716,54882,27695,27187,25934,12919,13015,42416,21992,20424,200,99,101,29141,14782,14359,36780,19967,16813,53401,27326,26075,16465,8340,8125,11134,5724,5410,15765,7945,7820,19399,10091,9308,6707,3401,3306,16859,8798,8061,17009,8597,8412,8737,4365,4372,12746,6437,6309,7577,4023,3554,52547,28298,24249,10931,5579,5352,3198,1660,1538,3231,1621,1610,4002,1958,2044,2700,1348,1352,894,478,416,754,365,389,1837,923,914,1626,799,827,1771,921,850,847,421,426,2380,1326,1054,207,115,92,548,278,270,557,291,266,293,149,144,874,448,426,329,157,172,1295,618,677,73877,38665,35212,1239,663,576
20-24岁,74941675,39675995,35265680,66765905,35456868,31309037,371308,187586,183722,743823,378399,365424,551185,276954,274231,825100,415207,409893,834122,437012,397110,784129,407292,376837,1048095,556743,491352,288660,150535,138125,47801,24100,23701,516571,264725,251846,221382,118667,102715,192484,100420,92064,142355,71470,70885,641171,331397,309774,114272,62426,51846,99626,50100,49526,80885,40836,40049,104502,55516,48986,53909,27210,26699,29525,14829,14696,39102,20433,18669,215,109,106,30760,15741,15019,39741,20900,18841,57305,29006,28299,21083,10337,10746,11184,5666,5518,13442,6700,6742,20184,10326,9858,7310,3623,3687,17378,8789,8589,22179,11036,11143,9202,4633,4569,11474,5712,5762,7579,3948,3631,59889,31243,28646,10623,5285,5338,3278,1683,1595,3351,1653,1698,3903,1985,1918,2511,1239,1272,936,489,447,910,451,459,2055,988,1067,1443,737,706,1742,831,911,956,481,475,1974,1093,881,239,123,116,544,266,278,620,307,313,328,162,166,1001,505,496,369,167,202,1551,748,803,76566,39506,37060,1938,802,1136
25-29岁,91847332,48162270,43685062,83275581,43703395,39572186,442201,225977,216224,813240,414048,399192,572840,289628,283212,920105,462520,457585,777804,412215,365589,684516,358112,326404,1158183,623701,534482,266650,140359,126291,73820,37560,36260,622343,322745,299598,226172,123213,102959,205424,110204,95220,139839,70729,69110,649750,338597,311153,115834,63383,52451,106534,53600,52934,91611,46343,45268,137613,72346,65267,53854,27278,26576,33228,16973,16255,48759,26474,22285,255,148,107,34185,17747,16438,36653,19389,17264,58473,29578,28895,22892,11464,11428,10966,5673,5293,14914,7580,7334,22186,11575,10611,9586,4796,4790,17381,8963,8418,24640,12503,12137,9803,4923,4880,12198,6078,6120,7606,4007,3599,50221,26692,23529,12775,6568,6207,3128,1567,1561,3531,1757,1774,4404,2208,2196,2593,1332,1261,828,445,383,1097,539,558,3175,1616,1559,1474,794,680,1847,930,917,964,490,474,2132,1160,972,225,111,114,554,257,297,780,384,396,349,155,194,1079,515,564,399,209,190,1898,989,909,54665,29164,25501,1575,564,1011
30-34岁,124145190,63871808,60273382,113497216,58360651,55136565,596822,302965,293857,975769,493728,482041,601064,302904,298160,1116574,561050,555524,885323,468455,416868,746360,385434,360926,1632145,864643,767502,278085,146073,132012,142470,72707,69763,952728,491967,460761,290590,156871,133719,281607,150764,130843,179518,91131,88387,736968,383658,353310,145254,76715,68539,150461,75408,75053,122006,61730,60276,143588,76173,67415,67734,34742,32992,42074,21700,20374,60003,32772,27231,346,169,177,48678,25242,23436,41432,22362,19070,57107,28834,28273,27268,13681,13587,15241,7903,7338,22328,11114,11214,23858,12322,11536,13563,6794,6769,24921,12811,12110,26899,13682,13217,12012,6210,5802,13027,6579,6448,9600,5043,4557,47815,25474,22341,18792,9744,9048,4011,2068,1943,4095,2042,2053,5344,2709,2635,3309,1756,1553,1124,595,529,1610,764,846,3780,1889,1891,2091,1096,995,1791,914,877,1282,609,673,2677,1387,1290,327,181,146,725,376,349,1052,543,509,633,256,377,1044,519,525,357,169,188,2571,1304,1267,58466,31842,26624,1655,584,1071
35-39岁,99012932,50932037,48080895,89537297,46025562,43511735,573865,289243,284622,798636,406649,391987,550039,275928,274111,935388,474935,460453,763491,404828,358663,670600,343204,327396,1664577,880360,784217,246657,129956,116701,141068,71886,69182,759954,387532,372422,247691,132923,114768,265631,142061,123570,140443,72100,68343,607765,317489,290276,135258,71002,64256,140574,70181,70393,106749,54075,52674,143568,76641,66927,63885,33134,30751,38461,20059,18402,51670,28679,22991,307,156,151,44123,22943,21180,37673,20016,17657,47491,23924,23567,21633,11073,10560,13416,6702,6714,18535,9559,8976,19784,10228,9556,12771,6405,6366,23712,12266,11446,20592,10528,10064,10334,5399,4935,11601,5822,5779,10104,5377,4727,40355,21960,18395,14659,7431,7228,3349,1681,1668,3412,1776,1636,4544,2298,2246,3204,1669,1535,932,507,425,1166,554,612,3334,1631,1703,1844,947,897,1323,669,654,1048,557,491,2136,1098,1038,305,169,136,672,285,387,886,430,456,494,235,259,871,451,420,301,152,149,2017,1040,977,49507,27140,22367,1230,532,698
40-44岁,92955330,47632694,45322636,84184258,43118749,41065509,450437,225229,225208,748494,377288,371206,494592,248798,245794,769850,385041,384809,738642,385304,353338,695162,352712,342450,1552919,821028,731891,257226,133264,123962,123865,63734,60131,703593,361298,342295,223749,118756,104993,225435,121143,104292,161719,82495,79224,573158,296448,276710,137748,70748,67000,131550,65061,66489,95810,47870,47940,121702,64830,56872,61205,31095,30110,34547,17934,16613,51584,28868,22716,184,92,92,40333,21020,19313,36034,18893,17141,42978,21076,21902,25310,12598,12712,12175,5782,6393,15112,7676,7436,21329,11031,10298,9812,4887,4925,19657,10235,9422,22288,11377,10911,9380,4889,4491,10875,5392,5483,9601,5081,4520,46019,24763,21256,13912,7090,6822,2823,1420,1403,3325,1661,1664,3686,1859,1827,2648,1319,1329,871,475,396,1070,518,552,2432,1165,1267,1573,805,768,1220,565,655,1111,566,545,1831,932,899,266,141,125,512,255,257,637,297,340,384,176,208,712,353,359,220,107,113,1745,889,856,54977,29171,25806,1043,445,598
