2-3全国各民族分性别、受教育程度的3岁及以上人口
,单位：人
民族,3岁及以上人口,,,未上过学,,,学前教育,,,小学,,,初中,,,高中,,,大学专科,,,大学本科,,,硕士研究生,,,博士研究生
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总计,1368140098,699523581,668616517,48595937,14455827,34140110,53355845,27868882,25486963,349658733,164893183,184765550,487095010,263448804,223646206,212209922,116996970,95212952,112303002,58727560,53575442,94156072,47637012,46519060,9488228,4721323,4766905,1277349,774020,503329
汉族,1247564630,637961090,609603540,41214914,11961496,29253418,47214747,24674777,22539970,310225809,145551613,164674196,447493408,241354584,206138824,198724224,109652416,89071808,104803905,54945166,49858739,87633137,44552887,43080250,9034841,4525120,4509721,1219645,743031,476614
蒙古族,6061485,3023152,3038333,167703,64372,103331,265851,137848,128003,1482660,713399,769261,1900875,994529,906346,846113,439052,407061,615544,316355,299189,702036,326084,375952,71848,27442,44406,8855,4071,4784
回族,10921051,5516262,5404789,751600,256562,495038,529002,273828,255174,3407936,1673020,1734916,3280868,1812647,1468221,1370529,729539,640990,758180,380977,377203,745902,354487,391415,68302,30412,37890,8732,4790,3942
藏族,6735027,3352027,3383000,1554466,629795,924671,338601,172699,165902,2633530,1379755,1253775,962699,550383,412316,465713,241202,224511,432043,217004,215039,334922,154600,180322,11658,5737,5921,1395,852,543
维吾尔族,11539014,5807636,5731378,309675,145813,163862,901738,459614,442124,4252498,2113611,2138887,3816240,2010641,1805599,1156307,599878,556429,693918,305872,388046,397206,167353,229853,9899,4082,5817,1533,772,761
苗族,10575558,5484995,5090563,802793,226086,576707,523221,276252,246969,3799786,1896128,1903658,3528907,2037576,1491331,1015212,578533,436679,483596,256772,226824,399476,202760,196716,20088,9338,10750,2479,1550,929
彝族,9382692,4756032,4626660,881172,296767,584405,519229,267194,252035,3993174,1976113,2017061,2475854,1431149,1044705,749177,408008,341169,428899,219705,209194,320654,150687,169967,13042,5628,7414,1491,781,710
壮族,18854018,9746960,9107058,647992,167446,480546,945393,502308,443085,5499047,2561259,2937788,7510157,4254165,3255992,2333390,1319250,1014140,1101580,565607,535973,775115,357617,417498,37346,17047,20299,3998,2261,1737
布依族,3414048,1747666,1666382,272440,63311,209129,177261,94616,82645,1174992,580835,594157,1165678,685303,480375,305044,168073,136971,154733,79086,75647,157647,73853,83794,5647,2260,3387,606,329,277
朝鲜族,1671001,813977,857024,18509,7134,11375,41143,20829,20314,225441,95323,130118,666448,329431,337017,388081,195231,192850,132255,68167,64088,177439,88219,89220,17958,7696,10262,3727,1947,1780
满族,10095800,5183857,4911943,178046,69288,108758,377155,194930,182225,2401071,1171110,1229961,4021325,2162130,1859195,1275240,677229,598011,839596,429912,409684,890715,429074,461641,100251,43694,56557,12401,6490,5911
侗族,3351259,1766843,1584416,175329,45489,129840,161670,85799,75871,1044036,511543,532493,1212208,707964,504244,373496,216783,156713,196266,104808,91458,178910,90138,88772,8363,3729,4634,981,590,391
瑶族,3166665,1647476,1519189,172240,50512,121728,174320,91479,82841,1111716,542267,569449,1075008,624474,450534,347414,197640,149774,154382,79113,75269,122730,57881,64849,7848,3543,4305,1007,567,440
白族,2007596,1011687,995909,86266,22464,63802,86846,44233,42613,615933,281201,334732,675541,386917,288624,237517,129732,107785,148249,74888,73361,146206,67538,78668,9680,3969,5711,1358,745,613
土家族,9243956,4787807,4456149,322507,93227,229280,406359,212600,193759,2780353,1334351,1446002,3212464,1799789,1412675,1328716,745324,583392,602756,308625,294131,543017,271178,271839,42117,19275,22842,5667,3438,2229
哈尼族,1660698,854534,806164,160389,52017,108372,71852,36874,34978,733246,368340,364906,447530,269174,178356,130574,72040,58534,70874,34800,36074,44408,20524,23884,1637,673,964,188,92,96
哈萨克族,1513168,755958,757210,25782,11668,14114,85803,45128,40675,486640,238859,247781,494909,260477,234432,188223,95751,92472,133005,63275,69730,96269,39924,56345,2295,767,1528,242,109,133
傣族,1277919,632353,645566,121003,47082,73921,55976,28403,27573,533706,267817,265889,362297,194811,167486,102919,50950,51969,58205,25489,32716,41884,17037,24847,1748,668,1080,181,96,85
黎族,1541070,798125,742945,62879,18442,44437,70284,37312,32972,399822,200741,199081,706932,384454,322478,173614,95247,78367,75147,37341,37806,50742,23840,26902,1506,672,834,144,76,68
傈僳族,728268,364530,363738,92115,34549,57566,34873,17689,17184,338630,169474,169156,177350,99086,78264,43336,23079,20257,24054,12414,11640,17251,7949,9302,608,262,346,51,28,23
佤族,410857,206133,204724,41895,15184,26711,17189,8756,8433,190167,95750,94417,111988,61243,50745,26774,14233,12541,14254,6989,7265,8343,3882,4461,229,85,144,18,11,7
畲族,716602,387850,328752,35148,10499,24649,39533,20496,19037,251367,128348,123019,217476,132403,85073,86526,51493,35033,43024,22763,20261,40199,20082,20117,2972,1538,1434,357,228,129
高山族,3325,1749,1576,70,25,45,199,112,87,597,289,308,842,462,380,582,323,259,414,220,194,530,272,258,82,40,42,9,6,3
拉祜族,476376,239918,236458,61142,25540,35602,20263,10335,9928,242003,125172,116831,106022,56699,49323,22792,11312,11480,13274,6162,7112,10343,4486,5857,495,188,307,42,24,18
水族,473453,248306,225147,35866,8826,27040,25863,14137,11726,173785,87117,86668,150007,90094,59913,43281,24844,18437,21024,11394,9630,22822,11533,11289,736,322,414,69,39,30
东乡族,720886,363619,357267,125516,46252,79264,59821,30433,29388,350646,177275,173371,127452,76290,51162,31220,18935,12285,13478,7480,5998,12246,6684,5562,467,248,219,40,22,18
纳西族,311635,154344,157291,16213,4829,11384,12731,6397,6334,84786,38784,46002,96776,53483,43293,41953,22964,18989,30122,15059,15063,26934,12024,14910,1871,686,1185,249,118,131
景颇族,151668,73736,77932,14582,5410,9172,7223,3787,3436,57923,28314,29609,45970,23436,22534,13747,7144,6603,7544,3614,3930,4462,1937,2525,203,88,115,14,6,8
柯尔克孜族,198714,100170,98544,5272,2362,2910,13864,7162,6702,76547,37139,39408,50603,27304,23299,23606,12648,10958,17789,8622,9167,10775,4829,5946,226,91,135,32,13,19
土族,269542,137759,131783,22764,6823,15941,13415,6926,6489,92726,45727,46999,65154,38980,26174,27637,15162,12475,20874,10836,10038,25673,12734,12939,1141,488,653,158,83,75
达斡尔族,127764,61986,65778,1862,862,1000,5359,2709,2650,23796,11595,12201,44164,22200,21964,19471,9424,10047,15282,7524,7758,15844,6925,8919,1743,646,1097,243,101,142
仫佬族,264651,135415,129236,9058,2583,6475,16113,8435,7678,80870,39526,41344,87196,49338,37858,32990,17669,15321,19105,9127,9978,17999,8170,9829,1200,520,680,120,47,73
羌族,301508,151841,149667,17928,4677,13251,13524,6878,6646,103631,50473,53158,80599,47218,33381,33325,18113,15212,28056,13731,14325,22791,10053,12738,1464,593,871,190,105,85
布朗族,120968,61327,59641,15676,6204,9472,5667,2896,2771,53610,27896,25714,29547,16538,13009,7811,3931,3880,4458,2045,2413,3984,1724,2260,182,76,106,33,17,16
撒拉族,155256,78015,77241,24678,7950,16728,9451,4816,4635,69408,34559,34849,31003,18429,12574,9966,6112,3854,4825,2834,1991,5699,3184,2515,201,112,89,25,19,6
毛南族,118709,62074,56635,3921,1100,2821,6773,3627,3146,35758,17348,18410,43760,25502,18258,13627,7499,6128,7363,3754,3609,7103,3082,4021,366,145,221,38,17,21
仡佬族,644185,341604,302581,34553,9224,25329,34644,18261,16383,199793,99271,100522,204236,121143,83093,72810,41763,31047,42847,22877,19970,52793,27845,24948,2275,1090,1185,234,130,104
锡伯族,185452,95143,90309,2031,942,1089,7662,3893,3769,32770,16786,15984,68011,36815,31196,28301,14499,13802,20961,10479,10482,22857,10543,12314,2497,1001,1496,362,185,177
阿昌族,41457,20630,20827,3171,1027,2144,2308,1178,1130,15397,7390,8007,12720,7046,5674,3786,2020,1766,2047,1038,1009,1956,892,1064,68,38,30,4,1,3
普米族,42752,21206,21546,3714,1090,2624,2376,1203,1173,14360,6690,7670,11221,6554,4667,4478,2455,2023,3430,1777,1653,3020,1383,1637,138,47,91,15,7,8
塔吉克族,49186,24813,24373,999,360,639,2911,1525,1386,20176,9037,11139,11746,6379,5367,7117,4181,2936,4996,2696,2300,1221,619,602,20,16,4,0,0,0
怒族,34145,17160,16985,3929,1576,2353,2487,1257,1230,13367,6797,6570,8670,4675,3995,2410,1266,1144,1875,965,910,1367,603,764,38,21,17,2,0,2
乌孜别克族,12405,6573,5832,183,84,99,814,430,384,3331,1785,1546,3130,1741,1389,1902,1061,841,1438,729,709,1520,706,814,70,28,42,17,9,8
俄罗斯族,15580,7341,8239,190,76,114,760,410,350,1895,890,1005,3669,1877,1792,2868,1381,1487,2706,1255,1451,3148,1325,1823,303,112,191,41,15,26
鄂温克族,33177,15868,17309,544,265,279,1557,810,747,6578,3167,3411,10233,5102,5131,5369,2595,2774,4384,2149,2235,4113,1669,2444,355,98,257,44,13,31
德昂族,21150,10505,10645,2437,889,1548,1186,613,573,9732,4961,4771,5317,2867,2450,1404,712,692,644,273,371,418,185,233,10,4,6,2,1,1
保安族,22820,11474,11346,2862,1034,1828,1929,1009,920,9466,4501,4965,4704,2779,1925,1963,1151,812,1027,549,478,844,438,406,23,12,11,2,1,1
裕固族,14165,7080,7085,461,134,327,607,295,312,4312,2013,2299,3225,1737,1488,1802,951,851,1603,874,729,1977,1006,971,158,58,100,20,12,8
京族,30976,16031,14945,972,261,711,2677,1452,1225,7892,3750,4142,9932,5505,4427,4536,2483,2053,2476,1339,1137,2339,1175,1164,144,62,82,8,4,4
塔塔尔族,3444,1809,1635,53,24,29,167,91,76,726,386,340,756,450,306,550,297,253,532,277,255,590,246,344,59,33,26,11,5,6
独龙族,6865,3348,3517,629,216,413,411,220,191,2398,1137,1261,2067,1090,977,582,289,293,486,256,230,272,129,143,14,7,7,6,4,2
鄂伦春族,8700,4104,4596,143,68,75,497,252,245,1388,639,749,2358,1161,1197,1311,656,655,1426,675,751,1417,599,818,140,49,91,20,5,15
赫哲族,5121,2429,2692,61,27,34,283,133,150,776,389,387,1440,741,699,746,360,386,669,307,362,977,416,561,144,43,101,25,13,12
门巴族,10582,5257,5325,2884,1259,1625,680,353,327,2985,1636,1349,1242,703,539,1013,539,474,890,412,478,860,343,517,27,11,16,1,1,0
珞巴族,3978,1926,2052,807,343,464,276,136,140,1545,810,735,475,273,202,278,129,149,220,107,113,371,125,246,5,3,2,1,0,1
基诺族,24909,12415,12494,1805,685,1120,1043,520,523,8176,4172,4004,8498,4529,3969,2500,1255,1245,1760,802,958,1067,424,643,55,24,31,5,4,1
未定族称人口,786626,412828,373798,82446,23215,59231,41601,22186,19415,269694,143153,126541,241131,143983,97148,72564,39444,33120,37300,19552,17748,40376,20549,19827,1334,630,704,180,116,64
入籍,15586,6828,8758,1652,382,1270,657,341,316,4330,1752,2578,4972,2351,2621,1485,720,765,1212,642,570,1156,561,595,91,56,35,31,23,8
