2-3全国各民族分性别、主要生活来源的15岁及以上人口
,单位：人
民族,15岁及以上人口,,,劳动收入,,,离退休金/养老金,,,最低生活保障金,,,失业保险金,,,财产性收入,,,家庭其他成员供养,,,其他
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,114261590,57861957,56399633,66173046,39351185,26821861,11525075,5004420,6520655,1752313,979954,772359,41948,24489,17459,881568,467538,414030,27940394,9182235,18758159,5947246,2852136,3095110
汉族,105143639,53274954,51868685,60652727,36205723,24447004,11067507,4796809,6270698,1563826,883199,680627,39772,23267,16505,793224,421074,372150,25695402,8392154,17303248,5331181,2552728,2778453
蒙古族,486694,238488,248206,287423,162749,124674,37822,15040,22782,11806,5697,6109,125,62,63,8145,4196,3949,112616,37329,75287,28757,13415,15342
回族,859291,429911,429380,459377,276901,182476,93439,39769,53670,16906,8181,8725,320,184,136,7589,4282,3307,230869,75427,155442,50791,25167,25624
藏族,506256,249754,256502,259321,142775,116546,14059,7035,7024,11679,5277,6402,77,37,40,13574,6908,6666,120837,45284,75553,86709,42438,44271
维吾尔族,755756,365270,390486,472359,249587,222772,32822,15074,17748,24499,9419,15080,269,137,132,10760,5314,5446,154470,56329,98141,60577,29410,31167
苗族,784133,401667,382466,486651,281943,204708,18198,9285,8913,16254,8848,7406,91,47,44,4558,2472,2086,208072,74759,133313,50309,24313,25996
彝族,731814,367638,364176,500364,270580,229784,12746,6930,5816,14258,7120,7138,93,51,42,4576,2392,2184,152036,57323,94713,47741,23242,24499
壮族,1404590,710186,694404,903805,507035,396770,54656,25791,28865,21679,12789,8890,357,213,144,7648,3971,3677,338153,122006,216147,78292,38381,39911
布依族,244730,122061,122669,149151,84214,64937,5845,3035,2810,5663,3098,2565,47,33,14,1356,724,632,69909,24865,45044,12759,6092,6667
朝鲜族,90102,43629,46473,37458,21738,15720,21805,8913,12892,2084,1076,1008,45,18,27,2789,1570,1219,21910,8200,13710,4011,2114,1897
满族,830441,426627,403814,472770,288933,183837,79938,34942,44996,18172,10312,7860,330,199,131,8522,4649,3873,205338,65537,139801,45371,22055,23316
侗族,257068,133218,123850,152398,91085,61313,7625,3947,3678,4897,2884,2013,25,14,11,1164,649,515,75144,26902,48242,15815,7737,8078
瑶族,229771,117997,111774,143947,83505,60442,6768,3239,3529,4915,2759,2156,45,27,18,851,454,397,59618,21333,38285,13627,6680,6947
白族,170556,84958,85598,109744,60415,49329,6262,3439,2823,1960,1019,941,36,24,12,1221,624,597,44294,16002,28292,7039,3435,3604
土家族,738897,376988,361909,436821,256057,180764,28942,14457,14485,16179,9251,6928,115,64,51,4122,2135,1987,210018,74575,135443,42700,20449,22251
哈尼族,139210,71781,67429,98798,55410,43388,2986,1439,1547,1464,786,678,14,9,5,779,378,401,28731,10577,18154,6438,3182,3256
哈萨克族,105349,51704,53645,53387,32462,20925,6943,2953,3990,1863,781,1082,41,21,20,3288,1766,1522,27859,8138,19721,11968,5583,6385
傣族,105686,51535,54151,74697,39509,35188,2422,1115,1307,609,308,301,9,4,5,1406,650,756,21683,7765,13918,4860,2184,2676
黎族,115448,59780,55668,71803,41066,30737,5256,2006,3250,1736,980,756,20,13,7,1980,1135,845,21945,8041,13904,12708,6539,6169
傈僳族,57318,28463,28855,40162,21508,18654,731,450,281,1768,857,911,4,2,2,271,135,136,10778,3816,6962,3604,1695,1909
佤族,33041,16466,16575,25450,13554,11896,772,382,390,384,169,215,5,2,3,96,45,51,5100,1793,3307,1234,521,713
畲族,54821,29895,24926,34889,21941,12948,1748,943,805,922,621,301,4,3,1,219,120,99,14968,5265,9703,2071,1002,1069
高山族,249,119,130,149,87,62,38,8,30,3,0,3,0,0,0,2,2,0,48,17,31,9,5,4
拉祜族,36230,18034,18196,28125,14944,13181,619,264,355,528,287,241,2,1,1,145,74,71,5466,1846,3620,1345,618,727
水族,33059,16833,16226,20585,11701,8884,580,304,276,1011,555,456,6,4,2,136,75,61,8968,3337,5631,1773,857,916
东乡族,46815,22987,23828,24778,15109,9669,820,444,376,1290,598,692,4,2,2,407,236,171,14700,4401,10299,4816,2197,2619
纳西族,26765,13064,13701,16880,8963,7917,1609,766,843,266,132,134,10,5,5,313,168,145,5931,2216,3715,1756,814,942
景颇族,11040,5196,5844,7427,3821,3606,238,103,135,136,71,65,1,1,0,102,56,46,2509,862,1647,627,282,345
柯尔克孜族,14884,7417,7467,8002,4574,3428,825,450,375,341,139,202,3,1,2,264,137,127,3767,1295,2472,1682,821,861
土族,21382,10756,10626,12234,7102,5132,781,375,406,281,141,140,23,13,10,130,71,59,6121,2159,3962,1812,895,917
达斡尔族,10385,4942,5443,5370,3097,2273,1438,514,924,342,166,176,0,0,0,301,155,146,2323,727,1596,611,283,328
仫佬族,19201,9639,9562,11755,6672,5083,999,441,558,259,149,110,8,3,5,84,47,37,5014,1810,3204,1082,517,565
