2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)
,单位：人
民族,合计,生男孩的,生女孩的,一孩,,,二孩,,,三孩,,,四孩,,,五孩及以上
,,妇女人数,妇女人数,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,1212321,641238,571083,555030,294657,260373,522301,269715,252586,109320,62388,46932,19501,11025,8476,6169,3453,2716
汉族,1084567,573850,510717,500255,265685,234570,470181,242586,227595,94508,54307,40201,15482,8891,6591,4141,2381,1760
蒙古族,5574,2906,2668,3066,1603,1463,2248,1165,1083,226,122,104,31,14,17,3,2,1
回族,12626,6642,5984,5299,2786,2513,4861,2493,2368,1755,965,790,507,282,225,204,116,88
藏族,9431,4837,4594,3432,1854,1578,3132,1601,1531,1559,760,799,683,323,360,625,299,326
维吾尔族,7252,3737,3515,3720,1955,1765,2696,1372,1324,717,372,345,98,33,65,21,5,16
苗族,13383,7136,6247,5282,2786,2496,5510,2913,2597,1829,1000,829,514,296,218,248,141,107
彝族,13327,7090,6237,5222,2785,2437,4909,2560,2349,2016,1098,918,767,409,358,413,238,175
壮族,19095,10227,8868,7515,4031,3484,8929,4656,4273,2189,1274,915,360,208,152,102,58,44
布依族,4269,2263,2006,1773,934,839,1900,996,904,472,269,203,104,54,50,20,10,10
朝鲜族,532,270,262,375,194,181,144,70,74,10,5,5,3,1,2,0,0,0
满族,7117,3709,3408,4065,2145,1920,2774,1401,1373,248,145,103,25,15,10,5,3,2
侗族,3682,1970,1712,1431,779,652,1740,897,843,438,252,186,60,36,24,13,6,7
瑶族,3725,1979,1746,1413,759,654,1517,781,736,497,271,226,174,104,70,124,64,60
白族,2177,1096,1081,1022,520,502,1012,497,515,111,64,47,22,12,10,10,3,7
土家族,9041,4826,4215,4185,2191,1994,3941,2113,1828,740,430,310,137,73,64,38,19,19
哈尼族,2219,1146,1073,870,461,409,832,431,401,343,163,180,136,72,64,38,19,19
哈萨克族,1337,693,644,642,326,316,544,290,254,137,71,66,11,5,6,3,1,2
傣族,1413,716,697,609,317,292,714,353,361,79,42,37,11,4,7,0,0,0
黎族,1893,994,899,801,404,397,768,416,352,256,135,121,51,28,23,17,11,6
傈僳族,1052,562,490,442,233,209,432,227,205,128,74,54,27,13,14,23,15,8
佤族,631,343,288,247,133,114,307,170,137,69,38,31,6,1,5,2,1,1
畲族,624,322,302,262,123,139,301,163,138,55,33,22,5,3,2,1,0,1
高山族,4,3,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
拉祜族,662,342,320,259,146,113,304,149,155,84,41,43,12,5,7,3,1,2
水族,615,332,283,262,137,125,241,130,111,73,40,33,28,16,12,11,9,2
东乡族,1437,762,675,459,246,213,485,262,223,307,152,155,120,68,52,66,34,32
纳西族,350,170,180,194,90,104,143,73,70,12,6,6,1,1,0,0,0,0
景颇族,189,101,88,71,38,33,81,46,35,25,10,15,10,7,3,2,0,2
柯尔克孜族,176,78,98,95,42,53,61,28,33,16,8,8,4,0,4,0,0,0
土族,295,146,149,152,70,82,124,67,57,16,7,9,3,2,1,0,0,0
达斡尔族,127,68,59,70,36,34,51,30,21,4,1,3,2,1,1,0,0,0
仫佬族,306,176,130,135,77,58,137,74,63,32,24,8,1,0,1,1,1,0
羌族,323,169,154,184,96,88,130,70,60,6,3,3,3,0,3,0,0,0
布朗族,170,90,80,77,42,35,71,41,30,19,6,13,3,1,2,0,0,0
撒拉族,256,150,106,85,56,29,87,48,39,60,34,26,20,10,10,4,2,2
毛南族,101,41,60,44,19,25,47,19,28,9,3,6,1,0,1,0,0,0
仡佬族,733,408,325,314,178,136,333,179,154,65,39,26,16,9,7,5,3,2
锡伯族,111,60,51,73,40,33,37,19,18,1,1,0,0,0,0,0,0,0
阿昌族,58,30,28,20,13,7,31,14,17,6,3,3,1,0,1,0,0,0
普米族,55,29,26,20,10,10,24,11,13,11,8,3,0,0,0,0,0,0
塔吉克族,60,28,32,36,18,18,16,6,10,7,4,3,1,0,1,0,0,0
怒族,67,38,29,26,14,12,22,14,8,10,6,4,5,2,3,4,2,2
乌孜别克族,13,4,9,7,4,3,4,0,4,1,0,1,1,0,1,0,0,0
俄罗斯族,16,9,7,10,7,3,6,2,4,0,0,0,0,0,0,0,0,0
鄂温克族,43,23,20,31,18,13,11,5,6,1,0,1,0,0,0,0,0,0
德昂族,31,19,12,12,6,6,15,10,5,4,3,1,0,0,0,0,0,0
保安族,55,31,24,20,11,9,23,15,8,7,2,5,3,2,1,2,1,1
裕固族,5,2,3,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0
京族,62,38,24,26,16,10,21,15,6,11,5,6,2,1,1,2,1,1
塔塔尔族,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
独龙族,13,5,8,3,1,2,8,2,6,2,2,0,0,0,0,0,0,0
鄂伦春族,9,7,2,7,6,1,2,1,1,0,0,0,0,0,0,0,0,0
赫哲族,4,3,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0
门巴族,18,10,8,9,7,2,4,2,2,3,1,2,1,0,1,1,0,1
珞巴族,3,2,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
基诺族,21,10,11,9,2,7,10,7,3,1,1,0,1,0,1,0,0,0
未定族称人口,911,511,400,347,183,164,361,214,147,141,85,56,46,23,23,16,6,10
入籍,53,28,25,34,18,16,14,7,7,3,2,1,1,0,1,1,1,0
