民族,3岁及以上人口,未上过学,学前教育,小学,初中,高中,大学专科,大学本科,硕士研究生,博士研究生
Unit,人,人,人,人,人,人,人,人,人,人
Remark,2-3全国各民族分性别、受教育程度的3岁及以上人口
总计,1368140098,48595937,53355845,349658733,487095010,212209922,112303002,94156072,9488228,1277349
汉族,1247564630,41214914,47214747,310225809,447493408,198724224,104803905,87633137,9034841,1219645
蒙古族,6061485,167703,265851,1482660,1900875,846113,615544,702036,71848,8855
回族,10921051,751600,529002,3407936,3280868,1370529,758180,745902,68302,8732
藏族,6735027,1554466,338601,2633530,962699,465713,432043,334922,11658,1395
维吾尔族,11539014,309675,901738,4252498,3816240,1156307,693918,397206,9899,1533
苗族,10575558,802793,523221,3799786,3528907,1015212,483596,399476,20088,2479
彝族,9382692,881172,519229,3993174,2475854,749177,428899,320654,13042,1491
壮族,18854018,647992,945393,5499047,7510157,2333390,1101580,775115,37346,3998
布依族,3414048,272440,177261,1174992,1165678,305044,154733,157647,5647,606
朝鲜族,1671001,18509,41143,225441,666448,388081,132255,177439,17958,3727
满族,10095800,178046,377155,2401071,4021325,1275240,839596,890715,100251,12401
侗族,3351259,175329,161670,1044036,1212208,373496,196266,178910,8363,981
瑶族,3166665,172240,174320,1111716,1075008,347414,154382,122730,7848,1007
白族,2007596,86266,86846,615933,675541,237517,148249,146206,9680,1358
土家族,9243956,322507,406359,2780353,3212464,1328716,602756,543017,42117,5667
哈尼族,1660698,160389,71852,733246,447530,130574,70874,44408,1637,188
哈萨克族,1513168,25782,85803,486640,494909,188223,133005,96269,2295,242
傣族,1277919,121003,55976,533706,362297,102919,58205,41884,1748,181
黎族,1541070,62879,70284,399822,706932,173614,75147,50742,1506,144
傈僳族,728268,92115,34873,338630,177350,43336,24054,17251,608,51
佤族,410857,41895,17189,190167,111988,26774,14254,8343,229,18
畲族,716602,35148,39533,251367,217476,86526,43024,40199,2972,357
高山族,3325,70,199,597,842,582,414,530,82,9
拉祜族,476376,61142,20263,242003,106022,22792,13274,10343,495,42
水族,473453,35866,25863,173785,150007,43281,21024,22822,736,69
东乡族,720886,125516,59821,350646,127452,31220,13478,12246,467,40
纳西族,311635,16213,12731,84786,96776,41953,30122,26934,1871,249
景颇族,151668,14582,7223,57923,45970,13747,7544,4462,203,14
柯尔克孜族,198714,5272,13864,76547,50603,23606,17789,10775,226,32
土族,269542,22764,13415,92726,65154,27637,20874,25673,1141,158
达斡尔族,127764,1862,5359,23796,44164,19471,15282,15844,1743,243
仫佬族,264651,9058,16113,80870,87196,32990,19105,17999,1200,120
羌族,301508,17928,13524,103631,80599,33325,28056,22791,1464,190
布朗族,120968,15676,5667,53610,29547,7811,4458,3984,182,33
撒拉族,155256,24678,9451,69408,31003,9966,4825,5699,201,25
毛南族,118709,3921,6773,35758,43760,13627,7363,7103,366,38
仡佬族,644185,34553,34644,199793,204236,72810,42847,52793,2275,234
锡伯族,185452,2031,7662,32770,68011,28301,20961,22857,2497,362
阿昌族,41457,3171,2308,15397,12720,3786,2047,1956,68,4
普米族,42752,3714,2376,14360,11221,4478,3430,3020,138,15
塔吉克族,49186,999,2911,20176,11746,7117,4996,1221,20,0
怒族,34145,3929,2487,13367,8670,2410,1875,1367,38,2
乌孜别克族,12405,183,814,3331,3130,1902,1438,1520,70,17
俄罗斯族,15580,190,760,1895,3669,2868,2706,3148,303,41
鄂温克族,33177,544,1557,6578,10233,5369,4384,4113,355,44
德昂族,21150,2437,1186,9732,5317,1404,644,418,10,2
保安族,22820,2862,1929,9466,4704,1963,1027,844,23,2
裕固族,14165,461,607,4312,3225,1802,1603,1977,158,20
京族,30976,972,2677,7892,9932,4536,2476,2339,144,8
塔塔尔族,3444,53,167,726,756,550,532,590,59,11
独龙族,6865,629,411,2398,2067,582,486,272,14,6
鄂伦春族,8700,143,497,1388,2358,1311,1426,1417,140,20
赫哲族,5121,61,283,776,1440,746,669,977,144,25
门巴族,10582,2884,680,2985,1242,1013,890,860,27,1
珞巴族,3978,807,276,1545,475,278,220,371,5,1
基诺族,24909,1805,1043,8176,8498,2500,1760,1067,55,5
