民族,人口,劳动收入,离退休金/养老金,最低生活保障金,失业保险金,财产性收入,家庭其他成员供养,其他
Unit,人,人,人,人,人,人,人,人
Remark,2-3全国各民族分性别、主要生活来源的15岁及以上人口
总计,114261590,66173046,11525075,1752313,41948,881568,27940394,5947246
汉族,105143639,60652727,11067507,1563826,39772,793224,25695402,5331181
蒙古族,486694,287423,37822,11806,125,8145,112616,28757
回族,859291,459377,93439,16906,320,7589,230869,50791
藏族,506256,259321,14059,11679,77,13574,120837,86709
维吾尔族,755756,472359,32822,24499,269,10760,154470,60577
苗族,784133,486651,18198,16254,91,4558,208072,50309
彝族,731814,500364,12746,14258,93,4576,152036,47741
壮族,1404590,903805,54656,21679,357,7648,338153,78292
布依族,244730,149151,5845,5663,47,1356,69909,12759
朝鲜族,90102,37458,21805,2084,45,2789,21910,4011
满族,830441,472770,79938,18172,330,8522,205338,45371
侗族,257068,152398,7625,4897,25,1164,75144,15815
瑶族,229771,143947,6768,4915,45,851,59618,13627
白族,170556,109744,6262,1960,36,1221,44294,7039
土家族,738897,436821,28942,16179,115,4122,210018,42700
哈尼族,139210,98798,2986,1464,14,779,28731,6438
哈萨克族,105349,53387,6943,1863,41,3288,27859,11968
傣族,105686,74697,2422,609,9,1406,21683,4860
黎族,115448,71803,5256,1736,20,1980,21945,12708
傈僳族,57318,40162,731,1768,4,271,10778,3604
佤族,33041,25450,772,384,5,96,5100,1234
畲族,54821,34889,1748,922,4,219,14968,2071
高山族,249,149,38,3,0,2,48,9
拉祜族,36230,28125,619,528,2,145,5466,1345
水族,33059,20585,580,1011,6,136,8968,1773
东乡族,46815,24778,820,1290,4,407,14700,4816
纳西族,26765,16880,1609,266,10,313,5931,1756
景颇族,11040,7427,238,136,1,102,2509,627
柯尔克孜族,14884,8002,825,341,3,264,3767,1682
土族,21382,12234,781,281,23,130,6121,1812
达斡尔族,10385,5370,1438,342,0,301,2323,611
仫佬族,19201,11755,999,259,8,84,5014,1082
羌族,26321,16943,1531,306,4,162,6177,1198
布朗族,9420,7218,164,62,1,22,1670,283
撒拉族,10614,4782,279,134,1,137,3914,1367
毛南族,8456,5313,357,147,4,39,2237,359
仡佬族,45566,25103,1154,912,15,306,15438,2638
锡伯族,15546,8729,1878,200,9,247,3417,1066
阿昌族,3000,2102,49,33,0,17,686,113
普米族,3310,2084,72,54,0,28,770,302
塔吉克族,3762,2219,132,100,1,25,1043,242
怒族,2617,1701,70,91,0,9,484,262
乌孜别克族,959,479,120,29,0,22,227,82
俄罗斯族,1316,652,348,9,0,22,224,61
鄂温克族,2584,1399,222,101,2,107,556,197
德昂族,1549,1098,23,15,0,12,313,88
保安族,1476,584,67,33,0,12,517,263
裕固族,1167,699,67,21,0,40,235,105
京族,2322,1270,166,38,0,18,590,240
塔塔尔族,281,155,48,4,0,3,53,18
独龙族,526,307,15,6,0,4,86,108
鄂伦春族,684,358,75,51,0,19,151,30
赫哲族,418,237,67,0,1,6,96,11
门巴族,784,430,19,5,0,8,227,95
珞巴族,294,138,8,11,0,2,70,65
基诺族,2000,1469,81,23,1,5,359,62
