民族,人口,未婚,已婚,离婚,丧偶
Unit,人,人,人,人,人
Remark,2-4全国各民族分性别、婚姻状况的15岁及以上人口
总计,114261590,21947434,83036998,2716772,6560386
汉族,105143639,19807717,76829669,2480278,6025975
蒙古族,486694,105537,341175,14935,25047
回族,859291,166146,625292,24739,43114
藏族,506256,169838,296023,12140,28255
维吾尔族,755756,176071,506342,31426,41917
苗族,784133,191477,531869,15663,45124
彝族,731814,194867,481196,13081,42670
壮族,1404590,322517,957783,26683,97607
布依族,244730,60288,161690,5803,16949
朝鲜族,90102,16636,59662,5415,8389
满族,830441,157511,603199,27717,42014
侗族,257068,59440,175498,6337,15793
瑶族,229771,58306,152139,4877,14449
白族,170556,39022,118284,3842,9408
土家族,738897,174145,504774,17229,42749
哈尼族,139210,35177,91729,3629,8675
哈萨克族,105349,23911,72910,2432,6096
傣族,105686,21393,74566,3570,6157
黎族,115448,34808,71445,2272,6923
傈僳族,57318,13666,37542,2003,4107
佤族,33041,8037,21845,844,2315
畲族,54821,12067,38428,1109,3217
高山族,249,64,168,6,11
拉祜族,36230,7661,24710,1263,2596
水族,33059,8645,21650,677,2087
东乡族,46815,8541,35458,702,2114
纳西族,26765,5821,18584,518,1842
景颇族,11040,2716,7141,365,818
柯尔克孜族,14884,3601,10077,490,716
土族,21382,5118,14622,532,1110
达斡尔族,10385,2418,6742,598,627
仫佬族,19201,4847,12738,550,1066
羌族,26321,6092,18247,552,1430
布朗族,9420,2346,6333,193,548
撒拉族,10614,2193,7728,271,422
毛南族,8456,2101,5554,210,591
仡佬族,45566,11409,30905,917,2335
锡伯族,15546,3466,10672,716,692
阿昌族,3000,772,1973,64,191
普米族,3310,955,2094,61,200
塔吉克族,3762,1006,2458,91,207
怒族,2617,694,1621,131,171
乌孜别克族,959,258,599,42,60
俄罗斯族,1316,296,858,87,75
鄂温克族,2584,686,1613,129,156
德昂族,1549,336,1054,58,101
保安族,1476,284,1087,29,76
裕固族,1167,246,810,52,59
京族,2322,610,1542,65,105
塔塔尔族,281,72,179,14,16
独龙族,526,153,308,25,40
鄂伦春族,684,162,451,46,25
赫哲族,418,91,288,21,18
门巴族,784,226,490,12,56
珞巴族,294,90,170,7,27
基诺族,2000,446,1362,78,114
