Province,Total,Male,Female,GenderRatio
Unit,人,人,人,%
Remark,各地区户数、人口数和性别比,,,
全国,1409778724,721416394,688362330,104.80
北京,21893095,11195390,10697705,104.65
天津,13866009,7144949,6721060,106.31
河北,74610235,37679003,36931232,102.02
山西,34915616,17805148,17110468,104.06
内蒙古,24049155,12275274,11773881,104.26
辽宁,42591407,21263529,21327878,99.70
吉林,24073453,12018319,12055134,99.69
黑龙江,31850088,15952468,15897620,100.35
上海,24870895,12875211,11995684,107.33
江苏,84748016,43031586,41716430,103.15
浙江,64567588,33680008,30887580,109.04
安徽,61027171,31103394,29923777,103.94
福建,41540086,21466757,20073329,106.94
江西,45188635,23318533,21870102,106.62
山东,101527453,51432931,50094522,102.67
河南,99365519,49832349,49533170,100.60
湖北,57752557,29694718,28057839,105.83
湖南,66444864,33995673,32449191,104.77
广东,126012510,66873646,59138864,113.08
广西,50126804,25916169,24210635,107.04
海南,10081232,5345081,4736151,112.86
重庆,32054159,16202133,15852026,102.21
四川,83674866,42289718,41385148,102.19
贵州,38562148,19705293,18856855,104.50
云南,47209277,24420924,22788353,107.16
西藏,3648100,1913588,1734512,110.32
陕西,39528999,20226490,19302509,104.79
甘肃,25019831,12700948,12318883,103.10
青海,5923957,3033846,2890111,104.97
宁夏,7202654,3668938,3533716,103.83
新疆,25852345,13354380,12497965,106.85
