Province,Total,L14,F15T64,M65
Unit,%,%,%,%
Remark,各地区人口年龄构成,,,
全国,100.00,17.97,68.50,13.52
北京,100.00,11.84,74.86,13.30
天津,100.00,13.47,71.77,14.75
河北,100.00,20.22,65.85,13.92
山西,100.00,16.35,70.74,12.90
内蒙古,100.00,14.04,72.90,13.05
辽宁,100.00,11.12,71.46,17.42
吉林,100.00,11.71,72.68,15.61
黑龙江,100.00,10.32,74.07,15.61
上海,100.00,9.80,73.92,16.28
江苏,100.00,15.21,68.59,16.20
浙江,100.00,13.45,73.29,13.27
安徽,100.00,19.24,65.75,15.01
福建,100.00,19.32,69.58,11.10
江西,100.00,21.96,66.16,11.89
山东,100.00,18.78,66.09,15.13
河南,100.00,23.14,63.38,13.49
湖北,100.00,16.31,69.10,14.59
湖南,100.00,19.52,65.67,14.81
广东,100.00,18.85,72.57,8.58
广西,100.00,23.63,64.18,12.20
海南,100.00,19.97,69.59,10.43
重庆,100.00,15.91,67.02,17.08
四川,100.00,16.10,66.97,16.93
贵州,100.00,23.97,64.48,11.56
云南,100.00,19.57,69.69,10.75
西藏,100.00,24.53,69.80,5.67
陕西,100.00,17.33,69.34,13.32
甘肃,100.00,19.40,68.02,12.58
青海,100.00,20.81,70.51,8.68
宁夏,100.00,20.38,70.00,9.62
新疆,100.00,22.46,69.78,7.76
