Province,Total,NoSchool,Preschool,PrimarySchool,JuniorSecondary,SeniorSecondary,College,University,Master,Doctor
Unit,人,人,人,人,人,人,人,人,人,人
Remark,各地区分性别、受教育程度的就业人口,,,,,,,,
全国,65631786,857606,37756,10694879,27988466,11069968,7625702,6538253,728485,90671
北京,1015007,2181,144,31215,204177,156190,183429,323374,98612,15685
天津,504665,1731,63,34809,165998,82642,81051,119220,17175,1976
河北,3332630,17388,898,437463,1753031,503590,351975,246952,19709,1624
山西,1452063,5936,362,145283,664285,260185,205547,156174,12960,1331
内蒙古,1049550,14595,170,166872,400135,160043,157152,138862,10927,794
辽宁,1799414,5087,260,216105,831515,256699,227071,236465,23670,2542
吉林,1008886,5405,162,174956,424091,157503,108692,124273,12100,1704
黑龙江,1283401,5984,338,194452,594193,202278,141322,133101,10164,1569
上海,1264922,6126,228,71879,349960,208849,214130,325707,78485,9558
江苏,4062749,37689,2684,496873,1616120,772551,577504,496630,55880,6818
浙江,3642236,45157,2591,661770,1489995,592171,418005,389408,38795,4344
安徽,2766699,67980,2330,518247,1213809,417107,298810,224607,21546,2263
福建,2052886,26559,2022,419445,839148,332545,211699,204016,15449,2003
江西,2260971,16837,1206,401576,1082151,388453,213078,144796,11485,1389
山东,4764872,76960,2649,722400,2160431,794894,534731,423380,44547,4880
河南,4225042,51204,2438,596166,2097189,757756,420675,271967,24794,2853
湖北,3046668,24722,2142,457642,1316187,615574,343972,251164,30450,4815
湖南,3041080,16040,2027,390679,1384807,683762,327005,215435,18549,2776
广东,6203762,22584,2517,602284,2672787,1400961,806764,621429,67160,7276
广西,2013956,19731,1004,396370,983505,278621,182626,141368,9697,1034
海南,422630,5745,166,46977,212406,71234,45151,38217,2445,289
重庆,1526217,10033,790,313423,561333,280186,189826,154974,13849,1803
四川,4552395,106334,6237,1122456,1816880,668354,456733,339520,31997,3884
贵州,1480345,73842,622,414811,578052,139962,129431,135700,7123,802
云南,2519755,74783,1499,866172,940006,249250,194762,181298,10682,1303
西藏,117903,23182,307,35192,23253,8863,11539,14849,671,47
陕西,1606941,21426,854,209243,673976,267329,228571,180923,21435,3184
甘肃,959370,42263,429,230613,326712,128204,116895,106192,6982,1080
青海,226183,12320,185,57922,67123,25814,30019,31035,1596,169
宁夏,314750,7233,102,60983,112456,45138,44627,41217,2765,229
新疆,1113838,10549,330,200601,432755,163260,172910,126000,6786,647
