Province,Total,Unmarried,Married,Divorce,Widowed
Unit,人,人,人,人,人
Remark,各地区分性别、婚姻状况的15岁及以上人口,,,,
全国,114261590,21947434,83036998,2716772,6560386
北京,1852002,385045,1338026,52412,76519
天津,1060933,192845,779817,33759,54512
河北,5912499,938692,4520551,109209,344047
山西,2887300,516636,2158753,52178,159733
内蒙古,2005584,302498,1528435,59159,115492
辽宁,3633278,576058,2648437,161824,246959
吉林,1937575,291931,1422648,87828,135168
黑龙江,2637902,430665,1902857,127842,176538
上海,2183950,440417,1577333,67360,98840
江苏,6979672,1088192,5361483,133349,396648
浙江,5632551,1013698,4228430,129742,260681
安徽,4877094,833007,3638419,104775,300893
福建,3188888,592284,2351646,71112,173846
江西,3786171,828360,2682475,69012,206324
山东,8231972,1328788,6273095,124189,505900
河南,7532705,1507912,5469220,111929,443644
湖北,5118036,967284,3721726,120804,308222
湖南,5674153,1156295,4016261,136288,365309
广东,9826600,2654005,6632968,174396,365231
广西,3517749,776520,2422055,72579,246595
海南,739671,180442,508675,12762,37792
重庆,2785011,547351,1970035,95258,172367
四川,7466650,1424843,5334325,218471,489011
贵州,2769151,572640,1927469,82923,186119
云南,3899521,857957,2710690,103200,227674
西藏,250082,79837,152763,5269,12213
陕西,3062288,556521,2269145,56026,180596
甘肃,1910067,328224,1416628,36772,128443
青海,453713,96917,315318,16288,25190
宁夏,564754,100586,422141,16938,25089
新疆,1884068,380984,1335174,73119,94791
