Province,Total,ReinforcedSoil,HybridStructure,BrickStructure,BambooGrassAdobe,Other
Unit,户,户,户,户,户,户
Remark,各地区按建筑层数、承重类型分的家庭户户数,本表数据为居住在普通住宅的家庭户,,,
全国,45791305,24154579,14683420,6221894,310104,421308,
北京,772865,487369,208163,75900,137,1296
天津,448523,266364,118736,61917,423,1083
河北,2416146,865199,933688,597984,9947,9328
山西,1188728,452760,451303,242744,14784,27137
内蒙古,868558,400062,202514,243694,13893,8395,
辽宁,1628448,822419,490710,306655,2010,6654
吉林,857737,447354,180446,221037,6367,2533
黑龙江,1172755,689813,189100,266707,16626,10509,
上海,901732,538169,301422,61441,26,674
江苏,2743393,1511107,956665,269063,520,6038
浙江,2279907,1279681,793480,186113,9513,11120
安徽,2005193,1070671,691892,233257,2241,7132
福建,1266971,759242,386145,68909,15710,36965
江西,1340608,836789,421808,74213,4014,3784
山东,3465782,1435845,1063765,925642,21127,19403,
河南,2975955,1222880,1425552,315188,2794,9541
湖北,1894974,931761,768404,173962,12699,8148
湖南,2162386,941986,953214,239447,4576,23163
广东,3752057,3053160,561669,125547,2060,9621
广西,1445879,862926,523897,48346,3284,7426
海南,264959,188421,46331,28638,69,1500,
重庆,1136063,665170,328037,113478,17019,12359
四川,2947695,1460817,927771,435651,75088,48368
贵州,1145420,676419,326591,110248,2226,29936
云南,1413050,734239,357883,230738,31656,58534
西藏,76553,32983,11294,20189,3153,8934,
陕西,1275990,642457,520952,74101,13813,24667
甘肃,764771,350538,168844,209648,19500,16241
青海,174934,90895,41004,40705,622,1708
宁夏,233945,97625,77994,56622,489,1215
新疆,769328,339458,254146,164110,3718,7896,,
