Province,Total,Bungalow,MultilayerL7,HighLevelF8T33,SuperHighLevelM34
Unit,户,户,户,户,户
Remark,各地区按建筑层数、承重类型分的家庭户户数,本表数据为居住在普通住宅的家庭户,,,
全国,45791305,12797543,24193815,8506652,293295
北京,772865,142296,333180,296022,1367
天津,448523,92891,205957,146355,3320
河北,2416146,1400555,632272,374189,9130
山西,1188728,529874,472793,182034,4027
内蒙古,868558,361978,383742,122180,658
辽宁,1628448,541100,715048,359558,12742
吉林,857737,305152,395392,154438,2755
黑龙江,1172755,384904,579388,205497,2966
上海,901732,52401,576163,268385,4783
江苏,2743393,548539,1592572,578487,23795
浙江,2279907,235593,1676891,361003,6420
安徽,2005193,478960,1181502,323686,21045
福建,1266971,113292,870304,271630,11745
江西,1340608,154987,1016084,167025,2512
山东,3465782,1791836,1164213,501568,8165
河南,2975955,1126186,1458169,373794,17806
湖北,1894974,318963,1176249,374448,25314
湖南,2162386,438807,1451980,262011,9588
广东,3752057,429646,2273835,1015231,33345
广西,1445879,277141,983530,177298,7910
海南,264959,100832,115408,48580,139
重庆,1136063,145221,519498,454043,17301
四川,2947695,718896,1601935,601619,25245
贵州,1145420,331980,627165,170963,15312
云南,1413050,432022,840873,129142,11013
西藏,76553,32348,41131,3068,6
陕西,1275990,453828,532371,281869,7922
甘肃,764771,386102,249332,124909,4428
青海,174934,72584,68718,32083,1549
宁夏,233945,77207,115665,40724,349
新疆,769328,321422,342455,104813,638
