Province,Total,B1949,F1949T1959,F1960T1969,F1970T1979,F1980T1989,F1990T1999,F2000T2009,F2010T2019,A2019
Unit,户,户,户,户,户,户,户,户,户,户
Remark,各地区按住房建成时间分的家庭户住房状况,,,,,,,,,
全国,45791305,167148,159811,369506,1226986,4692907,9411190,13891612,9825538,6046607
北京,772865,4568,9667,8772,23315,100708,158113,252700,135291,79731
天津,448523,1286,2325,3054,20014,76465,94889,116385,87905,46200
河北,2416146,4892,6838,22820,102398,351726,542297,680251,472794,232130
山西,1188728,11332,7803,17053,52798,175168,243629,315308,230484,135153
内蒙古,868558,561,1978,4921,18999,77172,147486,257571,222900,136970
辽宁,1628448,3672,6525,17769,71183,268543,373207,448931,299874,138744
吉林,857737,397,1428,3743,18286,96129,185617,257737,197516,96884
黑龙江,1172755,1049,4297,10624,38618,139774,252831,301377,299867,124318
上海,901732,17294,7958,5957,21471,148999,252646,260105,112368,74934
江苏,2743393,5750,5683,14326,66263,343526,644124,845240,536246,282235
浙江,2279907,25188,11792,24896,69234,258965,527248,687286,384074,291224
安徽,2005193,1781,2536,7557,28826,142454,403140,642452,488018,288429
福建,1266971,12445,6926,15490,38772,117465,266239,409279,252516,147839
江西,1340608,2684,2631,6987,23255,91850,239096,472215,331340,170550
山东,3465782,13113,18453,49156,150436,488399,746965,969106,643864,386290
河南,2975955,2888,5657,14629,56701,268837,633884,938566,676057,378736
湖北,1894974,3078,4663,11553,43892,191017,382651,593024,415302,249794
湖南,2162386,4725,7106,20080,62384,205658,498387,659070,430266,274710
广东,3752057,16595,11390,25598,75290,308508,920518,1313437,674374,406347
广西,1445879,2677,2587,6971,20317,78847,243994,466066,370978,253442
海南,264959,691,701,1858,5378,19561,45484,67106,73675,50505
重庆,1136063,4932,4141,10100,25811,79315,211957,372005,271665,156137
四川,2947695,12313,9888,25612,81839,266086,550698,930193,643634,427432
贵州,1145420,3744,5313,13640,29525,70717,138162,333704,312675,237940
云南,1413050,6186,5838,13779,35166,112239,210948,335413,327771,365710
西藏,76553,246,235,314,602,1843,5284,28623,18076,21330
陕西,1275990,2087,3660,7716,27779,107527,227977,406527,323209,169508
甘肃,764771,534,1160,2975,12438,62088,131056,230510,190538,133472
青海,174934,162,201,474,1575,7087,16209,45316,64168,39742
宁夏,233945,15,72,215,950,7491,29851,71714,77235,46402
新疆,769328,263,359,867,3471,28743,86603,184395,260858,203769
