Province,Total,Household,CollectiveHousehold,HouseholdSize
Unit,户,户,户,人/户
Remark,各地区户数、人口数和性别比,,,
全国,522689264,494157423,28531841,2.62
北京,9137928,8230792,907136,2.31
天津,5464620,4867116,597504,2.40
河北,26355634,25429609,926025,2.75
山西,13384751,12746142,638609,2.52
内蒙古,9974153,9483957,490196,2.35
辽宁,18168393,17467111,701282,2.29
吉林,9961655,9426822,534833,2.34
黑龙江,13707216,13024687,682529,2.22
上海,10466847,9644628,822219,2.32
江苏,31922656,29910849,2011807,2.60
浙江,26880850,25008606,1872244,2.35
安徽,22888078,21910377,977701,2.61
福建,15306514,14371078,935436,2.68
江西,14791970,14072847,719123,2.94
山东,37045463,35184241,1861222,2.70
河南,33224985,31782693,1442292,2.86
湖北,21019329,19931045,1088284,2.65
湖南,23892020,22878336,1013684,2.67
广东,46691647,42469178,4222469,2.63
广西,16865333,16215014,650319,2.87
海南,3200027,2961646,238381,3.06
重庆,12627668,12040234,587434,2.45
四川,32205094,30756120,1448974,2.51
贵州,13265872,12696585,569287,2.81
云南,15861557,15146831,714726,2.88
西藏,1089496,1014090,75406,3.19
陕西,14975672,14211344,764328,2.53
甘肃,8769671,8422836,346835,2.77
青海,2079275,1965893,113382,2.79
宁夏,2661882,2535074,126808,2.65
新疆,8803008,8351642,451366,2.81
