Province,Total,Male,Female,Ratio,MaleRatio,FemaleRatio
Unit,人,人,人,每十万人,每十万人,每十万人
Remark,各地区分年龄、性别的人口,,,,,
全国,118866,35129,83737,8.431535955,4.869448531,12.16466915
北京,2793,1103,1690,12.75744704,9.85226955,15.79778093
天津,1932,730,1202,13.93335314,10.21700785,17.88408376
河北,4465,1593,2872,5.984433637,4.227818873,7.776615738
山西,1526,474,1052,4.37053724,2.662151418,6.148283028
内蒙古,2141,881,1260,8.902599696,7.177029205,10.70165394
辽宁,5787,2401,3386,13.58724778,11.29163461,15.87593477
吉林,2563,1125,1438,10.64658236,9.360710096,11.92852771
黑龙江,6127,2627,3500,19.23699551,16.46767133,22.01587407
上海,3246,888,2358,13.05140004,6.896974349,19.65706999
江苏,8092,2149,5943,9.548306122,4.994006031,14.2461855
浙江,3477,1050,2427,5.385054805,3.117576457,7.8575272
安徽,5526,1259,4267,9.054983066,4.047789769,14.25956356
福建,3023,755,2268,7.277307996,3.517065945,11.29857434
江西,2523,743,1780,5.583262252,3.186306789,8.138965241
山东,8244,1691,6553,8.119971255,3.287776853,13.08127064
河南,9845,1938,7907,9.907863511,3.889040029,15.96304052
湖北,4201,1271,2930,7.274136797,4.280222496,10.44271442
湖南,3358,859,2499,5.053814242,2.52679216,7.70127058
广东,9379,2325,7054,7.442911819,3.476705906,11.92785847
广西,6925,1539,5386,13.81496415,5.938377698,22.24642187
海南,2742,639,2103,27.19905662,11.95491705,44.40314509
重庆,2350,754,1596,7.331341933,4.653708249,10.06811369
四川,8554,2835,5719,10.22290254,6.703757164,13.81896713
贵州,2513,853,1660,6.516753164,4.328786179,8.803164685
云南,2429,780,1649,5.145175174,3.193982341,7.236152608
西藏,147,41,106,4.029494806,2.142571964,6.11122898
陕西,2561,904,1657,6.478787889,4.469386433,8.584376259
甘肃,718,237,481,2.86972362,1.866002443,3.90457479
青海,175,67,108,2.95410652,2.208417962,3.736880694
宁夏,147,47,100,2.040914363,1.281024645,2.829882198
新疆,1357,571,786,5.249040271,4.275750727,6.289023853
