Province,Total,Male,Female,Ratio,MaleRatio,FemaleRatio
Unit,人,人,人,%,%,%
Remark,各地区分性别的15岁及以上文盲人口,,,,,
全国,37704017,9499681,28204336,3.26,1.62,4.95
北京,172141,38227,133914,0.89,0.39,1.42
天津,169807,41581,128226,1.42,0.67,2.20
河北,1127792,260624,867168,1.89,0.88,2.91
山西,422024,123585,298439,1.45,0.83,2.08
内蒙古,792204,216205,575999,3.83,2.06,5.67
辽宁,381928,105570,276358,1.01,0.56,1.45
吉林,320865,95838,225027,1.51,0.91,2.10
黑龙江,436127,131375,304752,1.53,0.92,2.13
上海,401232,80974,320258,1.79,0.70,2.96
江苏,2210138,460255,1749883,3.08,1.27,4.90
浙江,1753644,437643,1316001,3.14,1.51,4.91
安徽,2731931,665356,2066575,5.54,2.69,8.43
福建,969613,174329,795284,2.89,1.02,4.85
江西,875063,178545,696518,2.48,1.00,4.01
山东,3306469,734437,2572032,4.01,1.79,6.22
河南,2225359,542902,1682457,2.91,1.44,4.34
湖北,1339445,293761,1045684,2.77,1.19,4.41
湖南,1134692,286274,848418,2.12,1.06,3.21
广东,1825257,393622,1431635,1.78,0.73,2.97
广西,1186492,248225,938267,3.10,1.27,5.02
海南,326988,77798,249190,4.05,1.83,6.52
重庆,520698,138679,382019,1.93,1.02,2.85
四川,3326403,952948,2373455,4.74,2.70,6.80
贵州,2570789,602982,1967807,8.77,4.08,13.53
云南,2191341,641120,1550221,5.77,3.27,8.44
西藏,773184,297847,475337,28.08,20.44,36.68
陕西,1087779,312607,775172,3.33,1.88,4.83
甘肃,1677613,473738,1203875,8.32,4.66,12.04
青海,469499,147262,322237,10.01,6.14,14.06
宁夏,290889,76950,213939,5.07,2.65,7.56
新疆,686611,268422,418189,3.43,2.59,4.32
