Province,Total,HK,Macao,Taiwan,Foreign
Unit,人,人,人,人,人
Remark,按地区分的港澳台居民和外籍人员,,,,
全国,1430695,371380,55732,157886,845697
北京,62812,10365,1130,6320,44997
天津,9167,646,114,733,7674
河北,6434,424,57,476,5477
山西,1720,198,44,136,1342
内蒙古,1717,211,12,89,1405
辽宁,20562,921,106,797,18738
吉林,6790,333,56,181,6220
黑龙江,3153,354,39,137,2623
上海,163954,23631,1740,38388,100195
江苏,58201,4278,489,23627,29807
浙江,46189,7694,431,7154,30910
安徽,11585,871,66,2374,8274
福建,106248,46403,5465,18731,35649
江西,9700,1171,115,1060,7354
山东,21829,1582,100,1797,18350
河南,7475,748,88,783,5856
湖北,14081,2241,327,2009,9504
湖南,8079,1940,253,1416,4470
广东,418509,254989,43856,41177,78487
广西,26043,1929,189,1347,22578
海南,5902,2401,132,634,2735
重庆,9540,2163,224,2774,4379
四川,16589,2786,194,3670,9939
贵州,3498,988,51,507,1952
云南,379281,1294,332,966,376689
西藏,405,1,1,1,402
陕西,7750,407,82,392,6869
甘肃,1373,105,12,55,1201
青海,245,34,2,20,189
宁夏,537,96,3,36,402
新疆,1327,176,22,99,1030
