9-5各地区按月租房费用分的家庭户户数
,单位：户
地区,合计,200元,200-,500-,1000-,2000-,3000-,4000-,6000-,8000-,10000元
,,以下,499元,999元,1999元,2999元,3999元,5999元,7999元,9999元,及以上
全国,6680598,755791,1929470,1796716,1387591,408728,170166,132723,51840,20423,27150
北京,273927,26118,23051,44053,52982,31927,28974,35522,18807,6198,6295
天津,70423,13430,6023,13076,28792,6661,1472,696,134,49,90
河北,137988,19407,30996,32761,48054,4476,809,565,224,212,484
山西,109364,28316,32106,23555,19940,2987,870,603,351,222,414
内蒙古,105928,23169,27720,24600,24986,2732,621,597,442,336,725
辽宁,119408,25556,24523,32912,29372,4855,993,562,279,111,245
吉林,83860,15534,13155,28386,22598,2917,595,279,168,109,119
黑龙江,90582,20783,19140,27202,17019,2160,675,1087,1224,716,576
上海,349306,24681,38752,66102,82013,46624,36289,34269,10031,4298,6247
江苏,352558,26143,91375,86924,97878,35091,9107,3951,1029,382,678
浙江,767106,51219,255147,258239,128756,40965,17627,10309,2380,816,1648
安徽,177578,26861,41305,48957,49106,7561,1682,893,422,256,535
福建,321158,25168,119283,87741,52876,23758,7818,3214,756,268,276
江西,110109,24768,32875,30580,17427,2984,782,389,147,52,105
山东,219172,19735,42189,60958,75608,14136,3012,1504,624,511,895
河南,160711,26533,43062,32831,42244,11429,2474,1150,383,201,404
湖北,162108,23088,40137,41228,38203,13924,3373,1353,411,142,249
湖南,145131,28552,38398,36081,30701,7763,1773,1011,422,164,266
广东,1555483,78742,561071,481226,268289,85955,36389,27090,10051,3399,3271
广西,155092,24401,64530,40567,18806,4510,1228,584,186,81,199
海南,48228,3167,7515,21305,11131,3437,1047,383,114,49,80
重庆,140945,19821,41582,40787,30818,5541,1148,572,284,169,223
四川,314046,45969,86445,81471,74358,16821,4530,2070,1086,559,737
贵州,117828,19358,39900,30146,20258,4496,1356,983,455,297,579
云南,196792,33084,84945,43341,24815,6311,1714,1124,536,258,664
西藏,15932,7653,1386,3077,2177,849,415,199,76,24,76
陕西,171034,25172,61035,32242,38300,10841,1786,820,288,178,372
甘肃,67622,11626,25684,12749,13671,2540,556,291,180,82,243
青海,20089,4973,5401,3994,4636,699,172,94,48,17,55
宁夏,30522,8731,8171,8210,4525,456,134,164,52,40,39
新疆,90568,24033,22568,21415,17252,3322,745,395,250,227,361
