"1-5 人口数及构成
",,,,,,,,,
"Population and Its Composition
",,,,,,,,,
"单位:万人
",,,,,,,,,
"Unit:10 000 persons
",,,,,,,,,
"年 份
Year","年底人口数
Total
Population
(year-end)",按性别分 by Sex,,,,按城乡分 by Residence,,,
,,男 Male,,女 Female,,城 镇 Urban,,乡 村 Rural,
,,"人口数
Population","比重(%)
Structure","人口数
Population","比重(%)
Structure","人口数
Population","比重(%)
Structure","人口数
Population","比重(%)
Structure"
1978,96259,49567,51.49,46692,48.51,17245,17.92,79014,82.08
1980,98705,50785,51.45,47920,48.55,19140,19.39,79565,80.61
1985,105851,54725,51.7,51126,48.3,25094,23.71,80757,76.29
1989,112704,58099,51.55,54605,48.45,29540,26.21,83164,73.79
1990,114333,58904,51.52,55429,48.48,30195,26.41,84138,73.59
1991,115823,59466,51.34,56357,48.66,31203,26.94,84620,73.06
1992,117171,59811,51.05,57360,48.95,32175,27.46,84996,72.54
1993,118517,60472,51.02,58045,48.98,33173,27.99,85344,72.01
1994,119850,61246,51.1,58604,48.9,34169,28.51,85681,71.49
1995,121121,61808,51.03,59313,48.97,35174,29.04,85947,70.96
1996,122389,62200,50.82,60189,49.18,37304,30.48,85085,69.52
1997,123626,63131,51.07,60495,48.93,39449,31.91,84177,68.09
1998,124761,63940,51.25,60821,48.75,41608,33.35,83153,66.65
1999,125786,64692,51.43,61094,48.57,43748,34.78,82038,65.22
2000,126743,65437,51.63,61306,48.37,45906,36.22,80837,63.78
2001,127627,65672,51.46,61955,48.54,48064,37.66,79563,62.34
2002,128453,66115,51.47,62338,48.53,50212,39.09,78241,60.91
2003,129227,66556,51.50,62671,48.50,52376,40.53,76851,59.47
2004,129988,66976,51.52,63012,48.48,54283,41.76,75705,58.24
2005,130756,67375,51.53,63381,48.47,56212,42.99,74544,57.01
2006,131448,67728,51.52,63720,48.48,58288,44.34,73160,55.66
2007,132129,68048,51.50,64081,48.50,60633,45.89,71496,54.11
2008,132802,68357,51.47,64445,48.53,62403,46.99,70339,53.01
2009,133450,68647,51.44,64803,48.56,64512,48.34,68938,51.66
2010,134091,68748,51.30,65343,48.70,66978,49.90,67113,50.10
2011,134735,69068,51.30,65667,48.70,69079,51.30,65656,48.70
2012,135404,69395,51.30,66009,48.70,71182,52.60,64222,47.40
2013,136072,69728,51.24,66344,48.76,73111,53.70,62961,46.30
2014,136782,70079,51.23,66703,48.77,74916,54.77,61866,45.23
2015,137462,70414,51.22,67048,48.78,77116,56.10,60346,43.90
2016,138271,70815,51.21,67456,48.79,79298,57.35,58973,42.65
2017,139008,71137,51.17,67871,48.83,81347,58.52,57661,41.48
2018,139538,71351,51.13,68187,48.87,83137,59.58,56401,40.42
2019,141008,72039,51.09,68969,48.91,88426,62.71,52582,37.29
2020,141178,72334,51.24,68844,48.76,90199,63.89,50979,36.11
