"2-1 历年社会消费品零售总额
",,
"Total Retail Sales of Consumer Goods
",,
"年 份
Year","社会消费品零售总额(亿元)
Total Retail Sales of Consumer Goods
(100 million yuan)","比上年增长(%)
Increase Over the Previous Year
(%)"
1952,276.8,
1963,604.5,0.1
1964,638.2,5.6
1965,670.3,5.0
1966,732.8,9.3
1967,770.5,5.1
1968,737.3,-4.3
1969,801.5,8.7
1970,858.0,7.0
1971,929.2,8.3
1972,1023.3,10.1
1973,1106.7,8.2
1974,1163.6,5.1
1975,1271.1,9.2
1976,1339.4,5.4
1977,1432.8,7.0
1978,1558.6,8.8
1979,1800.0,15.5
1980,2140.0,18.9
1981,2350.0,9.8
1982,2570.0,9.4
1983,2849.4,10.9
1984,3376.4,18.5
1985,4305.0,27.5
1986,4950.0,15.0
1987,5820.0,17.6
1988,7440.0,27.8
1989,8101.4,8.9
1990,8300.1,2.5
1991,9415.6,13.4
1992,10993.7,16.8
1993,14240.1,29.5
1994,18544.0,30.2
1995,23463.9,26.5
1996,28120.4,19.8
1997,30922.9,10.0
1998,32955.6,6.6
1999,35122.0,6.6
2000,38447.1,9.5
2001,42240.4,9.9
2002,47124.6,11.6
2003,51303.9,8.9
2004,58004.1,13.1
2005,66491.7,14.6
2006,76827.2,15.5
2007,90638.4,18.0
2008,110994.6,22.5
2009,128331.3,15.6
2010,152083.1,18.5
2011,179803.8,18.2
2012,205517.3,14.3
2013,232252.6,13.0
2014,259487.3,11.7
2015,286587.8,10.4
2016,315806.2,10.2
2017,347326.7,10.0
2018,377783.1,8.8
2019,408017.2,8.0
2020,391980.6,-3.9
"注:根据第四次全国经济普查结果及有关制度规定对1993-2019年社会消费品零售总额数据进行修订。
",,
 Note:The Retail Sales of Consumer Goods in 1993-2019 were revised according to the result of the Fourth Economic Census and the revelant,,
regulations.,,
