"2-13 各地区亿元以上商品交易市场基本情况
",,,,,,,
"Basic Statistics on Commodity Exchange Markets of Transaction Value
over 100 Million Yuan by Region
",,,,,,,
"年 份
Year","地 区
Region","市场数量
(个)
Number of
Markets
(unit)","摊位数
(个)
Number of
Booths
(unit)","营业面积
(万平方米)
Operational
Area
(10000 sq.m)","成交额
(亿元)
Turnover
(100 million
yuan)",,
,,,,,,"批发
Wholesale 
Value ","零 售
Retail
Value"
2000,,3087,2115115,8261.6,16358.9,11648.0,4710.9
2001,,3273,2200662,9397.3,17719.1,12562.5,5156.5
2002,,3258,2190814,10313.2,19840.0,15450.9,4389.2
2003,,3265,2148866,10984.0,21514.5,16832.6,4681.9
2004,,3365,2229818,12477.5,26102.7,21116.9,4985.8
2005,,3323,2248803,13140.8,30020.9,24544.2,5476.7
2006,,3876,2527987,18072.3,37137.5,29679.9,7457.5
2007,,4121,2681630,19814.6,44085.1,35871.5,8213.6
2008,,4567,2839070,21225.2,52458.0,43120.0,9337.9
2009,,4687,2994781,23230.3,57963.8,48308.2,9655.5
2010,,4940,3193365,24832.3,72703.5,60954.9,11748.6
2011,,5075,3334787,26234.5,82017.3,69390.8,12626.5
2012,,5194,3494122,27899.4,93023.8,80141.8,12882.0
2013,,5089,3488170,28868.3,98365.1,84628.3,13736.8
2014,,5023,3534757,29567.9,100309.9,86323.7,13986.2
2015,,4952,3468638,30065.7,100133.8,85836.9,14296.8
2016,,4861,3457899,30023.4,102139.7,87859.3,14280.4
2017,,4617,3347936,29691.8,108247.6,93996.9,14250.7
2018,,4296,3178423,29190.6,109373.3,95323.2,14050.1
2019,,4037,3045931,28447.4,112016.8,98733.4,13283.4
2020,,3891,2877393,29114.7,105748.7,93874.6,11874.1
北 京,Beijing,88,56567,585.2,2819.2,2041.2,778.0
天 津,Tianjin,41,25263,314.3,863.0,834.9,28.2
河 北,Hebei,178,237183,2355.1,5400.0,5198.3,201.7
山 西,Shanxi,30,23638,247.3,684.1,645.1,39.0
内蒙古,Inner Mongolia,43,26726,417.2,610.7,545.2,65.5
辽 宁,Liaoning,148,132264,1114.0,4202.9,3856.8,346.2
吉 林,Jilin,39,33900,331.1,348.4,192.0,156.3
黑龙江,Heilongjiang,46,26679,274.9,629.4,468.6,160.8
上 海,Shanghai,113,47207,411.7,9476.8,8901.1,575.7
江 苏,Jiangsu,420,308956,3711.3,21291.4,19732.0,1559.4
浙 江,Zhejiang,644,385473,3201.6,16621.0,14133.7,2487.3
安 徽,Anhui,104,104794,1239.1,2811.3,2440.4,370.9
福 建,Fujian,102,41219,281.1,1134.9,901.8,233.1
江 西,Jiangxi,107,91849,843.0,1833.4,1542.8,290.6
山 东,Shandong,383,260010,3289.7,8234.8,7541.4,693.4
河 南,Henan,118,103458,1278.2,3095.2,2729.0,366.2
湖 北,Hubei,108,68122,723.3,2090.0,1651.7,438.3
湖 南,Hunan,285,163560,1155.5,4439.9,3442.3,997.6
广 东,Guangdong,273,181710,1785.5,5368.5,4768.7,599.8
广 西,Guangxi,61,61602,312.6,1213.7,1014.7,199.0
海 南,Hainan,7,4340,59.8,130.5,116.1,14.5
重 庆,Chongqing,142,90038,796.1,3361.6,3008.1,353.5
四 川,Sichuan,111,134703,1212.8,3249.2,3044.2,205.0
贵 州,Guizhou,50,36348,492.0,1437.0,1246.0,191.0
云 南,Yunnan,29,44241,203.6,405.2,350.6,54.6
西 藏,Tibet,3,2335,3.5,25.8,20.2,5.6
陕 西,Shaanxi,46,37202,387.5,996.4,865.5,130.9
甘 肃,Gansu,31,27200,239.8,376.2,260.3,115.9
青 海,Qinghai,8,6908,71.4,100.8,89.8,11.0
宁 夏,Ningxia,35,23432,267.8,314.8,287.9,26.9
新 疆,Xinjiang,98,90466,1508.8,2182.4,2004.0,178.4
