"4-1-5 各地区限额以上餐饮业企业基本情况
",,,,,
"Basic Conditions of Enterprises above Designated Size
of Catering Services by Region
",,,,,
地区,Region,"餐饮业
Catering Services",,"#国有控股
State-controlled Enterprises",
,,"法人单位数
(个)
Number of
Corporation
Enterprises
(unit)","年末从业人数
(人)
Engaged
Persons at
the Year-end
(person)","法人单位数
(个)
Number of
Corporation
Enterprises
(unit)","年末从业人数
(人)
Engaged
Persons at
the Year-end
(person)"
全 国,National Total,32901,2576586,820,109171
北 京,Beijing,2009,255338,99,15014
天 津,Tianjin,515,56413,12,1036
河 北,Hebei,499,30615,21,1921
山 西,Shanxi,603,44798,30,4681
内蒙古,Inner Mongolia,227,20641,11,2290
辽 宁,Liaoning,347,36446,15,2390
吉 林,Jilin,155,8264,11,831
黑龙江,Heilongjiang,86,4748,7,319
上 海,Shanghai,2508,298170,64,9796
江 苏,Jiangsu,2510,234836,106,12298
浙 江,Zhejiang,2163,164265,37,10300
安 徽,Anhui,1359,89955,16,2203
福 建,Fujian,1411,88723,12,1269
江 西,Jiangxi,796,32914,25,1675
山 东,Shandong,1627,108085,88,9844
河 南,Henan,1184,54128,19,1714
湖 北,Hubei,1421,100311,10,830
湖 南,Hunan,1493,74012,18,1805
广 东,Guangdong,4868,435269,47,10846
广 西,Guangxi,531,36617,14,1789
海 南,Hainan,98,7819,,
重 庆,Chongqing,1181,60568,12,627
四 川,Sichuan,1795,163984,34,2358
贵 州,Guizhou,645,23416,30,2250
云 南,Yunnan,770,30157,18,1907
西 藏,Tibet,17,800,,
陕 西,Shaanxi,1419,75223,29,5726
甘 肃,Gansu,368,22233,15,955
青 海,Qinghai,56,3326,,
宁 夏,Ningxia,59,3965,4,460
新 疆,Xinjiang,181,10547,16,2037
