"4-2-2 各地区限额以上住宿业企业经营情况
",,,,,,
"Business of Enterprises above Designated Size of Hotels by Region
",,,,,,
"单位:万元
",,,,,,
"Unit:10000 yuan
",,,,,,
地 区,Region,"营业额
Business
Revenue",,,,
,,,"客房收入
from Hotel
Rooms","餐费收入
from Meals","商品销售额
from
Commodities","其他收入
Others"
全 国,National Total,33297430,17778004,10999930,788799,3730692
北 京,Beijing,2563444,1260670,523871,32649,746255
天 津,Tianjin,295432,185702,56196,4023,49510
河 北,Hebei,647016,289485,271210,10026,76295
山 西,Shanxi,402657,211465,143188,3992,44012
内蒙古,Inner Mongolia,277004,155127,102610,1786,17481
辽 宁,Liaoning,459417,232254,134175,7145,85844
吉 林,Jilin,190979,102726,63875,2300,22078
黑龙江,Heilongjiang,149779,87517,39599,6385,16279
上 海,Shanghai,2258782,1272348,487274,57017,442145
江 苏,Jiangsu,2058003,987675,858688,36797,174843
浙 江,Zhejiang,3021064,1466174,1219236,33679,301975
安 徽,Anhui,813138,377756,318887,60181,56315
福 建,Fujian,2130055,942506,1025847,58367,103335
江 西,Jiangxi,786150,435397,292272,19239,39242
山 东,Shandong,1392799,696966,537627,22304,135902
河 南,Henan,1201333,646212,444009,29525,81588
湖 北,Hubei,965649,572246,307848,22516,63038
湖 南,Hunan,1489937,801549,546603,64855,76931
广 东,Guangdong,4271265,2358800,1166363,117503,628588
广 西,Guangxi,762546,466352,201204,36396,58594
海 南,Hainan,1064614,685507,267736,7605,103766
重 庆,Chongqing,801656,454231,264129,23518,59779
四 川,Sichuan,1637308,901904,582387,55006,98011
贵 州,Guizhou,736317,490388,173902,24845,47183
云 南,Yunnan,738915,481238,177181,15965,64530
西 藏,Tibet,86655,57804,20030,59,8762
陕 西,Shaanxi,1250417,646885,513793,23207,66531
甘 肃,Gansu,363854,219333,120782,4357,19381
青 海,Qinghai,82255,59533,18024,734,3964
宁 夏,Ningxia,64809,35565,22281,1105,5859
新 疆,Xinjiang,334181,196689,99103,5713,32676
,,,,,,
,,,,,,
"4-2-2 续表 Continued
",,,,,,
国有控股,,,,,,
State-controlled Enterprises,,,,,,
单位:万元,,,,,,
 Unit:10000 yuan,,,,,,
地 区,Region,"营业额
Business
Revenue",,,,
,,,"客房收入
from Hotel
Rooms","餐费收入
from Meals","商品销售额
from
Commodities","其他收入
Others"
全 国,National Total,7466148,3030979,2596644,296632,1541899
北 京,Beijing,1265215,474950,308141,20923,461201
天 津,Tianjin,81805,33233,23356,2370,22846
河 北,Hebei,175365,64839,78494,1861,30171
山 西,Shanxi,119442,47394,48372,514,23162
内蒙古,Inner Mongolia,40639,14472,21727,202,4238
辽 宁,Liaoning,103940,34423,39276,2003,28239
吉 林,Jilin,55327,26731,19507,646,8444
黑龙江,Heilongjiang,43519,21227,12234,4710,5348
上 海,Shanghai,773795,324173,181176,51323,217123
江 苏,Jiangsu,607363,222481,280931,14121,89830
浙 江,Zhejiang,476358,199427,206472,4553,65906
安 徽,Anhui,154671,29360,60054,41993,23265
福 建,Fujian,376099,168345,160129,10327,37298
江 西,Jiangxi,113411,44258,54860,1193,13100
山 东,Shandong,409056,160473,179208,9219,60155
河 南,Henan,167659,64064,67649,4991,30956
湖 北,Hubei,108292,52438,36508,4521,14825
湖 南,Hunan,177678,67648,79108,8313,22609
广 东,Guangdong,752130,303756,233196,35220,179958
广 西,Guangxi,150092,47897,47187,29511,25498
海 南,Hainan,119209,77384,29016,545,12265
重 庆,Chongqing,128224,54939,51061,7906,14319
四 川,Sichuan,167735,75545,54925,8741,28525
贵 州,Guizhou,166582,83238,51068,11010,21266
云 南,Yunnan,157751,72107,47008,10164,28472
西 藏,Tibet,30992,16320,8373,4,6295
陕 西,Shaanxi,238340,94824,110211,3824,29482
甘 肃,Gansu,110123,58241,40110,2347,9424
青 海,Qinghai,23866,13082,7515,574,2694
宁 夏,Ningxia,15713,7956,4134,630,2993
新 疆,Xinjiang,155757,75754,55638,2373,21992
