"6-11 按国际贸易标准分类的进出口简表
",,,,
"Brief Table of Imports and Exports by SITC
",,,,
"单位:亿美元
",,,,
"Unit:USD 100 million
",,,,
"年 份
Year","初级产品
Primary Goods",,"工业制品
Manufactured Goods",
,"出口
Exports","进口
Imports","出口
Exports","进口
Imports"
1980,91.14,69.59,90.05,130.58
1981,102.48,80.44,117.59,139.71
1982,100.50,76.34,122.71,116.51
1983,96.20,58.08,126.06,155.82
1984,119.34,52.08,142.05,222.02
1985,138.28,52.89,135.22,369.63
1986,112.72,56.49,196.70,372.55
1987,132.31,69.15,262.06,363.01
1988,144.06,100.68,331.10,452.07
1989,150.78,117.54,374.60,473.86
1990,158.86,98.53,462.05,434.92
1991,161.45,108.34,556.98,529.57
1992,170.04,132.55,679.36,673.30
1993,166.66,142.10,750.78,897.49
1994,197.08,164.86,1012.98,991.28
1995,214.85,244.17,1272.95,1076.67
1996,219.25,254.41,1291.23,1133.92
1997,239.53,286.20,1588.39,1137.50
1998,204.89,229.49,1632.20,1172.88
1999,199.41,268.46,1749.90,1388.53
2000,254.60,467.39,2237.43,1783.55
2001,263.38,457.43,2397.60,1978.10
2002,285.40,492.71,2970.56,2458.99
2003,348.12,727.63,4034.16,3399.96
2004,405.49,1172.67,5527.77,4439.62
2005,490.37,1477.14,7129.16,5122.39
2006,529.19,1871.29,9160.17,6043.32
2007,615.09,2430.85,11562.67,7128.65
2008,779.57,3623.95,13527.36,7701.67
2009,631.12,2898.04,11384.83,7161.19
2010,816.86,4338.50,14960.69,9623.94
2011,1005.45,6042.69,17978.36,11392.15
2012,1005.58,6349.34,19481.56,11834.71
2013,1072.68,6580.81,21017.36,12919.09
2014,1126.92,6469.40,22296.01,13122.95
2015,1039.27,4720.57,21695.41,12075.07
2016,1051.87,4410.55,19924.44,11468.71
2017,1177.33,5796.38,21456.38,12641.55
2018,1349.93,7017.44,23516.89,14339.90
2019,1339.70,7299.52,23655.13,13484.57
2020,1156.29,6869.07,24743.22,13790.54
