"8-10 分地区年末在境外从事承包工程人数
",,,,,
"Personnel Abroad for Foreign Engineering Projects Classified
by Region at the Year-end
",,,,,
"单位:人
",,,,,
"Unit:person
",,,,,
地 区,Region,2017,2018,2019,2020
总 计,Total,376827,390719,368063,273434
一、中央企业,"Enterprises Managed by the
Central Government",97670,102592,100024,63139
二、地方企业,Provincial Enterprises,279157,288127,268039,210295
  北 京,  Beijing,11806,12383,11043,9575
  天 津,  Tianjin,12958,16524,15083,12879
  河 北,  Hebei,8715,9802,9912,6455
  山 西,  Shanxi,5202,8322,3484,4314
  内蒙古,  Inner Mongolia,52,118,66,
  辽 宁,  Liaoning,6330,7865,6969,3770
  吉 林,  Jiling,3427,2841,2748,987
  黑龙江,  Heilongjiang,11406,2803,2201,1587
  上 海,  Shanghai,16959,14585,14582,11942
  江 苏,  Jiangsu,31944,37784,34053,19241
  浙 江,  Zhejiang,20701,26814,25292,17467
  安 徽,  Anhui,12461,12992,9130,7716
  福 建,  Fujian,4518,3400,2581,3021
  江 西,  Jiangxi,8905,9486,12105,3184
  山 东,  Shandong,35470,30885,33449,31177
  河 南,  Henan,14759,14138,14292,10251
  湖 北,  Hubei,20735,20615,15917,19228
  湖 南,  Hunan,5425,6026,7039,6532
  广 东,  Guangdong,6293,10507,9025,10542
  广 西,  Guangxi,4064,3319,3014,1482
  海 南,  Hainan,,,,
  重 庆,  Chongqing,1557,1531,1715,1027
  四 川,  Sichuan,9717,10283,8653,10033
  贵 州,  Guizhou,2470,3289,1820,2388
  云 南,  Yunnan,7709,6608,7692,3590
  西 藏,  Tibet,,,,11
  陕 西,  Shaanxi,9423,8879,10872,8496
  甘 肃,  Gansu,1665,2532,1443,1030
  青 海,  Qinghai,627,734,543,515
  宁 夏,  Ningxia,257,245,482,190
  新 疆,  Xingjiang,1645,1404,1549,953
  新疆兵团,  Xinjiang Bingtuan,1957,1413,1285,712
