"8-11 分地区年末在境外从事劳务合作人数
",,,,,
"Personnel Abroad for Foreign Labour Services Classified
by Region at the Year-end
",,,,,
"单位:人
",,,,,
"Unit:person
",,,,,
地 区,Region,2017,2018,2019,2020
总 计,Total,602342,606102,624077,349752
一、中央企业,"Enterprises Managed by the
Central Government",38003,37039,,
二、地方企业,Provincial Enterprises,564339,569063,624077,349752
  北 京,  Beijing,12782,18744,53899,32813
  天 津,  Tianjin,6940,6169,6085,4224
  河 北,  Hebei,3554,3930,4142,1404
  山 西,  Shanxi,12,60,65,68
  内蒙古,  Inner Mongolia,591,1960,1595,767
  辽 宁,  Liaoning,41690,44677,46443,31992
  吉 林,  Jiling,25383,25512,28518,13871
  黑龙江,  Heilongjiang,8427,72,1500,1479
  上 海,  Shanghai,25524,23047,26863,17982
  江 苏,  Jiangsu,59506,69755,64860,30325
  浙 江,  Zhejiang,7172,7013,7290,3460
  安 徽,  Anhui,7588,6683,6660,4675
  福 建,  Fujian,71426,60645,65587,54012
  江 西,  Jiangxi,3082,3104,3488,933
  山 东,  Shandong,94914,94339,100400,57985
  河 南,  Henan,46863,49198,42316,14862
  湖 北,  Hubei,10001,9746,11180,4696
  湖 南,  Hunan,36551,40403,45571,4019
  广 东,  Guangdong,79440,82329,84216,60035
  广 西,  Guangxi,401,377,516,209
  海 南,  Hainan,,,9,6
  重 庆,  Chongqing,2655,2193,1649,77
  四 川,  Sichuan,6731,7404,8062,5879
  贵 州,  Guizhou,35,8,9,
  云 南,  Yunnan,2956,2405,2572,549
  西 藏,  Tibet,,,,
  陕 西,  Shaanxi,5079,4512,4204,2303
  甘 肃,  Gansu,4403,4292,6140,1004
  青 海,  Qinghai,22,6,5,5
  宁 夏,  Ningxia,611,480,233,118
  新 疆,  Xingjiang,,,,
  新疆兵团,  Xinjiang Bingtuan,,,,
