"9-1 历年入境游客
",,,,,
"Visitor Arrivals
",,,,,
"单位:万人次
",,,,,
"Unit:10000 person-times
",,,,,
"年 份
Year","合 计
Tota1",,"外国人
Foreigners","港澳台同胞*
Compatriot*",
,,"#入境过夜游客
Overnight Tourists",,,"#台湾同胞
Taiwan Province"
1978,180.92,71.60,22.96,156.15,
1979,420.39,152.90,36.24,382.06,
1980,570.25,350.00,52.91,513.90,
1981,776.71,376.70,67.52,705.31,
1982,792.43,392.40,76.45,711.70,
1983,947.70,379.10,87.25,856.41,
1984,1285.22,514.10,113.43,1167.04,
1985,1783.31,713.30,137.05,1637.78,
1986,2281.95,900.10,148.23,2126.90,
1987,2690.23,1076.00,172.78,2508.74,
1988,3169.48,1236.10,184.22,2977.33,43.77
1989,2450.14,936.10,146.10,2297.19,54.10
1990,2746.18,1048.40,174.73,2562.34,94.80
1991,3334.98,1246.40,271.01,3050.62,94.66
1992,3811.49,1651.20,400.64,3394.34,131.78
1993,4152.69,1898.20,465.59,3670.49,152.70
1994,4368.45,2107.00,518.21,3838.72,139.02
1995,4638.65,2003.40,588.67,4038.40,153.23
1996,5112.75,2276.50,674.43,4422.86,173.39
1997,5758.79,2377.00,742.80,5006.09,211.76
1998,6347.84,2507.29,710.77,5625.00,217.46
1999,7279.56,2704.66,843.23,6425.52,258.46
2000,8344.39,3122.88,1016.04,7320.80,310.86
2001,8901.29,3316.67,1122.64,7778.65,344.20
2002,9790.83,3680.26,1343.95,8446.88,366.06
2003,9166.21,3297.05,1140.29,8025.92,273.19
2004,10903.82,4176.14,1693.25,9210.57,368.53
2005,12029.23,4680.90,2025.51,10003.71,410.92
2006,12494.21,4991.34,2221.03,10273.19,441.35
2007,13187.33,5471.98,2610.97,10576.36,462.79
2008,13002.74,5304.92,2432.53,10570.21,438.56
2009,12647.59,5087.52,2193.75,10453.84,448.40
2010,13376.22,5566.45,2612.69,10763.53,514.06
2011,13542.35,5758.07,2711.20,10831.15,526.30
2012,13240.53,5772.49,2719.16,10521.37,534.02
2013,12907.78,5568.59,2629.03,10278.75,516.25
2014,12849.83,5562.20,2636.08,10213.75,536.59
2015,13382.04,5688.57,2598.54,10783.50,549.86
2016,13844.38,5926.73,2815.12,11029.26,573.00
2017,13948.24,6073.84,2916.53,11031.71,587.13
2018,14119.83,6289.57,3054.29,11065.53,613.61
2019,14530.78,6572.52,3188.34,11342.43,613.42
"注:港澳台同胞来自香港特别行政区、澳门特别行政区和台湾省(下同)。
",,,,,
"Note:Compatriot From Hong Kong,Macao and Taiwan Province.(next the same)
",,,,,
