"9-8 各地区入境过夜游客人均天花费额
",,,,,,,,,,"9-8 续表 Continued
",,,,,
"Average Daily Per Capita Expenditure of International Tourists by Region
",,,,,,,,,,"单位:美元/人天
",,,,,
"单位:美元/人天
",,,,,,,,,,"Unit:USD/night per capita
",,,,,
"Unit:USD/night per capita
",,,,,,,,,,地 区,Region,"澳门同胞 
Macao SAR",,"台湾同胞
Taiwan Province",
地 区,Region,"人均天花费
Average Expenditure",,"外国人
Foreigners",,"香港同胞
Hongkong SAR",,,,,,2019,2018,2019 ,2018
,,2019,2018,2019,2018,2019,2018,,,北 京,Beijing,258.96,298.36,283.97,255.87
北 京,Beijing,309.66,286.38,316.70,300.10,250.71,234.98,,,天 津,Tianjin,241.41,207.34,244.50,210.06
天 津,Tianjin,256.83,250.34,265.56,262.31,210.47,208.16,,,河 北,Hebei,173.39,164.48,181.52,165.52
河 北,Hebei,200.16,180.51,199.24,183.90,208.54,185.70,,,山 西,Shanxi,140.70,210.65,151.85,180.36
山 西,Shanxi,161.81,197.11,163.96,203.97,143.55,215.19,,,内蒙古,Inner Mongolia,228.56,191.62,185.27,205.46
内蒙古,Inner Mongolia,200.40,200.07,205.96,210.86,186.26,195.63,,,辽 宁,Liaoning,219.56,190.16,196.83,201.78
辽 宁,Liaoning,213.04,197.42,221.03,195.87,265.34,228.32,,,吉 林,Jilin,135.57,159.25,153.98,166.63
吉 林,Jilin,194.46,189.75,209.70,191.70,170.68,181.07,,,黑龙江,Heilongjiang,181.05,224.40,200.29,202.70
黑龙江,Heilongjiang,193.47,206.07,191.04,206.02,208.59,228.20,,,上 海,Shanghai,236.04,243.30,271.05,250.14
上 海,Shanghai,288.75,266.63,293.08,267.00,251.39,265.34,,,江 苏,Jiangsu,243.49,252.62,273.63,253.43
江 苏,Jiangsu,295.99,269.62,307.04,275.38,287.21,262.25,,,浙 江,Zhejiang,216.76,253.14,230.11,221.36
浙 江,Zhejiang,247.39,233.52,250.99,226.96,230.91,217.19,,,安 徽,Anhui,166.72,195.32,160.63,198.21
安 徽,Anhui,204.48,212.78,208.83,214.37,174.31,190.15,,,福 建,Fujian,180.44,199.56,195.60,184.79
福 建,Fujian,241.69,223.05,278.54,242.28,174.25,181.92,,,江 西,Jiangxi,211.26,179.07,224.60,189.44
江 西,Jiangxi,230.77,192.93,231.11,196.28,215.08,184.13,,,山 东,Shandong,185.82,205.76,198.48,199.64
山 东,Shandong,260.09,235.47,282.58,242.23,200.59,228.78,,,河 南,Henan,219.02,184.04,219.97,193.13
河 南,Henan,205.50,185.04,199.87,186.03,230.73,193.75,,,湖 北,Hubei,197.61,200.77,214.31,212.96
湖 北,Hubei,211.63,218.10,223.08,221.46,187.06,189.28,,,湖 南,Hunan,179.87,196.22,207.28,204.57
湖 南,Hunan,206.64,197.17,214.95,198.54,168.81,184.02,,,广 东,Guangdong,154.96,163.93,211.79,191.14
广 东,Guangdong,200.34,190.50,220.74,205.15,179.28,170.06,,,广 西,Guangxi,215.78,207.23,224.15,213.23
广 西,Guangxi,216.35,215.26,219.17,219.16,195.86,199.13,,,海 南,Hainan,234.03,191.71,216.39,315.06
海 南,Hainan,211.46,209.27,209.00,207.43,212.67,238.19,,,重 庆,Chongqing,232.88,223.36,251.74,223.99
重 庆,Chongqing,239.09,215.81,241.94,224.88,224.75,214.39,,,四 川,Sichuan,174.39,189.99,189.71,187.66
四 川,Sichuan,195.31,193.82,199.84,200.44,185.82,178.12,,,贵 州,Guizhou,153.19,179.04,152.52,179.85
贵 州,Guizhou,181.41,213.90,208.09,221.03,163.90,195.48,,,云 南,Yunnan,263.72,233.05,269.41,239.27
云 南,Yunnan,283.29,245.51,300.74,273.68,236.00,198.60,,,西 藏,Tibet,259.84,187.26,239.16,211.63
西 藏,Tibet,259.55,227.38,257.48,231.02,207.51,193.49,,,陕 西,Shaanxi,241.58,233.28,263.99,223.45
陕 西,Shaanxi,250.73,224.85,248.88,223.68,259.75,221.35,,,甘 肃,Gansu,180.23,179.88,149.45,158.70
甘 肃,Gansu,194.83,181.03,197.22,190.69,194.77,166.81,,,青 海,Qinghai,140.42,145.31,144.52,167.55
青 海,Qinghai,157.25,172.20,162.09,180.42,145.05,163.44,,,宁 夏,Ningxia,153.75,170.94,145.40,158.27
宁 夏,Ningxia,162.45,200.15,180.80,204.36,124.15,135.06,,,新 疆,Xinjiang,-,-,230.88,-
新 疆,Xinjiang,250.30,197.49,258.70,197.49,-,-,,,,,,,,
