Year,国内生产总值,第一产业,第二产业,第三产业,批发与零售业(1)
Unit,%,%,%,%,%
Remark,1-2国内生产总值构成
1978,100,27.9,47.6,24.5,6.6
1979,100,30.9,46.8,22.3,4.9
1980,100,29.9,47.9,22.2,4.3
1981,100,31.6,45.8,22.6,4.7
1982,100,33.0,44.5,22.5,3.2
1983,100,32.8,44.1,23.1,3.3
1984,100,31.8,42.8,25.5,5.0
1985,100,28.1,42.6,29.3,8.9
1986,100,26.8,43.4,29.8,8.3
1987,100,26.5,43.2,30.3,8.8
1988,100,25.4,43.4,31.2,9.8
1989,100,24.7,42.4,32.9,9.0
1990,100,26.7,40.9,32.4,6.8
1991,100,24.2,41.4,34.5,8.4
1992,100,21.4,43.0,35.6,8.9
1993,100,19.4,46.1,34.5,7.9
1994,100,19.5,46.1,34.4,7.8
1995,100,19.7,46.7,33.7,7.8
1996,100,19.4,47.0,33.6,7.8
1997,100,18.0,47.0,35.0,8.0
1998,100,17.2,45.7,37.1,8.1
1999,100,16.1,45.3,38.6,8.3
2000,100,14.7,45.4,39.8,8.2
2001,100,14.1,44.7,41.3,8.3
2002,100,13.4,44.3,42.3,8.3
2003,100,12.4,45.5,42.1,8.2
2004,100,13.0,45.8,41.2,7.7
2005,100,11.7,46.9,41.4,7.5
2006,100,10.7,47.4,41.9,7.6
2007,100,10.4,46.7,42.9,7.8
2008,100,9.9,46.8,42.9,8.3
2009,100,9.9,45.7,44.4,8.4
2010,100,9.6,46.2,44.2,8.8
2011,100,9.4,46.4,44.2,8.9
2012,100,9.4,45.3,45.3,9.2
2013,100,9.3,44.0,46.7,9.5
2014,100,9.1,43.1,47.8,9.7
2015,100,8.8,40.9,50.2,9.6
2016,100,8.1,39.6,52.4,9.9
2017,100,7.5,39.9,52.7,9.8
2018,100,7.0,39.7,53.3,9.7
2019,100,7.1,38.6,54.3,9.7
2020,100,7.7,37.8,54.5,9.4
