Province,Region,社会消费品零售总额构成,城镇,城区(1),镇区(2),乡村
Unit,,亿元,亿元,亿元,亿元,亿元
Remark,2-3各地区社会消费品零售总额构成
全国,NationalTotal,391980.6,339119.0,242777.0,96342.0,52861.7
北京,Beijing,13716.4,13054.0,10955.8,2098.2,662.4
天津,Tianjin,3582.9,3450.4,2833.5,616.9,132.5
河北,Hebei,12705.0,10424.9,5017.6,5407.3,2280.1
山西,Shanxi,6746.3,5570.0,3856.6,1713.4,1176.3
内蒙古,InnerMongolia,4760.5,4205.8,2921.0,1284.8,554.6
辽宁,Liaoning,8960.9,7639.7,5641.2,1998.5,1321.2
吉林,Jilin,3824.0,3425.8,2298.8,1127.0,398.2
黑龙江,Heilongjiang,5092.3,4473.5,3269.1,1204.4,618.8
上海,Shanghai,15932.5,15524.7,14939.8,584.9,407.8
江苏,Jiangsu,37086.1,33322.1,23559.6,9762.5,3764.0
浙江,Zhejiang,26629.8,22336.4,16435.2,5901.2,4293.4
安徽,Anhui,18334.0,15102.1,9749.2,5352.9,3231.8
福建,Fujian,18626.5,16178.6,11496.3,4682.3,2447.8
江西,Jiangxi,10371.8,8746.6,5048.0,3698.5,1625.2
山东,Shandong,29248.0,24052.0,16759.8,7292.2,5196.0
河南,Henan,22502.8,18471.4,11340.1,7131.3,4031.4
湖北,Hubei,17984.9,15284.7,10668.0,4616.6,2700.2
湖南,Hunan,16258.1,14043.8,9824.8,4219.0,2214.3
广东,Guangdong,40207.9,35904.3,29832.5,6071.8,4303.5
广西,Guangxi,7831.0,6786.7,4717.2,2069.5,1044.3
海南,Hainan,1974.6,1615.9,1065.5,550.5,358.7
重庆,Chongqing,11787.2,10180.0,7344.1,2835.9,1607.2
四川,Sichuan,20824.9,17138.8,11360.3,5778.6,3686.0
贵州,Guizhou,7833.4,6886.9,4724.3,2162.6,946.5
云南,Yunnan,9792.9,8530.7,5603.6,2927.1,1262.2
西藏,Tibet,745.8,614.9,417.2,197.7,130.9
陕西,Shaanxi,9605.9,8543.6,5972.1,2571.6,1062.3
甘肃,Gansu,3632.4,2991.2,2145.8,845.5,641.1
青海,Qinghai,877.3,716.6,460.8,255.8,160.8
宁夏,Ningxia,1301.4,1123.7,774.5,349.2,177.7
新疆,Xinjiang,3062.5,2641.9,1737.1,904.8,420.7
