Province,Region,网上零售额,网上零售额增长,实物商品网上零售额(1),实物商品网上零售额增长量
Unit,亿元,%,亿元,%
Remark,2-4分地区网上零售额(2020年)
全国,NationalTotal,117601.3,10.9,97590.3,14.8
北京,Beijing,9704.3,9.5,7704.4,18.2
天津,Tianjin,1746.5,-23.6,1510.2,-23.3
河北,Hebei,2735.8,16.0,2505.3,17.8
山西,Shanxi,684.1,28.1,430.2,35.5
内蒙古,InnerMongolia,418.2,12.2,267.0,36.5
辽宁,Liaoning,1500.1,10.1,1271.1,18.1
吉林,Jilin,495.3,9.1,325.8,14.3
黑龙江,Heilongjiang,575.8,8.2,417.6,13.4
上海,Shanghai,11991.9,13.8,10128.9,20.7
江苏,Jiangsu,10602.4,10.0,9232.6,13.9
浙江,Zhejiang,17799.9,8.6,14068.1,9.6
安徽,Anhui,2775.8,20.1,2375.1,24.3
福建,Fujian,5692.8,18.2,5087.5,18.6
江西,Jiangxi,1641.7,7.7,1375.3,7.5
山东,Shandong,4613.3,13.8,4043.4,17.5
河南,Henan,2744.4,23.7,2280.3,29.2
湖北,Hubei,2866.6,1.6,2448.9,4.6
湖南,Hunan,1977.3,17.7,1591.1,21.6
广东,Guangdong,25782.2,10.1,22321.0,11.1
广西,Guangxi,933.6,23.9,614.8,37.7
海南,Hainan,394.3,21.5,194.1,91.0
重庆,Chongqing,1180.3,13.1,869.6,25.8
四川,Sichuan,3743.1,11.1,3087.7,23.7
贵州,Guizhou,491.8,18.9,316.8,28.6
云南,Yunnan,906.5,18.6,618.1,41.0
西藏,Tibet,116.7,34.6,43.3,62.3
陕西,Shaanxi,1174.4,15.8,905.4,28.7
甘肃,Gansu,329.7,21.3,170.5,48.5
青海,Qinghai,116.2,13.0,35.7,28.4
宁夏,Ningxia,209.4,10.3,63.2,39.5
新疆,Xinjiang,309.2,27.6,213.0,35.8
不分地区,NotClassified,byRegion,1347.5,,1074.3,
