Province,Region,批发业法人单位,批发业从业人数,国有控股法人单位,国有控股从业人数
Unit,,个,人,个,人
Remark,3-1-2各地区限额以上批发业企业基本情况
全国,NationalTotal,168738,5957306,10178,1120812
北京,Beijing,7587,440976,891,116318
天津,Tianjin,6319,177157,378,21016
河北,Hebei,2535,97735,208,25326
山西,Shanxi,2031,88349,303,38519
内蒙古,InnerMongolia,1147,43849,138,15613
辽宁,Liaoning,3433,88244,254,27193
吉林,Jilin,939,40152,114,14353
黑龙江,Heilongjiang,906,50658,161,23708
上海,Shanghai,12666,683655,743,59170
江苏,Jiangsu,20743,558157,815,62952
浙江,Zhejiang,18851,495061,605,49105
安徽,Anhui,3305,126358,247,31693
福建,Fujian,10278,250835,510,35375
江西,Jiangxi,2020,92723,167,32523
山东,Shandong,14468,377194,586,70016
河南,Henan,5093,200030,321,47538
湖北,Hubei,3479,165461,244,38707
湖南,Hunan,3134,129799,187,31676
广东,Guangdong,30770,1039847,921,114181
广西,Guangxi,2236,83131,255,24893
海南,Hainan,619,27688,65,5009
重庆,Chongqing,2783,110087,277,23076
四川,Sichuan,4251,189704,431,42658
贵州,Guizhou,1440,64762,215,30173
云南,Yunnan,1575,83982,202,34529
西藏,Tibet,69,6975,20,1756
陕西,Shaanxi,2315,96489,277,40142
甘肃,Gansu,858,39363,125,11175
青海,Qinghai,201,11435,52,6501
宁夏,Ningxia,237,12134,35,6692
新疆,Xinjiang,2450,85316,431,39226
