Province,Region,餐饮业法人单位,餐饮业从业人数,国有控股法人单位,国有控股从业人数
Unit,,个,人,个,人
Remark,4-1-5各地区限额以上餐饮业企业基本情况
全国,NationalTotal,32901,2576586,820,109171
北京,Beijing,2009,255338,99,15014
天津,Tianjin,515,56413,12,1036
河北,Hebei,499,30615,21,1921
山西,Shanxi,603,44798,30,4681
内蒙古,InnerMongolia,227,20641,11,2290
辽宁,Liaoning,347,36446,15,2390
吉林,Jilin,155,8264,11,831
黑龙江,Heilongjiang,86,4748,7,319
上海,Shanghai,2508,298170,64,9796
江苏,Jiangsu,2510,234836,106,12298
浙江,Zhejiang,2163,164265,37,10300
安徽,Anhui,1359,89955,16,2203
福建,Fujian,1411,88723,12,1269
江西,Jiangxi,796,32914,25,1675
山东,Shandong,1627,108085,88,9844
河南,Henan,1184,54128,19,1714
湖北,Hubei,1421,100311,10,830
湖南,Hunan,1493,74012,18,1805
广东,Guangdong,4868,435269,47,10846
广西,Guangxi,531,36617,14,1789
海南,Hainan,98,7819,,
重庆,Chongqing,1181,60568,12,627
四川,Sichuan,1795,163984,34,2358
贵州,Guizhou,645,23416,30,2250
云南,Yunnan,770,30157,18,1907
西藏,Tibet,17,800,,
陕西,Shaanxi,1419,75223,29,5726
甘肃,Gansu,368,22233,15,955
青海,Qinghai,56,3326,,
宁夏,Ningxia,59,3965,4,460
新疆,Xinjiang,181,10547,16,2037
