Province,Region,营业额,客房收入(1),餐费收入(2),商品销售额(3),其他收入(4)
Unit,,万元,万元,万元,万元,万元
Remark,4-2-2各地区限额以上住宿业企业经营情况,未包括国有控股企业
全国,NationalTotal,33297430,17778004,10999930,788799,3730692
北京,Beijing,2563444,1260670,523871,32649,746255
天津,Tianjin,295432,185702,56196,4023,49510
河北,Hebei,647016,289485,271210,10026,76295
山西,Shanxi,402657,211465,143188,3992,44012
内蒙古,InnerMongolia,277004,155127,102610,1786,17481
辽宁,Liaoning,459417,232254,134175,7145,85844
吉林,Jilin,190979,102726,63875,2300,22078
黑龙江,Heilongjiang,149779,87517,39599,6385,16279
上海,Shanghai,2258782,1272348,487274,57017,442145
江苏,Jiangsu,2058003,987675,858688,36797,174843
浙江,Zhejiang,3021064,1466174,1219236,33679,301975
安徽,Anhui,813138,377756,318887,60181,56315
福建,Fujian,2130055,942506,1025847,58367,103335
江西,Jiangxi,786150,435397,292272,19239,39242
山东,Shandong,1392799,696966,537627,22304,135902
河南,Henan,1201333,646212,444009,29525,81588
湖北,Hubei,965649,572246,307848,22516,63038
湖南,Hunan,1489937,801549,546603,64855,76931
广东,Guangdong,4271265,2358800,1166363,117503,628588
广西,Guangxi,762546,466352,201204,36396,58594
海南,Hainan,1064614,685507,267736,7605,103766
重庆,Chongqing,801656,454231,264129,23518,59779
四川,Sichuan,1637308,901904,582387,55006,98011
贵州,Guizhou,736317,490388,173902,24845,47183
云南,Yunnan,738915,481238,177181,15965,64530
西藏,Tibet,86655,57804,20030,59,8762
陕西,Shaanxi,1250417,646885,513793,23207,66531
甘肃,Gansu,363854,219333,120782,4357,19381
青海,Qinghai,82255,59533,18024,734,3964
宁夏,Ningxia,64809,35565,22281,1105,5859
新疆,Xinjiang,334181,196689,99103,5713,32676
