Province,Region,营业额,客房收入(1),餐费收入(2),商品销售额(3),其他收入(4)
Unit,,万元,万元,万元,万元,万元
Remark,4-2-5各地区限额以上餐饮业企业经营情况,未包括国有控股企业
全国,NationalTotal,60372624,2354957,54457254,2093813,1466607
北京,Beijing,6669988,32619,6113012,287359,236998
天津,Tianjin,1166220,37864,1040549,24078,63730
河北,Hebei,480445,63312,368366,10845,37923
山西,Shanxi,638953,71553,531614,4652,31133
内蒙古,InnerMongolia,325415,47583,262728,1934,13171
辽宁,Liaoning,900167,22577,842409,21107,14074
吉林,Jilin,181053,12799,157802,780,9673
黑龙江,Heilongjiang,82857,6600,73813,1310,1135
上海,Shanghai,8896143,45380,8402914,317436,130413
江苏,Jiangsu,5424980,374514,4779946,150537,119983
浙江,Zhejiang,4311735,214264,3862351,117345,117774
安徽,Anhui,1844793,129769,1632774,71195,11056
福建,Fujian,2716011,60275,2489942,73683,92110
江西,Jiangxi,662759,65974,571383,18886,6517
山东,Shandong,2100817,212650,1741787,56368,90011
河南,Henan,1020210,55649,918550,24397,21614
湖北,Hubei,2298290,162859,2018217,84841,32373
湖南,Hunan,1852512,145987,1613101,65041,28382
广东,Guangdong,9388709,138773,8617472,419844,212619
广西,Guangxi,677042,22688,594043,28416,31895
海南,Hainan,151383,1768,139119,6413,4083
重庆,Chongqing,1616527,85458,1444924,70398,15748
四川,Sichuan,3198627,135221,2932782,82533,48091
贵州,Guizhou,469151,12646,417690,29895,8920
云南,Yunnan,645947,16926,587618,26145,15259
西藏,Tibet,18930,747,16766,1355,63
陕西,Shaanxi,1965235,117602,1711907,87988,47739
甘肃,Gansu,343552,34547,297771,4388,6847
青海,Qinghai,42479,7382,33454,522,1121
宁夏,Ningxia,54604,8204,37067,739,8594
新疆,Xinjiang,227090,10767,205383,3383,7558
,,,,,,
,,,,,,
4-2-5续表Continued
国有控股,,,,,,
State-controlledEnterprises,,,,,,
单位:万元,,,,,,
Unit:10000yuan,,,,,,
地区,Region,营业额
Business
Revenue,,,,
,,,客房收入
fromHotel
Rooms,餐费收入
fromMeals,商品销售额
from
Commodities,其他收入
Others
全国,NationalTotal,2291927,222020,1656250,190942,222716
北京,Beijing,322297,5622,268436,20772,27468
天津,Tianjin,16923,2526,10849,299,3249
河北,Hebei,28575,6185,20148,365,1878
山西,Shanxi,41749,8479,15864,37,17368
内蒙古,InnerMongolia,26661,7259,16184,206,3012
辽宁,Liaoning,36090,3567,31419,641,462
吉林,Jilin,7314,1307,5719,,289
黑龙江,Heilongjiang,3429,1005,2322,10,93
上海,Shanghai,349771,8232,265074,54771,21695
江苏,Jiangsu,244009,50699,161273,5243,26794
浙江,Zhejiang,221040,11248,154644,27303,27845
安徽,Anhui,44070,6037,33231,3720,1082
福建,Fujian,25649,3403,17244,2088,2914
江西,Jiangxi,30679,5948,23210,1285,235
山东,Shandong,173487,34436,107415,5368,26268
河南,Henan,40157,4316,32601,1835,1405
湖北,Hubei,29059,1388,15606,11582,484
湖南,Hunan,36342,9374,23782,1091,2094
广东,Guangdong,271493,12847,200858,23558,34231
广西,Guangxi,30295,2005,24676,2944,669
海南,Hainan,,,,,
重庆,Chongqing,12194,4018,7552,445,178
四川,Sichuan,56804,11301,39709,3557,2237
贵州,Guizhou,46843,1602,29339,12240,3661
云南,Yunnan,40138,1218,28487,6994,3440
西藏,Tibet,,,,,
陕西,Shaanxi,94032,7881,72029,4250,9872
甘肃,Gansu,13414,4690,6763,30,1932
青海,Qinghai,,,,,
宁夏,Ningxia,6308,1688,4118,4,498
新疆,Xinjiang,43105,3739,37698,304,1363
