Year,黄金储备,外汇储备,外债余额
Unit,万盎司,亿美元,亿美元
Remark,5-7国家外汇储备和外债余额
1979,1280,8.4,
1980,1280,-13.0,
1981,1267,27.1,
1982,1267,69.9,
1983,1267,89.0,
1984,1267,82.2,
1985,1267,26.4,158.3
1986,1267,20.7,214.8
1987,1267,29.2,302.0
1988,1267,33.7,400.0
1989,1267,55.5,413.0
1990,1267,110.9,525.5
1991,1267,217.1,605.6
1992,1267,194.4,693.2
1993,1267,212.0,835.7
1994,1267,516.2,928.1
1995,1267,736.0,1065.9
1996,1267,1050.3,1162.8
1997,1267,1398.9,1309.6
1998,1267,1449.6,1460.4
1999,1267,1546.8,1518.3
2000,1267,1655.7,1457.3
2001,1608,2121.7,2033.0
2002,1929,2864.1,2026.3
2003,1929,4032.5,2193.6
2004,1929,6099.3,2629.9
2005,1929,8188.7,2965.4
2006,1929,10663.4,3385.9
2007,1929,15282.5,3892.2
2008,1929,19460.3,3901.6
2009,3389,23991.5,4286.5
2010,3389,28473.4,5489.4
2011,3389,31811.5,6950.0
2012,3389,33115.9,7369.9
2013,3389,38213.2,8631.7
2014,3389,38430.2,17799.0
2015,5666,33303.6,13829.8
2016,5924,30105.2,14158.0
2017,5924,31399.5,17579.6
2018,5956,30727.1,19827.5
2019,6264,31079.2,20708.1
2020,6264,32165.2,24008.1
