Year,进出口总额,出口额,进口额,差额
Unit,亿元人民币,亿元人民币,亿元人民币,亿元人民币,
Remark,6-1进出口额(按人民币计算),1.本表1979年以前为外贸业务统计数,1980年以后为海关进出口统计数。以下诸表同。,2.进出口差额负数为入超。
1950,41.5,20.2,21.4,-1.2
1951,59.5,24.2,35.3,-11.1
1952,64.6,27.1,37.5,-10.3
1953,80.9,34.8,46.1,-11.3
1954,84.7,40.0,44.7,-4.7
1955,109.8,48.7,61.1,-12.4
1956,108.7,55.7,53.0,2.7
1957,104.5,54.5,50.0,4.6
1958,128.7,67.1,61.7,5.4
1959,149.3,78.1,71.2,6.8
1960,128.5,63.3,65.2,-1.8
1961,90.7,47.8,43.0,4.8
1962,80.9,47.1,33.8,13.3
1963,85.8,50.0,35.7,14.3
1964,97.5,55.4,42.1,13.4
1965,118.4,63.1,55.3,7.8
1966,127.1,66.0,61.1,5.0
1967,112.2,58.8,53.4,5.4
1968,108.5,57.6,50.9,6.7
1969,107.0,59.8,47.2,12.6
1970,112.9,56.8,56.1,0.7
1971,121.0,68.5,52.4,16.1
1972,147.0,82.9,64.0,18.9
1973,220.5,116.9,103.6,13.3
1974,292.2,139.4,152.8,-13.4
1975,290.4,143.0,147.4,-4.4
1976,264.1,134.8,129.3,5.4
1977,272.5,139.7,132.8,6.9
1978,355.0,167.7,187.4,-19.7
1979,454.6,211.7,242.9,-31.3
1980,570.0,271.2,298.8,-27.6
1981,735.3,367.6,367.7,-0.1
1982,771.4,413.8,357.5,56.3
1983,860.2,438.3,421.8,16.5
1984,1201.0,580.6,620.5,-39.9
1985,2066.7,808.9,1257.9,-449.0
1986,2580.4,1082.1,1498.3,-416.2
1987,3084.2,1470.0,1614.2,-144.3
1988,3821.8,1766.7,2055.1,-288.4
1989,4155.9,1956.1,2199.9,-243.8
1990,5560.1,2985.8,2574.3,411.6
1991,7225.8,3827.1,3398.7,428.5
1992,9119.6,4676.3,4443.3,233.0
1993,11271.0,5284.8,5986.2,-701.4
1994,20381.9,10421.8,9960.1,461.8
1995,23499.9,12451.8,11048.1,1403.7
1996,24133.9,12576.4,11557.4,1019.0
1997,26967.2,15160.7,11806.6,3354.1
1998,26849.7,15223.5,11626.1,3597.4
1999,29896.2,16159.8,13736.5,2423.3
2000,39273.3,20634.4,18638.8,1995.6
2001,42183.6,22024.4,20159.2,1865.3
2002,51378.2,26947.9,24430.3,2517.6
2003,70483.5,36287.9,34195.6,2092.3
2004,95539.1,49103.3,46435.8,2667.6
2005,116921.8,62648.1,54273.7,8374.4
2006,140974.7,77597.9,63376.9,14221.0
2007,166924.1,93627.1,73296.9,20330.2
2008,179921.5,100394.9,79526.5,20868.4
2009,150648.1,82029.7,68618.4,13411.3
2010,201722.3,107022.8,94699.5,12323.3
2011,236402.0,123240.6,113161.4,10079.2
2012,244160.2,129359.3,114801.0,14558.3
2013,258168.9,137131.4,121037.5,16094.0
2014,264241.8,143883.8,120358.0,23525.7
2015,245502.9,141166.8,104336.1,36830.7
2016,243386.5,138419.3,104967.2,33452.1
2017,278099.2,153309.4,124789.8,28519.6
2018,305008.1,164127.8,140880.3,23247.5
2019,315627.3,172373.6,143253.7,29119.9
2020,322215.2,179278.8,142936.4,36342.4
