6-26主要出口商品数量和金额
MajorExportCommoditiesinQuantityandValue
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
农产品,AgriculturalProducts,,,,,7857208,7606292
肉类包含杂碎,Meatincludingentrails,万吨,10000tons,35,31,190028,163946
水海产品,AquaticandSeawaterProducts,万吨,10000tons,419,375,2032657,1875319
蔬菜,Vegetables,万吨,10000tons,979,1017,1256672,1195129
鲜或冷藏蔬菜,FreshorRefrigeratedVegetables,万吨,10000tons,651,692,554352,577101
鲜、干水果及坚果,FreshandDriedFruitsandNuts,万吨,10000tons,361,387,595621,682707
苹果,Apples,万吨,10000tons,97,106,124633,144961
茶叶,Tea,吨,ton,366558,348814,201961,203806
粮食,Grain,万吨,10000tons,434,355,241325,202854
稻谷和大米,PaddyandRice,万吨,10000tons,275,230,105903,91637
罐头,CannedFood,吨,ton,,2189620,,316095
蔬菜罐头,VegetableCan,吨,ton,,1540399,,220438
酒类及饮料,AlcoholandBeverages,,,,,,230808
果蔬汁,Fruitandvegetablejuice,万吨,10000tons,45,49,52761,54132
啤酒,Beer,万升,10000liters,41760,38674,25532,24267
烟草及其制品,TobaccoandTobaccoManufactures,吨,ton,,217859,,77878
烤烟,FluecuredTobacco,吨,ton,121869,110449,42975,33246
卷烟,Cigarettes,吨,ton,,21632,,25700
制盐,SaltManufacturing,吨,ton,,1151108,,9845
水泥及水泥熟料,CementandCementClinkers,万吨,10000tons,553,313,34661,22024
钨品,Tungstenproducts,吨,ton,22951,14700,70480,42904
煤及褐煤,CoalandLignite,万吨,10000tons,603,319,93380,43586
焦炭及半焦炭,CokeandSemicoke,万吨,10000tons,652,349,179846,77268
成品油,ProductOil,万吨,10000tons,6685,6180,3843644,2559591
汽油,Gasoline,万吨,10000tons,1637,1600,943170,653965
航空煤油,AviationKerosene,万吨,10000tons,,997,,475988
柴油,DieselOil,万吨,10000tons,2138,1976,1228304,790482
氧化铝,AluminumOxide,万吨,10000tons,27,15,16779,9900
稀土及其制品,RareEarthandItsProducts,吨,ton,90435,78137,227902,216619
稀土,RareEarth,吨,ton,46330,35448,44023,34392
基本有机化学品,BasicOrganicChemicals,,,,,,3924992
柠檬酸,CitricAcid,万吨,10000tons,96,94,60394,57028
医药材及药品,PharmaceuticalMaterialsandDrugs,吨,ton,,1314213,,2302554
中药材,TraditionalChineseMedicine,吨,ton,,131884,,94729
中式成药,MedicamentsofChineseType,吨,ton,12640,12524,26083,25929
抗菌素制剂除外,Antibioticsexceptpreparations,吨,ton,87466,83780,359639,370902
医用敷料,MedicalDressing,吨,ton,219042,216979,155864,185841
肥料,ChemicalFertilizers,万吨,10000tons,2776,2917,734395,673693
尿素,Urea,万吨,10000tons,494,545,140472,142108
硫酸铵,AmmoniumSulphate,万吨,10000tons,,866,,101222
磷酸氢二铵,DiammoniumHydrogenPhosphate,万吨,10000tons,648,573,231290,182648
磷酸二氢铵,AmmoniumDihydrogenPhosphate,万吨,10000tons,,253,,83635
合成有机染料,SyntheticOrganicDyestuffs,吨,ton,218217,203917,158724,120862
美容化妆品及洗护用品,BeautyCosmeticsandToiletries,吨,ton,,998997,,424330
烟花、爆竹,FireworksandFirecrackers,吨,ton,345279,270912,79706,64044
塑料制品,PlasticArticles,,,,,4830961,8523898
橡胶轮胎,RubberTire,万吨,10000tons,,628,,1393942
新的充气橡胶轮胎,NewPneumaticRubberTyres,万吨,10000tons,625,604,1480078,1327871
,,,,,,,
,,,,,,,
6-26续表1Continued1
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
皮革、毛皮及其制品,Leather,FurandTheirProducts,,,,,,741209
裘皮服装,FurGarment,吨,ton,8086,5066,411416,250690
箱包及类似容器,LuggageandSimilarContainers,万吨,10000tons,307,201,2722624,2062809
皮革箱包及类似容器,LeatherCases,BagsandSimilarContainers,吨,ton,,92421,,228805
木及其制品,WoodandItsProducts,万吨,10000tons,,1034,,1335009
家用或装饰用木制品,HouseholdorDecorativeWoodProducts,万吨,10000tons,74,75,256463,267686
胶合板及类似多层板,PlywoodandSimilarMultilayerBoards,万吨,10000tons,538,517,448233,422378
植物材料编结品,PlantMaterialBraid,吨,ton,,312757,,165774
纸浆、纸及其制品,Pulp,PaperandItsProducts,万吨,10000tons,,916,,2099547
纺织原料,TextileRawMaterials,万吨,10000tons,,137,,225063
化学纤维纺织原料,ChemicalFiberTextileRawMaterials,万吨,10000tons,,132,,154263
纺织纱线、织物及其制品,TextileYam,FabricandItsProducts,,,,,,15378509
纺织纱线,TextileYarn,,,,,,976915
纺织织物,TextileFabric,,,,,,4967145
纺织制品,TextileProducts,,,,,,9434449
服装及衣着附件,ClothingandAccessories,,,,,15134880,13729740
服装,Garments,,,,,,11780870
鞋靴,Footwear,万吨,10000tons,,318,,3543379
帽类,HatClass,万个,10000units,1170615,1014959,453341,391630
伞,Umbrellas,万吨,10000tons,47,39,246669,203013
花岗岩石材及其制品,GraniteStoneandItsProducts,万吨,10000tons,582,484,287828,328389
陶瓷产品,CeramicProducts,万吨,10000tons,2122,1768,2511950,2511328
日用陶瓷,HouseholdCeramics,万吨,10000tons,,424,,1819171
建筑用陶瓷,ArchitecturalCeramics,万吨,10000tons,1613,1312,687026,631191
玻璃及其制品,GlassandItsProducts,,,,,,1885124
珍珠、宝石及半宝石,Pearls,PreciousStonesandSemi
PreciousStones,,,,,,172066
贵金属或包贵金属的首饰,PreciousMetalorJewelryWrappedin
PreciousMetal,吨,ton,637,777,1324157,798622
铁合金,Ferroalloy,万吨,10000tons,55,47,114920,83751
钢材,RolledSteel,万吨,10000tons,6429,5367,5374828,4544361
钢铁棒材,SteelBar,万吨,10000tons,959,690,611139,427995
角钢及型钢,AngleSteelandSectionSteel,万吨,10000tons,325,281,218725,199623
钢铁板材,SteelSheet,万吨,10000tons,3848,3273,2762208,2376772
钢铁线材,SteelWireRod,万吨,10000tons,206,203,251423,275275
未锻轧铜及铜材,UnwroughtCopperandCopperProducts,吨,ton,840976,744434,605311,543669
未锻轧铝及铝材,UnwroughtAluminumandAluminumProducts,吨,ton,5726132,4856419,1524847,1309379
家具及其零件,FurnitureandParts,,,,,5409193,5839124
玩具,Toys,,,,,3113684,3348298
体育用品及设备,SportingGoodsandEquipment,,,,,1121389,1580718
笔及其零件,PenandItsParts,,,,,,221840
机电产品,MechanicalandElectricalProducts,,,,,145895273,154059415
机械基础件,MechanicalFoundationParts,,,,,,2181385
紧固件,Fastener,吨,ton,,4069125,,878960
轴承,Bearings,吨,ton,5819101,589205,392391,362722
手用或机用工具,HandToolsandToolsforMachines,万吨,10000tons,188,196,1181256,1213933
农业机械,AgriculturalMachinery,,,,,,501550
拖拉机,Tractors,辆,unit,,126896,,47585
食品加工机械,FoodProcessingMachinery,万台,10000sets,,563,,120077
包装机械,PackagingMachinery,万台,10000sets,,1426,,295457
