6-27主要进口商品数量和金额
MajorImportCommoditiesinQuantityandValue
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
农产品,AgriculturalProducts,,,,,14989058,17087369
肉类包含杂碎,Meatincludingentrails,万吨,10000tons,618,991,1925127,3072967
牛肉及牛杂碎,BeefandCattleEntrails,万吨,10000tons,,214,,1027290
牛肉,Beef,万吨,10000tons,166,212,822478,1017839
猪肉及猪杂碎,PorkandPigEntrails,万吨,10000tons,,573,,1486680
猪肉,Pork,万吨,10000tons,211,439,467475,1204009
水海产品,AquaticandSeawaterProducts,万吨,10000tons,444,401,1583711,1293511
冻鱼,FrozenFish,万吨,10000tons,,220,,391857
乳品,DairyProducts,万吨,10000tons,306,337,1173960,1250560
奶粉,MilkPowder,万吨,10000tons,136,132,831565,835691
鲜、干水果及坚果,FreshandDriedFruitsandNuts,万吨,10000tons,709,654,1128708,1164653
粮食,Grain,万吨,10000tons,11145,14255,4198764,5084254
小麦,Wheat,万吨,10000tons,349,838,100307,234884
大麦,Barley,万吨,10000tons,593,808,156139,188025
玉米,Com,万吨,10000tons,479,1124,106277,248251
稻谷及大米,PaddyandRice,万吨,10000tons,255,294,129719,149511
高粱,Jowar,万吨,10000tons,83,481,19230,115607
大豆,Soybeans,万吨,10000tons,8851,10031,3534202,3954557
食用植物油,EdibleVegetableOil,万吨,10000tons,953,983,633354,744358
豆油,SoybeanOil,万吨,10000tons,83,96,59305,72352
棕榈油,RBDPalmOil,万吨,10000tons,561,466,307848,290935
菜子油及芥子油,RapeseedOilandMustardOil,万吨,10000tons,,193,,164112
食糖,Sugar,万吨,10000tons,339,527,112113,180281
酒类及饮料,AlcoholandBeverages,,,,,,537134
啤酒,Beer,万升,10000liters,73195,58416,81993,69502
葡萄酒,Wine,万升,10000liters,66232,47105,353686,282891
制盐,SaltManufacturing,吨,ton,,5948842,,25514
金属矿及矿砂,MetalOreandOre,万吨,10000tons,,140003,,18741687
铁矿砂及其精矿,IronOreandConcentrates,万吨,10000tons,106865,116950,10133139,12373236
铜矿砂及其精矿,CopperOresandConcentrates,万吨,10000tons,2198,2176,3390894,3647287
铝矿砂及其精矿,AluminumOresandConcentrates,万吨,10000tons,,11159,,502376
煤及褐煤,CoalandLignite,万吨,10000tons,29952,30331,2339447,2028654
原油,CrudeOil,万吨,10000tons,50568,54201,24238486,17845285
成品油,PetroleumProductsRefined,万吨,10000tons,3056,2827,1707591,1181518
石脑油,Naphtha,万吨,10000tons,,789,,308039
航空煤油,AviationKerosene,万吨,10000tons,,255,,92024
天然气,NaturalGas,万吨,10000tons,9651,10123,4168970,3330324
液化天然气,LiquifiedNaturalGas,万吨,10000tons,6019,6670,2863298,2324195
气态天然气,NaturalGas,万吨,10000tons,3631,3453,1305672,1006129
多晶硅,Polysilicon,吨,ton,,100738,,95357
基本有机化学品,BasicOrganicChemicals,,,,,,4310701
二甲苯,Xylene,万吨,10000tons,1512,1407,1396555,826654
乙二醇,EthyleneGlycol,万吨,10000tons,995,1055,581361,489094
医药材及药品,PharmaceuticalMaterialsandDrugs,吨,ton,,219235,,3718139
中药材,TraditionalChineseMedicine,吨,ton,,68025,,19976
人用疫苗,HumanVaccine,千克,kg,,1007226,,243018
肥料,ChemicalFertilizers,万吨,10000tons,1111,1060,352719,288060
氯化钾,PotassiumChloride,万吨,10000tons,908,873,265341,208911
氮磷钾三元复合肥,N-P-KCompoundFertilizer,万吨,10000tons,,140,,61993
美容化妆品及洗护用品,BeautyCosmeticsandToiletries,吨,ton,,450427,,2024409
初级形状的塑料,PlasticsinPrimaryForms,万吨,10000tons,3691,4062,5329577,5247324
塑料制品,PlasticArticles,,,,,549905,1927340
,,,,,,,
,,,,,,,
6-27续表1Continued1
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
