Year,世界出口总额,中国出口额,比重,位次
Unit,亿美元,亿美元,%,位次
Remark,6-6中国出口额占世界出口总额的比重和位次,注:根据WTO网站最新公布的数据对历年“世界出口总额”进行了调整。
1980,20361,181,0.9,26
1981,20144,220,1.1,19
1982,18858,223,1.2,17
1983,18460,222,1.2,17
1984,19557,261,1.3,18
1985,19529,274,1.4,17
1986,21385,309,1.4,16
1987,25155,394,1.6,16
1988,28689,475,1.7,16
1989,30989,525,1.7,14
1990,34897,621,1.8,15
1991,35114,718,2.0,13
1992,37792,849,2.2,11
1993,37947,917,2.4,11
1994,43283,1210,2.8,11
1995,51676,1488,2.9,11
1996,54061,1510,2.8,11
1997,55923,1828,3.3,10
1998,55031,1837,3.3,9
1999,57194,1949,3.4,9
2000,64540,2492,3.9,7
2001,61964,2661,4.3,6
2002,65007,3256,5.0,5
2003,75908,4382,5.8,4
2004,92226,5933,6.4,3
2005,105103,7620,7.3,3
2006,121314,9690,8.0,3
2007,140320,12201,8.7,2
2008,161705,14307,8.9,2
2009,125651,12016,9.6,1
2010,153040,15778,10.3,1
2011,183436,18984,10.4,1
2012,185145,20487,11.1,1
2013,189699,22090,11.7,1
2014,190111,23423,12.3,1
2015,165581,22735,13.8,1
2016,160452,20976,13.1,1
2017,177429,22633,12.8,1
2018,195504,24867,12.8,1
2019,190147,24995,13.2,1
2020,175829,25900,14.7,1
