8-1按主要国别(地区)分对外直接投资
OverseasDirectInvestmentbyCountriesorRegions
单位:万美元
Unit:USD10000
国家(地区),CountryorRegion,对外直接投资流量
FlowofOutwardDirectInvestment,,截至2020年对外
直接投资存量
OverseasDirectInvestment
StockattheEndof2020
,,2019,2020,
总计,Total,13690756,15371026,258065844
亚洲,Asia,11084094,11234365,164489400
#中国香港*,HongKong,China,9055008,8914586,143853092
印度*,India,53460,20519,318331
印度尼西亚,Indonesia,222308,219835,1793883
日本*,Japan,67378,48683,419672
中国澳门,Macao,China,59445,82684,1053234
新加坡*,Singapore,482567,592335,5985785
韩国,RepublicofKorea,56180,13914,705473
泰国,Thailand,137191,188288,882555
越南,Vietnam,164852,187575,857456
非洲,Africa,270442,422560,4339920
#阿尔及利亚,Algeria,-12362,1864,164352
苏丹,Sudan,-7078,283,112030
几内亚,Guinea,5304,-29512,47282
马达加斯加,Madagascar,-16,13598,39074
尼日利亚,Nigeria,12327,30894,236754
南非*,SouthAfrica,33891,40043,541722
欧洲,Europe,1051992,1269565,12243189
#英国*,UnitedKingdom,110345,92222,1764592
德国*,Germany,145901,137560,1454958
法国*,France,8722,14779,486095
俄罗斯联邦*,Russia,-37923,57032,1207089
拉丁美洲,LatinAmerica,639407,1665651,62981025
#巴西*,Brazil,85993,31264,320506
开曼群岛*,CaymanIslands,-435668,856222,45702699
墨西哥*,Mexico,16356,26456,116695
英属维尔京群岛*,VirginIs.(E),868257,697562,15564495
北美洲,NorthAmerica,436713,634312,10001633
#加拿大*,Canada,47288,21002,1248513
美国*,UnitedStates,380668,601867,8004771
大洋洲,Oceania,208108,144573,4010677
#澳大利亚*,Australia,208667,119859,3443936
新西兰,NewZealand,1140,45292,286784
注:“*”表示该国家(地区)2020年末存量数据中包含对以往历史数据进行调整。
a)*Thestockfor2019arerecomputedafteradjustmentofhistoricalData.
