8-4分国别(地区)对外承包工程合同金额
ContractsSignedforForeignEngineeringProjectsbyCountryorRegion
国别(地区),Country/Region,2017,2018,2019,2020
合计,Total,26527599,24180445,26024542,25553561
亚洲,Asia,14366594,11934916,14112776,14297668
阿富汗,Afghanistan,35522,47,4110,10633
巴林,Bahrain,1468,,4,
孟加拉国,Bangladesh,1042051,911153,1348362,1317370
文莱,Brunei,141130,49030,13289,19718
缅甸,Myanmar,198901,276629,630710,540983
柬埔寨,Cambodia,330058,288064,557610,662194
塞浦路斯,Cyprus,2,13,57676,
中国香港,HongKong,China,892373,901503,805556,1554882
印度,India,257606,288953,517278,228346
印度尼西亚,Indonesia,1720404,1140369,1408053,1192314
伊朗,Iran,497130,675209,311455,
伊拉克,Iraq,590619,297910,538670,507211
以色列,Israel,40004,172305,138642,195682
日本,Japan,33768,41816,42486,43663
约旦,Jordan,207066,15510,2069,2211
科威特,Kuwait,360682,220575,103831,42489
老挝,Laos,521086,241765,215527,263443
黎巴嫩,Lebanon,207,10324,5627,
中国澳门,Macao,China,214892,94782,336934,309261
马来西亚,Malaysia,2485305,934931,733104,533098
马尔代夫,Maldives,124873,139388,41137,36688
蒙古,Mongolia,59571,259340,405644,239278
尼泊尔,Nepal,89893,90876,102554,186772
阿曼,Oman,115240,91874,19800,75859
巴基斯坦,Pakistan,1075464,432791,706300,636957
巴勒斯坦,Palestine,2553,224,103,
菲律宾,Philippines,368574,308923,624058,959723
卡塔尔,Qatar,43595,19890,52999,59968
沙特阿拉伯,SaudiArabia,292833,672538,1128667,768051
新加坡,Singapore,351710,279433,506046,477605
韩国,Korea,137237,78732,82649,75121
斯里兰卡,SriLanka,174738,362692,278608,104279
叙利亚,Syria,310,773,,
泰国,Thailand,372566,286270,332860,966819
土耳其,Turkey,82785,115582,134195,459917
阿联酋,UnitedArabEmirates,499300,764138,662390,610119
也门,Yemen,965,1237,857,
越南,Vietnam,609764,666610,439110,494758
中国台湾,Taiwan,China,6379,8058,6037,26972
东帝汶,EastTimor,32450,6651,101131,3846
哈萨克斯坦,Kazakhstan,234843,436004,535712,162774
吉尔吉斯斯坦,Kirghizia,31700,9377,3535,15250
塔吉克斯坦,Tadzhikistan,35396,199248,41344,50866
土库曼斯坦,Turkmenistan,12431,32319,17726,45680
乌兹别克斯坦,Uzbekistan,41151,111062,118320,277053
,,,,,
,,,,,
8-4续表1Continued1
国别(地区),Country/Region,2017,2018,2019,2020
非洲,Africa,7650376,7843057,5592753,6790041
阿尔及利亚,Algeria,538949,478096,373014,205687
安哥拉,Angola,858220,222991,80906,125327
贝宁,Benin,17083,89776,1392,38740
博茨瓦纳,Botswana,25902,64556,12535,57934
布隆迪,Burundi,18341,27708,5379,1127
喀麦隆,Cameroon,115218,177216,86285,111053
佛得角,CapeVerde,5667,318,4,2241
中非,CentralAfrican,17239,1813,2352,5696
乍得,Chad,39807,63319,67293,84934
科摩罗,Comoros,21584,6808,4932,1336
刚果(布),Congo,184503,28625,29726,49362
吉布提,Djibouti,35273,82177,4643,15859
埃及,Egypt,160510,794886,258992,316561
赤道几内亚,Eq.Guinea,123325,18456,68364,26369
埃塞俄比亚,Ethiopia,706366,221398,269104,265288
加蓬,Gabon,18778,27935,25119,79919
冈比亚,Gambia,20205,417,8089,1662
加纳,Ghana,290608,322201,429176,1241632
几内亚,Guinea,143157,162044,266217,286731
几内亚(比绍),GuineaBissau,540,2394,1231,2728
科特迪瓦,Coted'Ivoire,46309,203512,349068,598506
肯尼亚,Kenya,1007838,378939,137806,323698
利比里亚,Liberia,9033,12721,30361,35811
利比亚,Libya,3,,7747,
马达加斯加,Madagascar,32624,25863,92250,68921
马拉维,Malawi,13786,40758,17931,13716
马里,Mali,39386,15974,13486,5048
毛里塔尼亚,Mauritania,163249,22799,20856,2086
毛里求斯,Mauritius,15861,11315,30445,29637
摩洛哥,Morocco,82110,21613,23134,74977
莫桑比克,Mozambique,60172,332142,98681,285950
纳米比亚,Namibia,16047,20114,34074,26918
尼日尔,Niger,48497,28527,95475,42862
尼日利亚,Nigeria,1148032,1701344,1255716,783322
卢旺达,Rwanda,33089,49288,49475,57365
圣多美和普林西比,SaoTomeandPrincipe,152,15744,238,
塞内加尔,Senegal,74477,40402,102501,148907
塞舌尔,Seychelles,2579,851,702,1930
塞拉利昂,SierraLeone,12692,97575,7185,58761
索马里,Somali,2100,,2971,
南非,S.Africa,84663,180462,106113,72207
苏丹,Sudan,143545,57044,24007,77862
坦桑尼亚,Tanzania,109999,211793,125824,116377
多哥,Togo,13131,6146,1731,9751
突尼斯,Tunisia,18381,4245,17737,10132
乌干达,Uganda,95493,375763,118336,95966
布基纳法索,BurkinaFaso,1202,3737,14032,
刚果(金),CongoDR,286961,572474,356270,203233
赞比亚,Zambia,486454,466784,220912,332160
津巴布韦,Zimbabwe,148153,117212,84581,255041
莱索托,Lesotho,829,16389,41564,13092
厄立特里亚,Eritrea,3199,15,13,446
南苏丹,RepublicofSouthSudan,109060,18376,116778,89292
,,,,,
,,,,,
8-4续表2Continued2
国别(地区),Country/Region,2017,2018,2019,2020
欧洲,Europe,1721542,1432993,3230692,2088434
比利时,Belgium,3523,1164,16753,25662
丹麦,Denmark,2688,421,1788,3154
英国,UnitedKingdom,56548,94795,60675,83027
德国,Germany,74234,89311,62042,52283
法国,France,166336,142022,163303,145761
爱尔兰,Ireland,11,50,1155,
意大利,Italy,7004,3418,9213,3072
荷兰,Netherlands,25456,12884,14115,10216
希腊,Greece,7961,17986,44874,13352
葡萄牙,Portugal,36540,13584,7480,8721
