8-6分国别(地区)年末在境外从事承包工程人员
PersonnelAbroadforEngineeringProjectsClassified
byCountryorRegionattheYear-end
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
合计,Total,376827,390719,368063,273434
亚洲,Asia,193438,214261,203956,155083
阿富汗,Afghanistan,162,231,65,86
巴林,Bahrain,2,63,63,
孟加拉国,Bangladesh,7861,12523,15532,7413
文莱,Brunei,3814,9573,1576,662
缅甸,Myanmar,3651,2427,3848,1410
柬埔寨,Cambodia,3896,4719,8466,6331
中国香港,Hongkong,China,641,724,2869,1951
印度,India,1279,1483,1846,1292
印度尼西亚,Indonesia,16363,20928,21138,18158
伊朗,Iran,2149,3268,2030,
伊拉克,Iraq,9100,11514,13040,9876
以色列,Israel,511,1635,1745,3056
日本,Japan,510,484,488,24
约旦,Jordan,343,470,573,1256
科威特,Kuwait,6903,11413,8113,2270
老挝,Laos,16879,21230,22283,16234
黎巴嫩,Lebanon,,5,5,
中国澳门,Macao,China,1345,1279,1594,992
马来西亚,Malaysia,21214,17912,13033,7472
马尔代夫,Maldives,724,3920,2702,1532
蒙古,Mongolia,2852,1556,1456,1244
尼泊尔,Nepal,1439,1409,1629,1059
阿曼,Oman,916,2294,1890,880
巴基斯坦,Pakistan,20850,22819,16857,14343
巴勒斯坦,Balestine,2,30,,
菲律宾,Philippines,3564,3761,4025,2928
卡塔尔,Qatar,1855,1763,1204,413
沙特阿拉伯,SaudiArabia,22080,18516,19462,19605
新加坡,Singapore,3588,2711,1632,2354
韩国,Korea,86,89,100,185
斯里兰卡,SriLanka,3705,4267,4017,3277
泰国,Thailand,2542,3069,4234,1561
土耳其,Turkey,6330,2465,929,1289
阿联酋,UnitedArabEmirates,4847,5535,5999,10558
也门共和国,YemenRep.,21,21,21,
越南,Vietnam,7636,7486,8493,6004
中国台湾,Taiwan,China,25,58,112,2
东帝汶,TimorLeste,843,900,784,1131
哈萨克斯坦,Kazakhstan,8065,3867,4547,2407
吉尔吉斯斯坦,Kirghizia,1650,2008,1882,675
,,,,,
,,,,,
8-6续表1Continued1
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
塔吉克斯坦,Tadzhikistan,891,1035,974,1086
土库曼斯坦,Turkmenistan,481,383,321,116
乌兹别克斯坦,Uzbekstan,1823,2418,2379,2375
亚洲其他国家,Oth.Asia.Nes,,,,
非洲,Africa,147093,137353,120356,81556
阿尔及利亚,Algeria,44545,39106,28961,13082
安哥拉,Angola,16872,14897,10725,5115
贝宁,Benin,164,357,987,789
博茨瓦纳,Botswana,458,462,392,201
布隆迪,Burundi,385,675,598,232
喀麦隆,Cameroon,2596,2718,2398,2315
佛得角,CapeVerde,352,393,188,97
中非,CentralAfrican,183,185,329,194
乍得,Chad,2106,1575,2271,1656
科摩罗,Comoros,121,129,116,118
刚果(布),Congo,3547,3089,2620,1295
吉布提,Djibouti,906,781,413,542
埃及,Egypt,1849,1171,1663,1546
赤道几内亚,Eq.Guinea,3615,3065,2140,956
埃塞俄比亚,Ethiopia,8636,8310,7073,7540
加蓬,Gabon,1952,608,746,536
冈比亚,Gambia,303,297,141,196
加纳,Ghana,3314,1632,1502,1903
几内亚,Guinea,3211,3606,3937,4847
几内亚(比绍),Guineabissau,344,350,16,55
科特迪瓦,Coted'Ivoire,1121,2009,2179,1291
肯尼亚,Kenya,8271,8503,7596,3936
利比里亚,Liberia,1054,805,499,282
利比亚,Libya,87,87,43,
马达加斯加,Madagascar,163,161,229,254
马拉维,Malawi,237,266,245,421
马里,Mali,480,597,885,700
毛里塔尼亚,Mauritania,757,856,967,559
毛里求斯,Mauritius,474,688,540,365
摩洛哥,Morocco,527,274,414,410
莫桑比克,Mozambique,3325,2329,2064,2107
纳米比亚,Namibia,807,1066,722,495
尼日尔,Niger,771,713,838,1244
尼日利亚,Nigeria,6272,7180,7720,6325
卢旺达,Rwanda,687,748,858,753
圣多美和普林西比,SaoTome&Principe,,,8,
塞内加尔,Senegal,1798,2425,1912,905
塞舌尔,Seychelles,112,156,166,138
,,,,,
,,,,,
8-6续表2Continued2
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
塞拉利昂,SierraLeone,605,653,575,252
索马里,Somalia,3,1,1,
南非,S.Africa,400,551,598,181
苏丹,Sudan,3760,3154,3078,1196
坦桑尼亚,Tanzania,2945,3199,4222,2884
多哥,Togo,329,376,116,154
突尼斯,Tunisia,211,243,232,162
乌干达,Uganda,3174,3913,3608,1821
布基纳法索,BurkinaFaso,3,21,3,
刚果(金),CongoDR,5111,6230,4806,5209
赞比亚,Zambia,6728,5544,6114,4185
津巴布韦,Zimbabwe,669,589,871,1033
莱索托,Lesotho,130,126,188,156
厄立特里亚,Eritrea,278,109,166,160
南苏丹共和国,RepublicofSouthSudan,345,375,677,701
欧洲,Europe,9842,13605,14084,13923
丹麦,,,,,22
英国,UnitedKingdom,69,127,218,134
德国,Germany,384,73,71,86
法国,France,63,79,74,157
意大利,Italy,76,70,53,9
卢森堡,Luxembourg,,,,
荷兰,Netherlands,38,8,10,25
希腊,Greece,22,24,14,10
葡萄牙,Portugal,,1,4,
西班牙,Spain,19,39,62,57
阿尔巴尼亚,Albania,32,17,2,
奥地利,Austria,101,114,84,84
保加利亚,Bulgaria,104,,,3
芬兰,Finland,16,3,22,23
匈牙利,Hungary,,1,1,23
冰岛,Iceland,1,1,,
马耳他,Malta,27,11,1,
挪威,Norway,,1,366,
波兰,Poland,28,119,77,122
罗马尼亚,Romania,54,54,35,8
瑞典,Sweden,4,4,,11
瑞士,Switzerland,11,47,57,
拉脱维亚,Latvia,,3,,
立陶宛,Lithuania,3,3,,
格鲁吉亚,Georgia,882,1210,1768,1799
亚美尼亚,Armenia,240,252,96,
阿塞拜疆,Azerbaijan,80,80,110,9
白俄罗斯,Byelorussia,2109,1717,2322,1434
俄罗斯,Russia,3578,4123,2778,3070
乌克兰,Ukraine,264,695,446,257
斯洛文尼亚,Slovenia,,,,
克罗地亚,Croatia,,20,917,568
马其顿共和国,Macedonia,FYR,578,732,501,386
波黑,Bosnia&Hercegovina,39,41,39,
塞尔维亚,Serbia,178,758,1832,4552
黑山,Montenegro,842,3178,2124,703
,,,,,
,,,,,
8-6续表3Continued3
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
拉丁美洲,LatinAmerica,18608,19528,20332,18330
安提瓜和巴布达,AntiguaBarbuda,27,80,36,77
阿根廷,Argentina,1434,1287,1988,1831
巴哈马,Bahama,133,118,251,
巴巴多斯,Barbados,26,177,9,
玻利维亚,Bolivia,1172,1469,1857,1562
巴西,Brazil,401,492,328,186
智利,Chile,79,23,28,101
哥伦比亚,Colombia,306,319,130,605
多米尼克,Dominica,26,318,129,202
哥斯达黎加,CostaRica,22,197,296,566
古巴,Cuba,175,413,667,
库腊索岛,Curacao,5,4,,
多米尼加共和国,DominicaRep.,13,13,13,37
厄瓜多尔,Ecuador,3341,2390,1687,596
法属圭亚那,FrenchGuyana,10,,,
格林纳达,Grenade,19,132,208,
危地马拉,Guatemala,51,51,51,
圭亚那,Guyana,84,42,454,640
洪都拉斯,Honduras,178,61,181,
牙买加,Jamaica,334,446,262,165
墨西哥,Mexico,261,300,304,267
尼加拉瓜,Nicaragua,68,,,
巴拿马,Panama,493,807,482,327
秘鲁,Peru,6819,8732,9576,9526
萨尔瓦多,ElSalvador,,,2,
苏里南,Suriname,139,193,172,93
特立尼达和多巴哥,Trinidad&Tobago,883,118,69,213
乌拉圭,Uruguay,3,3,3,
委内瑞拉,Venezuela,2091,1343,1149,313
圣基茨和尼维斯,St.Kitts-Nevis,15,,,
北美洲,NorthAmerica,4828,2771,5008,2150
加拿大,Canada,101,100,157,43
美国,UnitedStates,4727,2671,4851,2107
大洋洲及太平洋岛屿,OceaniaandPacificIs.,3018,3201,4327,2392
澳大利亚,Australia,159,144,173,109
库克群岛,CookIslands,96,11,,
斐济,Fiji,720,852,837,364
瑙鲁,Nauru,,,24,
瓦努阿图,Vanuatu,507,507,647,128
新西兰,NewZealand,36,36,85,97
巴布亚新几内亚,PapuaNewGuinea,829,1087,1913,1339
所罗门群岛,SolomonIs.,3,3,,
汤加,Tonga,323,323,229,16
萨摩亚,Samoa,276,152,388,220
基里巴斯,Kiribati,27,76,,
密克罗尼西亚,Micronesia,42,10,31,
