8-7分国别(地区)年末在境外从事劳务合作人员
PersonnelAbroadforLabourServicesClassified
byCountryorRegionattheYear-end
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
合计,Total,602342,606102,624077,349752
亚洲,Asia,474146,483956,507138,304860
阿富汗,,,,,3
巴林,Bahrain,2,,1,
孟加拉国,Bangladesh,336,270,303,248
文莱,Brunei,214,3385,1240,154
缅甸,Myanmar,1031,550,897,192
柬埔寨,Cambodia,1981,1874,1933,240
塞浦路斯,Cyprus,298,359,411,
中国香港,HongKong,China,58001,53449,60809,41035
印度,India,165,249,227,28
印度尼西亚,Indonesia,1371,1935,3845,1171
伊朗,Iran,284,246,222,
伊拉克,Iraq,339,268,578,455
以色列,Israel,712,5233,5518,5150
日本,Japan,143384,141010,143662,82630
约旦,Jordan,106,204,64,3
科威特,Kuwait,887,1465,1403,182
老挝,Laos,2908,2659,2691,850
中国澳门,Macao,China,127302,130919,134728,107625
马来西亚,Malaysia,6705,6399,6580,1167
马尔代夫,Maldives,123,1246,1517,602
蒙古,Mongolia,822,2157,1724,779
尼泊尔,Nepal,284,297,421,473
阿曼,Oman,36,30,31,3
巴基斯坦,Pakistan,428,856,1684,982
菲律宾,Philippines,208,290,572,393
卡塔尔,Qatar,1220,1168,1172,365
沙特阿拉伯,SaudiArabia,7427,8441,7643,2158
新加坡,Singapore,91900,94368,96949,41226
韩国,Korea,11002,10497,9706,5011
斯里兰卡,SriLanka,603,695,821,137
泰国,Thailand,863,615,880,146
土耳其,Turkey,443,491,540,521
阿联酋,UnitedArabEmirates,3886,4006,3971,1801
越南,Vietnam,2108,2246,2609,788
中国台湾,Taiwan,China,4807,4661,9718,7339
东帝汶,EastTimor,13,7,7,
哈萨克斯坦,Kazakhstan,1614,967,500,52
吉尔吉斯斯坦,Kirghizia,218,155,274,141
塔吉克斯坦,Tadzhikistan,106,109,112,30
土库曼斯坦,Turkmenistan,,46,46,5
乌兹别克斯坦,Uzbekistan,,134,1129,616
,,,,,
,,,,,
8-7续表1Continued1
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
非洲,Africa,55596,63705,62389,22518
阿尔及利亚,Algeria,16946,21114,14038,4996
安哥拉,Angola,8695,12325,12143,964
贝宁,Benin,166,201,156,99
博茨瓦纳,Botswana,29,30,8,
布隆迪,Burundi,264,251,293,21
喀麦隆,Cameroon,81,65,117,159
佛得角,CapeVerde,74,4,,
中非,CentralAfrican,36,,,
乍得,Chad,142,142,147,74
科摩罗,,,,,13
刚果(布),Congo,1352,1033,1044,226
吉布提,Djibouti,355,374,320,273
埃及,Egypt,1,26,354,345
赤道几内亚,Eq.Guinea,1069,960,905,144
埃塞俄比亚,Ethiopia,1027,802,1034,479
加蓬,Gabon,329,302,295,308
冈比亚,Gambia,23,439,433,26
加纳,Ghana,1585,1450,1858,404
几内亚,Guinea,554,581,1584,925
几内亚(比绍),Guineabissau,1,1,2,2
科特迪瓦,Coted'Ivoire,120,107,150,116
肯尼亚,Kenya,432,628,752,600
利比里亚,Liberia,4885,3603,2641,1820
利比亚,Libya,47,3,27,
马达加斯加,Madagascar,438,452,322,104
马拉维,Malawi,44,33,70,38
马里,Mali,,,,38
毛里塔尼亚,Mauritania,829,843,3644,3244
毛里求斯,Mauritius,605,605,454,17
摩洛哥,Morocco,170,155,77,80
莫桑比克,Mozambique,740,824,930,522
纳米比亚,Namibia,73,87,84,23
尼日尔,Niger,119,123,116,67
尼日利亚,Nigeria,3921,3908,4479,2291
卢旺达,Rwanda,992,1099,1119,248
塞内加尔,Senegal,314,859,1055,200
塞舌尔,Seychelles,27,25,106,81
塞拉利昂,SierraLeone,772,614,442,137
南非,S.Africa,111,110,,
苏丹,Sudan,1474,1975,2815,134
坦桑尼亚,Tanzania,746,749,765,266
多哥,Togo,397,301,200,94
突尼斯,Tunisia,78,17,2,
乌干达,Uganda,1512,1580,2048,318
刚果(金),CongoDR,1182,1438,1679,1556
,,,,,
,,,,,
8-7续表2Continued2
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
赞比亚,Zambia,2052,2698,2792,635
津巴布韦,Zimbabwe,80,99,129,85
莱索托,Lesotho,495,481,577,277
厄立特里亚,Eritrea,126,125,127,7
南苏丹共和国,RepublicofSouthSudan,86,64,56,33
欧洲,Europe,20142,14394,16888,7199
比利时,Belgium,32,31,29,27
丹麦,Denmark,76,142,123,64
英国,UnitedKingdom,1220,822,1334,935
德国,Germany,4905,5633,6451,3212
法国,France,2,2,117,190
爱尔兰,Ireland,,,79,
意大利,Italy,1256,816,1224,211
卢森堡,Luxembourg,1,1,,
荷兰,Netherlands,316,389,464,247
希腊,Greece,290,703,937,830
葡萄牙,Portugal,13,11,12,3
西班牙,Spain,7,8,26,24
阿尔巴尼亚,Albania,,246,293,
奥地利,Austria,,,22,22
芬兰,Finland,13,3,1,6
直布罗陀,Gibraltar,143,105,81,
匈牙利,Hungary,4,,3,3
冰岛,Iceland,9,12,12,
马耳他,Malta,1012,499,354,
摩纳哥,Monaco,20,13,186,
挪威,Norway,521,244,250,340
波兰,Poland,51,41,19,5
瑞典,Sweden,16,5,16,1
瑞士,Switzerland,123,389,812,
拉脱维亚,Latvia,,12,15,
立陶宛,Lithuania,2,12,15,
格鲁吉亚,Georgia,550,,,2
白俄罗斯,Belorussia,12,11,19,23
俄罗斯,Russia,9433,4123,3916,164
乌克兰,Ukraine,2,2,15,
克罗地亚,Croatia,2,,,1
捷克,Czech,,,5,5
马其顿共和国,Macedonia,,11,12,10
波黑,Bosnia&Herzegovina,,8,14,
塞尔维亚,Serbia,11,,32,63
黑山,Montenegro,100,100,,
拉丁美洲,LatinAmerica,39066,30140,23420,9783
安提瓜和巴布达,Antigua&Barbuda,10,12,27,
阿根廷,Argentina,112,147,163,159
,,,,,
,,,,,
8-7续表3Continued3
单位:人
Unit:person
国别(地区),Country/Region,2017,2018,2019,2020
巴哈马,Bahamas,5191,5118,3273,
巴巴多斯,Barbados,62,15,10,
伯利兹,Belize,2004,1417,1035,
玻利维亚,Bolivia,60,114,135,140
巴西,Brazil,157,157,159,5
开曼群岛,CaymanIs.,58,64,286,
智利,Chile,344,338,381,322
哥伦比亚,Colombia,2,2,32,1
多米尼克,Dominica,29,20,7,8
哥斯达黎加,CostaRica,72,6,26,14
