City,Total,DomesticFunded,HKMacaoTaiwan,ForeignFunded
Unit,个,个,个,个
北京市,3028,2411,147,470
天津市,5120,4020,221,879
石家庄市,2183,2115,35,33
唐山市,1837,1760,22,55
秦皇岛市,429,376,13,40
邯郸市,1435,1404,16,15
邢台市,1554,1514,15,25
保定市,1645,1584,14,47
张家口市,452,427,9,16
承德市,399,385,6,8
沧州市,2100,2019,20,61
廊坊市,1222,1101,28,93
衡水市,978,948,9,21
太原市,622,600,4,18
大同市,364,342,11,11
阳泉市,221,213,2,6
长治市,497,486,6,5
晋城市,425,407,5,13
朔州市,350,347,1,2
晋中市,806,789,8,9
运城市,607,594,3,10
忻州市,478,472,2,4
临汾市,500,488,9,3
吕梁市,588,573,8,7
呼和浩特市,252,229,11,12
包头市,460,447,3,10
乌海市,158,155,2,1
赤峰市,271,263,2,6
通辽市,233,227,3,3
鄂尔多斯市,458,441,6,11
呼伦贝尔市,136,126,3,7
巴彦淖尔市,264,253,5,6
乌兰察布市,279,267,7,5
沈阳市,1592,1314,62,216
大连市,1898,1340,101,457
鞍山市,707,661,18,28
抚顺市,260,240,11,9
本溪市,223,203,11,9
丹东市,377,353,9,15
锦州市,338,301,16,21
营口市,680,587,31,62
阜新市,210,196,8,6
辽阳市,248,232,8,8
盘锦市,304,286,7,11
铁岭市,298,277,10,11
朝阳市,323,301,11,11
葫芦岛市,269,260,2,7
长春市,1214,1054,31,129
吉林市,425,405,4,16
四平市,170,163,6,1
辽源市,104,100,2,2
通化市,333,322,2,9
白山市,159,150,2,7
松原市,209,200,2,7
白城市,156,143,4,9
哈尔滨市,1196,1135,16,45
齐齐哈尔市,351,333,8,10
鸡西市,208,202,2,4
鹤岗市,139,135,2,2
双鸭山市,152,147,3,2
大庆市,490,479,2,9
伊春市,63,60,,3
佳木斯市,319,304,5,10
七台河市,102,101,,1
牡丹江市,286,273,5,8
黑河市,115,111,1,3
绥化市,369,364,2,3
上海市,8804,5747,781,2276
南京市,3231,2685,183,363
无锡市,7006,5881,402,723
徐州市,2024,1900,59,65
常州市,5065,4424,231,410
苏州市,11900,7955,1119,2826
南通市,5365,4634,256,475
连云港市,985,863,41,81
淮安市,1486,1324,86,76
盐城市,3139,2839,109,191
扬州市,3039,2776,129,134
镇江市,2011,1720,130,161
泰州市,2861,2632,86,143
宿迁市,2065,1959,53,53
杭州市,5992,5248,284,460
宁波市,8571,7237,648,686
温州市,6724,6609,49,66
嘉兴市,6364,5369,387,608
湖州市,3792,3473,159,160
绍兴市,4561,4172,221,168
金华市,4629,4459,87,83
衢州市,1131,1077,16,38
舟山市,391,366,8,17
台州市,4611,4465,70,76
丽水市,1207,1183,7,17
合肥市,2150,1975,55,120
芜湖市,1777,1651,54,72
蚌埠市,1061,1019,20,22
淮南市,723,704,14,5
马鞍山市,1134,1058,39,37
淮北市,639,617,7,15
铜陵市,493,471,12,10
安庆市,1644,1588,27,29
黄山市,537,518,7,12
滁州市,1870,1770,36,64
阜阳市,1657,1638,10,9
宿州市,1012,982,16,14
六安市,1034,1006,14,14
亳州市,617,609,6,2
池州市,539,524,10,5
宣城市,1572,1515,19,38
福州市,2662,2167,250,245
厦门市,2420,1712,354,354
莆田市,1114,988,83,43
三明市,1787,1718,52,17
泉州市,5357,4182,923,252
漳州市,2376,1954,251,171
南平市,958,919,22,17
龙岩市,1151,1062,53,36
宁德市,1045,1011,13,21
南昌市,1553,1437,52,64
景德镇市,416,398,5,13
萍乡市,609,585,17,7
九江市,1985,1886,53,46
新余市,510,496,9,5
鹰潭市,389,370,10,9
赣州市,2332,2137,134,61
吉安市,1662,1583,44,35
宜春市,1896,1818,42,36
抚州市,923,901,14,8
上饶市,1915,1882,19,14
济南市,2215,2073,60,82
青岛市,3856,3031,186,639
淄博市,1775,1678,46,51
枣庄市,739,700,26,13
东营市,845,800,22,23
烟台市,2188,1732,112,344
潍坊市,3521,3293,89,139
济宁市,1941,1844,35,62
