City,Total,Import,Export
Unit,万元,万元,万元
北京市,232159140,185609687,46549453
天津市,73406555,42655375,30751180
石家庄市,13411471,5555431,7856040
唐山市,10210667,6708635,3502032
秦皇岛市,3590552,1523535,2067017
邯郸市,2116951,536265,1580686
邢台市,1698289,189018,1509271
保定市,3060413,402883,2657530
张家口市,391100,84780,306320
承德市,163367,43834,119533
沧州市,3183137,1465783,1717354
廊坊市,3924196,2219768,1704428
衡水市,2353981,155487,2198494
太原市,12114678,4867552,7247126
大同市,433450,69818,363632
阳泉市,150488,91373,59115
长治市,88693,23775,64918
晋城市,643192,544997,98195
朔州市,112070,78345,33725
晋中市,200152,30921,169231
运城市,594891,349720,245171
忻州市,188696,73002,115694
临汾市,181541,8837,172704
吕梁市,383982,183662,200320
呼和浩特市,1470000,746000,724000
包头市,1574000,916000,658000
乌海市,59000,8000,51000
赤峰市,998000,726000,272000
通辽市,334000,59000,275000
鄂尔多斯市,460000,220000,240000
呼伦贝尔市,1503011,1172608,330403
巴彦淖尔市,1863800,1650000,213800
乌兰察布市,303000,50000,253000
沈阳市,10281088,7537403,2743685
大连市,38541933,21816302,16725631
鞍山市,2860404,1748517,1111887
抚顺市,368000,311000,57000
本溪市,1797423,750192,1047231
丹东市,1177307,182817,994490
锦州市,1422142,1039072,383070
营口市,6579857,4719765,1860092
阜新市,311127,169490,141637
辽阳市,362785,73556,289229
盘锦市,2173000,2040000,133000
铁岭市,327345,183921,143424
朝阳市,400000,154000,246000
葫芦岛市,972500,284400,688100
长春市,10276005,8922264,1353741
吉林市,546114,173672,372442
四平市,47452,20669,26783
辽源市,189175,30020,159155
通化市,170975,80370,90605
白山市,103730,25233,78497
白城市,154701,16578,138123
哈尔滨市,2558891,1189957,1368934
齐齐哈尔市,519924,299552,220372
鸡西市,253766,18426,235340
鹤岗市,235278,230533,4745
双鸭山市,123878,73076,50802
大庆市,7508807,7090728,418079
伊春市,63159,41853,21306
佳木斯市,637144,426823,210321
七台河市,6878,5152,1726
牡丹江市,2618026,1802758,815268
黑河市,506870,410945,95925
绥化市,351941,276073,75868
上海市,348727000,211518000,137209000
南京市,53402000,19413000,33989000
无锡市,60756146,25285439,35470707
徐州市,10671605,2018564,8653041
常州市,24172545,6203216,17969329
苏州市,223214348,93799480,129414868
南通市,26270789,8344719,17926070
连云港市,6434503,3808914,2625589
淮安市,3443800,1066800,2377000
盐城市,8235496,2703781,5531715
扬州市,7701994,1901691,5800303
镇江市,7224400,2102300,5122100
泰州市,10140131,3486477,6653654
宿迁市,3353089,445225,2907864
杭州市,59341613,22409270,36932343
宁波市,97868825,33799132,64069693
温州市,21897380,3116517,18780863
嘉兴市,30523198,7791409,22731789
湖州市,11321741,1063872,10257869
绍兴市,25780615,1920203,23860412
金华市,48665891,2533351,46132540
衢州市,3584045,1048100,2535945
舟山市,16673094,10792091,5881003
台州市,18984818,1376197,17608621
丽水市,3436451,429363,3007088
合肥市,25972453,10164822,15807631
芜湖市,5847026,2473053,3373973
蚌埠市,1305942,695388,610554
淮南市,530224,31880,498344
马鞍山市,4022947,2297625,1725322
淮北市,697838,82554,615284
铜陵市,5271425,4610761,660664
安庆市,1301192,272164,1029028
黄山市,831704,94022,737682
滁州市,2675643,654175,2021468
阜阳市,1155625,212177,943448
宿州市,926730,43701,883029
六安市,722763,67459,655304
亳州市,739740,96938,642802
池州市,718571,555750,162821
宣城市,1344203,98708,1245495
福州市,26385721,7931102,18454619
厦门市,69157708,33428459,35729249
莆田市,6280496,3994384,2286112
三明市,1154288,1065876,88412
泉州市,19708102,4672043,15036059
漳州市,8091956,2710467,5381489
南平市,1252086,102475,1149611
龙岩市,3341047,1055435,2285612
宁德市,5025400,1673700,3351700
南昌市,11514614,4383544,7131070
景德镇市,664619,7780,656839
萍乡市,1474651,24681,1449970
九江市,4486937,761872,3725065
新余市,1644321,854415,789906
鹰潭市,3247416,2164312,1083104
赣州市,5030310,824170,4206140
吉安市,5290515,1364594,3925921
宜春市,2440649,155955,2284694
抚州市,3366033,1738681,1627352
上饶市,2568747,245070,2323677
济南市,13826642,6276272,7550370
青岛市,64179786,25422991,38756795
淄博市,8926156,4035161,4890995
枣庄市,2638037,139806,2498231
东营市,13989394,9441050,4548344
烟台市,32149000,12518000,19631000
潍坊市,19039181,6883028,12156153
济宁市,5451380,1590286,3861094
泰安市,2119044,660130,1458914
威海市,16145724,4487506,11658218
日照市,10238575,6803969,3434606
临沂市,11671360,1752785,9918575
德州市,3868622,1396220,2472402
聊城市,4042134,1767664,2274470
滨州市,8175117,4900891,3274226
菏泽市,4337525,2194404,2143121
郑州市,49464000,19976000,29488000
开封市,668000,122000,546000
洛阳市,1930566,206191,1724375
平顶山市,344000,40000,304000
安阳市,634000,398000,236000
鹤壁市,384000,23000,361000
新乡市,1018000,118000,900000
焦作市,1391000,337000,1054000
濮阳市,868000,462000,406000
许昌市,1349710,161621,1188089
漯河市,447000,101000,346000
三门峡市,1767000,1575000,192000
南阳市,1286000,267000,1019000
