Country,ISO编码,Y2000,Y2021,标识,增速,平均增速
Unit,
Remark,
Ghana,GHA,4983024408.00,77594279055.00,,1457.17,14.33
China,CHN,1211350000000.00,17734100000000.00,,1364.00,13.96
Ethiopia,ETH,8242392104.00,111271000000.00,,1249.99,12.78
Mongolia,MNG,1136896124.00,15098022829.00,,1228.00,12.69
Equatorial Guinea,GNQ,1045998496.00,12269392789.00,,1072.98,11.96
Vietnam,VNM,31172518403.00,362638000000.00,,1063.32,11.92
Lao PDR,LAO,1731198022.00,18827148530.00,,987.52,11.52
Moldova,MDA,1288429392.00,13679221333.00,,961.70,11.38
Kazakhstan,KAZ,18291994909.00,190814000000.00,,943.16,11.28
Guyana,GUY,712667896.70,7409179921.00,,939.64,11.26
Azerbaijan,AZE,5272798391.00,54622176471.00,,935.92,11.24
Tajikistan,TJK,860521119.30,8746270636.00,,916.39,11.13
Qatar,QAT,17759890110.00,179571000000.00,,911.10,11.09
Myanmar,MMR,6849321646.00,65067808985.00,,849.99,10.73
Serbia,SRB,6875845987.00,63068134601.00,,817.24,10.52
Kenya,KEN,12705357103.00,110347000000.00,,768.51,10.20
Chad,TCD,1388506727.00,11779980802.00,,748.39,10.06
Angola,AGO,9129594819.00,72546985709.00,,694.64,9.67
Maldives,MDV,624337145.30,4889666932.00,,683.18,9.58
Bangladesh,BGD,53369787319.00,416265000000.00,,679.96,9.56
Romania,ROU,37253259017.00,284088000000.00,,662.58,9.42
Papua New Guinea,PNG,3521339699.00,26594277246.00,,655.23,9.36
Cambodia,KHM,3654031716.00,26961061120.00,,637.84,9.22
Armenia,ARM,1911563669.00,13861183874.00,,625.12,9.12
Malawi,MWI,1743506531.00,12626718074.00,,624.21,9.11
Indonesia,IDN,165021000000.00,1186090000000.00,,618.75,9.07
Russian Federation,RUS,259710000000.00,1775800000000.00,,583.76,8.76
India,IND,468395000000.00,3173400000000.00,,577.50,8.71
Niger,NER,2241753120.00,14950949875.00,,566.93,8.61
Burkina Faso,BFA,2968369991.00,19737615114.00,,564.93,8.59
Sierra Leone,SLE,635874002.20,4200380124.00,,560.57,8.55
Nepal,NPL,5494252208.00,36288830373.00,,560.49,8.55
Uganda,UGA,6193246837.00,40434701517.00,,552.88,8.48
Mali,MLI,2961484954.00,19143741503.00,,546.42,8.42
Estonia,EST,5686579748.00,36262924354.00,,537.69,8.34
Nigeria,NGA,69448756933.00,440777000000.00,,534.68,8.31
Kyrgyz Republic,KGZ,1369688498.00,8543423503.00,,523.75,8.20
Ukraine,UKR,32375280321.00,200086000000.00,,518.02,8.15
Georgia,GEO,3057475335.00,18700241392.00,,511.62,8.08
Djibouti,DJI,551230861.90,3371102124.00,,511.56,8.08
Bulgaria,BGR,13245833844.00,80271119426.00,,506.01,8.03
Montenegro,MNE,984297589.40,5809170962.00,,490.18,7.86
Zambia,ZMB,3600683040.00,21203059080.00,,488.86,7.85
Ecuador,ECU,18327764882.00,106166000000.00,,479.26,7.75
Lithuania,LTU,11524776867.00,65503849705.00,,468.37,7.63
Togo,TGO,1491891108.00,8413200568.00,,463.93,7.58
Bhutan,BTN,424464089.90,2315436303.00,True,445.50,7.37
Belarus,BLR,12736856828.00,68218816484.00,,435.60,7.26
Rwanda,RWA,2067579822.00,11070356519.00,,435.43,7.26
Jordan,JOR,8460424401.00,45243661972.00,,434.77,7.25
Timor-Leste,TLS,367087900.00,1959134744.00,,433.70,7.24
Guinea,GIN,2995361141.00,15850520384.00,,429.17,7.18
Albania,ALB,3480355258.00,18260043500.00,,424.66,7.13
Sri Lanka,LKA,16330814180.00,84518830393.00,,417.54,7.04
Panama,PAN,12304115000.00,63605065800.00,,416.94,7.04
Tanzania,TZA,13375976354.00,67775101794.00,,406.69,6.91
Benin,BEN,3519991326.00,17785640079.00,,405.28,6.89
Uzbekistan,UZB,13760513969.00,69238903106.00,,403.17,6.86
Ireland,IRL,100208000000.00,498560000000.00,,397.53,6.79
Latvia,LVA,7958852839.00,38872546229.00,,388.42,6.67
Bolivia,BOL,8397912525.00,40408208524.00,,381.17,6.58
New Zealand,NZL,52623281957.00,249992000000.00,,375.06,6.50
Philippines,PHL,83669693589.00,394086000000.00,,371.00,6.44
Mauritania,MRT,1779523344.00,8227580740.00,,362.35,6.32
Senegal,SEN,6013184809.00,27625388352.00,,359.41,6.28
Czech Republic,CZE,61828166496.00,282341000000.00,,356.65,6.24
Guatemala,GTM,19288827159.00,85986321551.00,,345.78,6.09
Guinea-Bissau,GNB,371095510.00,1638517533.00,,341.54,6.02
"Macao SAR, China",MAC,6774193548.00,29905190182.00,,341.46,6.02
Paraguay,PRY,8855705140.00,38986810989.00,,340.25,6.00
Oman,OMN,19507452536.00,85868626528.00,,340.18,6.00
Saudi Arabia,SAU,189515000000.00,833541000000.00,,339.83,6.00
Peru,PER,51744749133.00,223249000000.00,,331.44,5.87
Iraq,IRQ,48364250944.00,207889000000.00,,329.84,5.85
