Country,GDP,GDP同比,GDP环比,利率,通货膨胀率,失业率,政府预算,债务,往来账户,人口
Unit,
Remark,
United States,22996,3.50,-1.60,1.75,9.10,3.60,-16.70,137.20,-3.60,332.40
China,17734,4.80,1.30,3.70,2.50,5.90,-3.70,66.80,1.80,1412.60
Euro Area,14493,5.40,0.60,0.00,8.60,6.60,-5.10,95.60,2.50,342.41
Japan,4937,0.20,-0.10,-0.10,2.50,2.60,-12.60,266.20,3.20,125.31
Germany,4223,3.80,0.20,0.00,7.60,5.30,-3.70,69.30,7.00,83.17
United Kingdom,3187,8.70,0.80,1.25,9.10,3.80,-15.00,94.00,-3.50,67.08
India,3173,4.10,0.80,4.90,7.01,7.80,-9.40,73.95,-1.70,1380.00
France,2937,4.50,-0.20,0.00,5.80,7.30,-6.50,112.90,-1.00,67.29
Italy,2100,6.20,0.10,0.00,8.00,8.10,-7.20,150.80,3.60,59.64
Canada,1991,2.90,0.80,2.50,7.70,4.90,-4.70,117.80,0.10,38.44
South Korea,1799,3.00,0.60,2.25,6.00,2.90,-6.10,42.60,3.50,51.78
Russia,1776,3.50,-0.80,9.50,15.90,3.90,0.80,18.20,6.80,145.55
Brazil,1609,1.70,1.00,13.25,11.89,9.80,-4.50,88.83,-1.80,213.32
Australia,1543,3.30,0.80,1.35,5.10,3.90,-7.80,24.80,1.30,25.68
Spain,1425,6.30,0.20,0.00,10.20,13.65,-6.90,118.40,0.70,47.33
Mexico,1293,1.80,1.00,7.75,7.99,3.30,-3.80,52.10,2.40,126.25
Indonesia,1186,5.01,-0.96,3.50,4.35,5.83,-4.65,38.50,0.30,270.20
Netherlands,1018,6.70,0.40,0.00,8.60,3.30,-2.50,52.10,7.80,17.41
Saudi Arabia,834,9.90,2.60,2.25,2.20,6.00,-11.20,32.50,-2.80,34.11
Turkey,815,7.30,1.20,14.00,78.62,10.90,-2.70,42.00,-1.70,84.68
Switzerland,813,4.40,0.50,-0.25,3.40,2.00,-0.70,41.40,3.80,8.61
Poland,674,8.50,2.50,6.50,15.60,5.10,-1.90,53.80,3.60,37.96
Taiwan,669,3.14,1.06,1.50,3.59,3.73,-4.50,28.20,9.50,23.55
Sweden,627,3.00,-0.80,0.75,7.30,8.50,-0.20,36.70,5.20,10.33
Belgium,600,4.90,0.50,0.00,9.65,5.50,-5.50,108.20,-0.20,11.52
Thailand,506,2.20,1.10,0.50,7.66,1.53,-6.10,50.50,4.20,66.65
Ireland,499,11.00,10.80,0.00,7.80,4.80,-0.10,56.00,4.60,4.96
Argentina,491,6.00,0.90,52.00,60.70,7.00,-4.50,80.50,1.00,45.81
Israel,482,9.02,-0.50,1.25,4.10,3.70,-11.70,68.80,4.90,9.29
Norway,482,4.80,-1.00,1.25,6.30,3.30,9.10,43.20,2.00,5.37
Austria,477,9.50,1.50,0.00,8.70,5.50,-5.90,82.80,2.50,8.90
Nigeria,441,3.11,-14.66,13.00,17.71,33.30,-4.70,37.00,-2.80,206.14
South Africa,420,3.00,1.90,4.75,6.50,34.50,-5.70,69.90,3.70,59.30
Bangladesh,416,5.47,5.47,4.75,7.42,5.30,-5.35,31.70,-1.00,165.00
Egypt,404,5.40,9.80,11.25,13.20,7.20,-6.10,92.00,-4.60,100.50
Denmark,397,6.20,-0.50,-0.60,8.20,2.50,2.30,36.70,7.80,5.82
Singapore,397,3.70,0.70,0.64,5.60,2.20,-13.90,131.00,17.60,5.70
Philippines,394,8.30,1.90,2.50,6.10,6.00,-7.50,53.50,3.60,109.60
Malaysia,373,5.00,3.90,2.25,2.80,3.90,-3.20,60.70,1.00,32.73
Hong Kong,368,-4.00,-3.00,2.00,1.20,5.10,-12.00,38.40,6.60,7.47
Vietnam,363,7.72,6.88,4.00,3.37,2.46,-5.80,46.70,5.00,97.58
United Arab Emirates,359,3.80,2.00,3.00,2.50,5.00,-0.80,36.90,5.90,9.90
Pakistan,346,3.94,5.79,15.00,21.30,4.40,-7.10,84.00,-0.60,221.00
Chile,317,7.20,-0.80,9.75,12.50,7.80,-7.50,33.00,1.40,19.69
Colombia,314,8.50,1.00,7.50,9.67,10.60,-7.10,64.50,-5.70,51.41
Finland,299,3.60,0.20,0.00,7.00,7.90,-2.60,65.80,0.30,5.53
Romania,284,6.40,5.10,4.75,15.05,5.40,-7.10,48.80,-5.10,19.33
Czech Republic,282,4.80,0.90,7.00,17.20,3.10,-5.90,41.90,3.60,10.70
Portugal,250,11.90,2.60,0.00,8.70,5.90,-2.80,127.40,-1.20,10.30
New Zealand,250,1.20,-0.20,2.50,6.90,3.20,-1.30,30.10,-2.70,5.11
Iran,232,-5.50,,18.00,52.50,8.90,-9.50,45.40,-0.50,84.00
Peru,223,3.80,0.90,6.00,8.81,7.20,-2.60,36.00,-2.90,32.78
Greece,216,7.00,2.30,0.00,12.10,12.50,-7.40,193.30,-6.70,10.72
Iraq,208,5.90,,4.00,5.40,13.74,1.90,59.30,5.90,40.20
