Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1961","1961","tonnes","15100","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1962","1962","tonnes","15100","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1963","1963","tonnes","15100","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1964","1964","tonnes","18400","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1965","1965","tonnes","20400","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1966","1966","tonnes","22800","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1967","1967","tonnes","27600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1968","1968","tonnes","27900","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1969","1969","tonnes","28200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1970","1970","tonnes","27300","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1971","1971","tonnes","21500","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1972","1972","tonnes","26600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1973","1973","tonnes","27600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1974","1974","tonnes","27800","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1975","1975","tonnes","27900","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","1976","1976","tonnes","26200","F","FAO estimate"
