Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1991","1991","tonnes","1082","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1992","1992","tonnes","1112","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1993","1993","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1994","1994","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1995","1995","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1996","1996","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1997","1997","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1998","1998","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","1999","1999","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2000","2000","tonnes","","M","Data not available"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2001","2001","tonnes","2060","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2002","2002","tonnes","1512","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2003","2003","tonnes","1605","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2004","2004","tonnes","1583","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2005","2005","tonnes","1764","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2006","2006","tonnes","2316","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2007","2007","tonnes","3239","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2008","2008","tonnes","2982","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2009","2009","tonnes","2502","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2010","2010","tonnes","2821","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2011","2011","tonnes","2903","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2012","2012","tonnes","3678","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2013","2013","tonnes","4255","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2014","2014","tonnes","5020","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2015","2015","tonnes","5822","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2016","2016","tonnes","6810","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2017","2017","tonnes","7655","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2018","2018","tonnes","6551","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2019","2019","tonnes","6878","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","552","Blueberries","2020","2020","tonnes","7059","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","552","Blueberries","2018","2018","tonnes","1420","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","552","Blueberries","2019","2019","tonnes","1350","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","552","Blueberries","2020","2020","tonnes","1570","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","552","Blueberries","2018","2018","tonnes","600","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","552","Blueberries","2019","2019","tonnes","700","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","552","Blueberries","2020","2020","tonnes","700","","Official data"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1961","1961","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1962","1962","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1963","1963","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1964","1964","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1965","1965","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1966","1966","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1967","1967","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1968","1968","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1969","1969","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1970","1970","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1971","1971","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1972","1972","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1973","1973","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1974","1974","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1975","1975","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1976","1976","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1977","1977","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1978","1978","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1979","1979","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1980","1980","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1981","1981","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1982","1982","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1983","1983","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1984","1984","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1985","1985","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1986","1986","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1987","1987","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1988","1988","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1989","1989","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1990","1990","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1991","1991","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1992","1992","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1993","1993","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1994","1994","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1995","1995","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1996","1996","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1997","1997","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1998","1998","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","1999","1999","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2000","2000","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2001","2001","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2002","2002","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2003","2003","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2004","2004","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2005","2005","tonnes","","M","Data not available"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2006","2006","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2007","2007","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2008","2008","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2009","2009","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2010","2010","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2011","2011","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2012","2012","tonnes","100","F","FAO estimate"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2013","2013","tonnes","100","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2014","2014","tonnes","98","F","FAO estimate"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2015","2015","tonnes","97","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2016","2016","tonnes","99","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2017","2017","tonnes","99","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2018","2018","tonnes","100","","Official data"
"QCL","Crops and livestock products","BGR","Bulgaria","5510","Production","552","Blueberries","2020","2020","tonnes","80","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1961","1961","tonnes","8194","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1962","1962","tonnes","8266","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1963","1963","tonnes","10865","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1964","1964","tonnes","9463","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1965","1965","tonnes","8230","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1966","1966","tonnes","17014","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1967","1967","tonnes","14120","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1968","1968","tonnes","7159","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1969","1969","tonnes","13018","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1970","1970","tonnes","12959","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1971","1971","tonnes","10192","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1972","1972","tonnes","11894","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1973","1973","tonnes","16335","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1974","1974","tonnes","8843","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1975","1975","tonnes","14389","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1976","1976","tonnes","11311","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1977","1977","tonnes","15861","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1978","1978","tonnes","14564","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1979","1979","tonnes","15606","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1980","1980","tonnes","13647","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1981","1981","tonnes","18033","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1982","1982","tonnes","23235","","Official data"
"QCL","Crops and livestock products","CAN","Canada","5510","Production","552","Blueberries","1983","1983","tonnes","22545","","Official data"
