Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1992","1992","tonnes","700","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1993","1993","tonnes","600","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1994","1994","tonnes","600","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1995","1995","tonnes","600","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1996","1996","tonnes","500","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1997","1997","tonnes","600","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1998","1998","tonnes","1000","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","1999","1999","tonnes","1000","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2000","2000","tonnes","1300","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2001","2001","tonnes","1500","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2002","2002","tonnes","2500","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2003","2003","tonnes","1400","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2004","2004","tonnes","900","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2005","2005","tonnes","1800","*","Unofficial figure"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","554","Cranberries","2006","2006","tonnes","3000","*","Unofficial figure"
