Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1961","1961","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1962","1962","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1963","1963","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1964","1964","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1965","1965","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1966","1966","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1967","1967","tonnes","1000","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1968","1968","tonnes","1100","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1969","1969","tonnes","1100","F","FAO estimate"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1970","1970","tonnes","1298","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1971","1971","tonnes","1309","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1972","1972","tonnes","1171","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1973","1973","tonnes","1383","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1974","1974","tonnes","1491","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1975","1975","tonnes","1424","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1976","1976","tonnes","1118","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1977","1977","tonnes","688","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1978","1978","tonnes","1039","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1979","1979","tonnes","1051","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1980","1980","tonnes","1187","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1981","1981","tonnes","1028","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1982","1982","tonnes","1181","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1983","1983","tonnes","1300","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1984","1984","tonnes","1395","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1985","1985","tonnes","1319","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1986","1986","tonnes","1104","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1987","1987","tonnes","1276","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1988","1988","tonnes","1351","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1989","1989","tonnes","1491","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1990","1990","tonnes","1641","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1991","1991","tonnes","1838","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1992","1992","tonnes","1909","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1993","1993","tonnes","1850","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1994","1994","tonnes","1502","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1995","1995","tonnes","1930","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1996","1996","tonnes","1634","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1997","1997","tonnes","1633","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1998","1998","tonnes","1673","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","1999","1999","tonnes","1668","","Official data"
