Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1961","1961","tonnes","225000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1962","1962","tonnes","225000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1963","1963","tonnes","225000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1964","1964","tonnes","265000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1965","1965","tonnes","287000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1966","1966","tonnes","315000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1967","1967","tonnes","372000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1968","1968","tonnes","375000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1969","1969","tonnes","379000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1970","1970","tonnes","364000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1971","1971","tonnes","293000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1972","1972","tonnes","360000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1973","1973","tonnes","385000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1974","1974","tonnes","407000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1975","1975","tonnes","420000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1976","1976","tonnes","471000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1977","1977","tonnes","430000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1978","1978","tonnes","440000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1979","1979","tonnes","442000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1980","1980","tonnes","459000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1981","1981","tonnes","455000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1982","1982","tonnes","444000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1983","1983","tonnes","434000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1984","1984","tonnes","418000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1985","1985","tonnes","408000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1986","1986","tonnes","365000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1987","1987","tonnes","360000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1988","1988","tonnes","365000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1989","1989","tonnes","365000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1990","1990","tonnes","365000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1991","1991","tonnes","365000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1992","1992","tonnes","330000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1993","1993","tonnes","330000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1994","1994","tonnes","330000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1995","1995","tonnes","330000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1996","1996","tonnes","330000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1997","1997","tonnes","330000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1998","1998","tonnes","330000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","1999","1999","tonnes","330000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2000","2000","tonnes","330000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2001","2001","tonnes","365000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2002","2002","tonnes","365000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2003","2003","tonnes","365000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2004","2004","tonnes","349100","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2005","2005","tonnes","345700","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2006","2006","tonnes","350000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2007","2007","tonnes","360000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2008","2008","tonnes","364000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2009","2009","tonnes","378000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2010","2010","tonnes","397000","*","Unofficial figure"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2011","2011","tonnes","492464","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2012","2012","tonnes","590065","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2013","2013","tonnes","610570","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2014","2014","tonnes","744847","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2015","2015","tonnes","805072","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2017","2017","tonnes","923831","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2018","2018","tonnes","984081","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2019","2019","tonnes","1112927","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2020","2020","tonnes","993382","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1961","1961","tonnes","43412","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1962","1962","tonnes","48800","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1963","1963","tonnes","20160","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1964","1964","tonnes","38678","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1965","1965","tonnes","42900","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1966","1966","tonnes","54100","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1967","1967","tonnes","48500","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1968","1968","tonnes","57800","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1969","1969","tonnes","59700","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1970","1970","tonnes","65000","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1971","1971","tonnes","52000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1972","1972","tonnes","57000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1973","1973","tonnes","61000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1974","1974","tonnes","62000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1975","1975","tonnes","64000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1976","1976","tonnes","67000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1977","1977","tonnes","64000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1978","1978","tonnes","72000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1979","1979","tonnes","66000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1980","1980","tonnes","68000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1981","1981","tonnes","70300","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1982","1982","tonnes","79900","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1983","1983","tonnes","82000","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1984","1984","tonnes","70000","F","FAO estimate"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1985","1985","tonnes","80400","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1986","1986","tonnes","63700","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1987","1987","tonnes","77500","","Official data"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","560","Grapes","1988","1988","tonnes","75200","","Official data"
