Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1980","1980","tonnes","80","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1981","1981","tonnes","140","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1982","1982","tonnes","200","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1983","1983","tonnes","277","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1984","1984","tonnes","311","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1985","1985","tonnes","502","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1986","1986","tonnes","968","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1987","1987","tonnes","1567","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1988","1988","tonnes","2462","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1989","1989","tonnes","3261","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1990","1990","tonnes","3385","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1991","1991","tonnes","3323","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1992","1992","tonnes","4067","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1993","1993","tonnes","5500","*","Unofficial figure"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1994","1994","tonnes","4500","*","Unofficial figure"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1995","1995","tonnes","4280","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1996","1996","tonnes","3422","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1997","1997","tonnes","3381","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1998","1998","tonnes","3850","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","1999","1999","tonnes","3197","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2000","2000","tonnes","5000","*","Unofficial figure"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2001","2001","tonnes","3909","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2002","2002","tonnes","2953","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2003","2003","tonnes","2930","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2004","2004","tonnes","3023","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2005","2005","tonnes","4222","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2006","2006","tonnes","5625","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2007","2007","tonnes","5350","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2008","2008","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","592","Kiwi fruit","2009","2009","tonnes","4478","","Official data"
